iter	Passed	Remaining
0	65	13120
1	72	7206
2	80	5296
3	86	4261
4	93	3646
5	102	3304
6	108	2998
7	115	2774
8	122	2592
9	130	2471
10	139	2396
11	145	2285
12	153	2208
13	162	2152
14	169	2088
15	180	2077
16	189	2035
17	196	1991
18	204	1948
19	213	1924
20	216	1843
21	224	1812
22	232	1789
23	241	1773
24	250	1755
25	261	1747
26	272	1745
27	282	1735
28	292	1724
29	300	1704
30	309	1685
31	319	1675
32	328	1661
33	337	1649
34	346	1634
35	352	1606
36	362	1597
37	371	1584
38	381	1575
39	392	1570
40	402	1562
41	410	1545
42	421	1537
43	430	1527
44	440	1515
45	449	1505
46	461	1500
47	472	1496
48	481	1483
49	490	1471
50	499	1458
51	512	1457
52	522	1448
53	532	1439
54	544	1434
55	554	1426
56	566	1420
57	576	1411
58	587	1403
59	598	1395
60	610	1390
61	621	1384
62	632	1374
63	642	1365
64	652	1354
65	662	1344
66	672	1335
67	683	1326
68	695	1319
69	706	1311
70	717	1303
71	727	1294
72	738	1285
73	749	1276
74	760	1266
75	770	1257
76	782	1249
77	792	1239
78	804	1232
79	815	1222
80	825	1212
81	837	1205
82	847	1195
83	857	1184
84	868	1175
85	878	1164
86	889	1155
87	901	1147
88	911	1137
89	923	1128
90	934	1119
91	947	1111
92	958	1103
93	971	1095
94	980	1084
95	992	1075
96	1004	1066
97	1014	1055
98	1026	1047
99	1035	1035
100	1044	1023
101	1055	1013
102	1066	1004
103	1076	993
104	1085	982
105	1094	970
106	1104	960
107	1118	952
108	1132	945
109	1143	935
110	1156	927
111	1169	918
112	1182	910
113	1193	900
114	1206	891
115	1218	882
116	1226	869
117	1236	859
118	1247	848
119	1259	839
120	1270	829
121	1282	819
122	1293	809
123	1302	798
124	1313	788
125	1322	776
126	1337	768
127	1351	760
128	1363	750
129	1380	743
130	1394	734
131	1411	727
132	1425	718
133	1444	711
134	1461	703
135	1485	699
136	1504	691
137	1526	685
138	1542	676
139	1561	669
140	1576	659
141	1588	648
142	1604	639
143	1618	629
144	1634	620
145	1647	609
146	1661	599
147	1676	589
148	1688	578
149	1704	568
150	1717	557
151	1730	546
152	1744	535
153	1755	524
154	1768	513
155	1782	502
156	1794	491
157	1805	479
158	1816	468
159	1828	457
160	1839	445
161	1854	434
162	1863	423
