paid_services,debt_firms,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,obligates
2900057.9,33840,100.5,-39.6694214876033,25.409836065573796,-29.2682926829268,11.4754098360656,13.934426229508201,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
3214893.4,34412,100.34,-4.16666666666667,31.9672131147541,-20.491803278688497,8.196721311475411,14.049586776859499,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
3367412.5,32272,100.64,9.83606557377049,34.1269841269841,-11.904761904761898,8.8,14.285714285714299,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
3385204.3,32777,101.02,5.8333333333333295,33.6065573770492,-10.655737704918,9.09090909090909,12.295081967213099,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
3256951.1,33062,100.49,-12.0,26.400000000000002,-18.400000000000002,8.06451612903226,5.6000000000000005,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
3306988.6,34015,100.56,3.2,29.6,-15.200000000000001,12.903225806451598,9.6,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
3453732.3,33924,100.53,1.65289256198347,35.53719008264459,-9.917355371900829,19.1666666666667,17.3553719008264,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
3503100.7,33483,100.87,-9.09090909090909,26.612903225806498,-21.951219512195095,18.032786885245898,20.9677419354839,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
3352005.0,33388,100.93,-3.2,30.400000000000002,-13.6,6.4,23.3333333333333,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
3382322.8,33292,100.83,-10.655737704918,31.2,-8.06451612903226,3.2520325203251996,27.2,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
3482205.6,33171,101.48,-32.5,36.290322580645196,-24.390243902438996,-8.130081300813009,27.642276422764198,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,10.4095
3769402.6,32990,102.01,1.65289256198347,42.6229508196721,-15.702479338842998,-12.396694214876,38.84297520661159,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,14.746521739130435
3250630.4,32077,103.52,-51.3274336283186,35.593220338983095,-38.3333333333333,4.310344827586209,36.7521367521368,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,14.117272727272727
3412534.0,30836,101.92,-19.1304347826087,38.0165289256198,-29.752066115702497,13.3333333333333,23.1404958677686,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,13.0695
3606656.6,30878,101.75,-3.3057851239669396,32.2314049586777,-20.6611570247934,10.7438016528926,13.114754098360699,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,12.032727272727273
3720564.1,30335,101.06,-9.90990990990991,35.6521739130435,-19.8275862068966,6.0344827586206895,6.83760683760684,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,10.783181818181818
3638590.4,28750,100.63,-10.4761904761905,25.2252252252252,-28.440366972477097,11.9266055045872,10.091743119266098,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,10.567142857142857
3663310.6,27932,100.62,-8.0,24.7619047619048,-18.2692307692308,11.5384615384615,17.3076923076923,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,10.290909090909091
3883143.9,28113,100.22,-20.5607476635514,30.555555555555596,-29.245283018867894,7.47663551401869,20.370370370370395,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,10.371739130434783
3881697.7,27310,100.39,-12.844036697247699,35.454545454545496,-27.5229357798165,4.58715596330275,19.266055045871596,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5,10.981904761904762
3721332.5,26358,101.61,-19.2307692307692,32.71028037383179,-25.2336448598131,0.934579439252336,14.285714285714299,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0,10.541818181818181
3666168.2,26248,100.66,-26.262626262626295,32.69230769230769,-26.9230769230769,-6.7961165048543695,17.4757281553398,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5,10.296363636363637
3805969.2,26172,100.87,-12.5,35.0,-19.801980198019802,-15.841584158415799,17.0,2015-11-30,44.27,11.425,16.443444730077122,32161.0,10.528571428571428
