paid_services,salary,debt_firms,debt_fiz,trade_turnover,money_income,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,gov_debt,obligates,unemployment
1842579.2,18600.7,41228,35647,115064.0,14851.441286055242,100.0,-50.0,21.5,-16.5,31.6,29.1,10.1,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,5722.239,6.2005,6.804221648523166
1925567.3,18096.4,41561,35762,115064.0,14851.441286055242,100.42,9.3,30.4,-11.4,34.2,31.6,27.8,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,5733.566,6.3854999999999995,6.804221648523166
1930620.6,18812.9,42922,36007,115064.0,14851.441286055242,100.81,22.2,29.1,5.1,29.1,27.8,17.7,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,5754.951,7.402380952380952,6.804221648523166
1962588.3,18885.6,42683,36517,115064.0,14851.441286055242,100.51,-1.9,24.1,5.1,34.2,31.6,13.9,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,5707.239,7.497727272727272,6.804221648523166
1964846.7,19544.6,42894,36804,115064.0,14851.441286055242,100.3,8.6,53.2,3.8,29.5,26.6,8.9,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,5714.967,7.954999999999999,6.804221648523166
1971383.3,20191.9,42711,36950,115064.0,14851.441286055242,100.49,19.0,36.7,6.3,32.9,31.6,8.9,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,5739.107,7.882380952380952,6.804221648523166
1989458.9,19712.9,43198,37250,115064.0,14851.441286055242,100.59,23.7,27.8,20.3,24.1,25.3,8.9,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,5757.204,8.527391304347827,6.804221648523166
2039519.3,18591.5,43354,37470,115064.0,14851.441286055242,100.93,-6.8,47.5,5.0,17.5,12.5,12.5,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,5791.262,8.588095238095239,6.804221648523166
2047454.8,19327.6,43723,37653,115064.0,14851.441286055242,101.08,26.7,46.3,25.0,11.3,6.3,6.3,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,5742.744,8.715454545454547,6.804221648523166
2059236.5,19646.3,44002,37460,115064.0,14851.441286055242,100.42,-12.3,41.3,12.5,-7.5,-5.0,5.1,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,5739.132,9.170434782608694,6.804221648523166
2139331.4,20695.4,44321,37378,115064.0,14851.441286055242,100.88,-12.5,50.0,-2.5,0.0,2.5,18.8,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,5753.841,10.4095,6.804221648523166
2156074.4,24267.0,43643,37153,115064.0,14851.441286055242,101.9,9.3,55.0,-1.3,-7.5,-7.5,41.3,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,5759.2,14.746521739130435,6.804221648523166
