paid_services,salary,debt_firms,debt_fiz,trade_turnover,money_income,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,gov_debt,obligates,unemployment
3350244.7,25796.4,96117,67300,158634.0,21943.234346432557,100.37,-6.72645739910314,8.75,-6.69456066945607,7.5,7.88381742738589,8.29875518672199,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,5722.239,6.2005,6.804221648523166
3438969.6,25439.0,98305,67965,158634.0,21943.234346432557,100.39,3.61990950226244,7.88381742738589,-3.3333333333333295,8.71369294605809,8.75,6.63900414937759,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,5733.566,6.3854999999999995,6.804221648523166
3331969.0,26519.1,101476,69236,158634.0,21943.234346432557,101.19,0.448430493273543,7.11297071129707,-2.1097046413502096,12.1848739495798,10.924369747899199,9.58333333333333,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,5754.951,7.402380952380952,6.804221648523166
3519229.4,27477.8,104334,70719,158634.0,21943.234346432557,100.77,3.15315315315315,6.302521008403359,-1.68776371308017,7.14285714285714,8.86075949367089,6.27615062761506,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,5707.239,7.497727272727272,6.804221648523166
3159181.9,28284.9,104370,71439,158634.0,21943.234346432557,101.26,0.0,5.020920502092049,-3.76569037656904,8.78661087866109,9.28270042194093,2.53164556962025,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,5714.967,7.954999999999999,6.804221648523166
3275166.3,28259.8,112958,72356,158634.0,21943.234346432557,100.7,1.35746606334842,7.14285714285714,0.418410041841004,10.0418410041841,11.344537815126099,2.5210084033613396,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,5739.107,7.882380952380952,6.804221648523166
3319252.0,29031.8,115091,73561,158634.0,21943.234346432557,100.81,2.21238938053097,14.7679324894515,1.2448132780082999,10.373443983402499,9.16666666666667,6.666666666666669,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,5757.204,8.527391304347827,6.804221648523166
3122713.6,26520.3,116590,74438,158634.0,21943.234346432557,100.65,-6.07476635514019,12.987012987013,-4.72103004291845,3.0434782608695703,0.432900432900433,6.08695652173913,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,5791.262,8.588095238095239,6.804221648523166
3319796.5,26970.8,118048,75374,158634.0,21943.234346432557,101.26,-4.78468899521531,14.6017699115044,-10.8225108225108,0.87719298245614,-0.8733624454148471,9.1703056768559,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,5742.744,8.715454545454547,6.804221648523166
3616169.4,28241.0,122838,76278,158634.0,21943.234346432557,100.8,-5.633802816901409,20.0,-9.956709956709961,0.0,-3.8961038961039,9.09090909090909,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,5739.132,9.170434782608694,6.804221648523166
