paid_services,salary,debt_firms,debt_fiz,trade_turnover,money_income,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,gov_debt,obligates,unemployment
2064252.6,19721.8,31044,52305,118537.0,17224.82796240349,100.18,-26.9461077844311,17.3410404624277,-12.138728323699398,18.3908045977011,16.7630057803468,11.4285714285714,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,5722.239,6.2005,6.804221648523166
2161327.8,19055.9,30848,52826,118537.0,17224.82796240349,100.58,-7.87878787878788,18.604651162790702,-11.046511627907,16.1849710982659,12.7167630057803,12.7167630057803,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,5733.566,6.3854999999999995,6.804221648523166
2276103.4,19532.1,31403,53509,118537.0,17224.82796240349,100.99,-0.609756097560976,12.138728323699398,-5.23255813953488,16.7630057803468,15.3846153846154,9.302325581395351,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,5754.951,7.402380952380952,6.804221648523166
2311263.9,20660.4,31725,54563,118537.0,17224.82796240349,100.95,-11.0429447852761,16.265060240963898,-8.484848484848479,24.8484848484848,21.3414634146341,12.269938650306699,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,5707.239,7.497727272727272,6.804221648523166
2300130.3,21177.5,31729,55486,118537.0,17224.82796240349,100.68,-6.329113924050629,20.0,-8.641975308641982,18.902439024390198,18.292682926829297,15.8536585365854,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,5714.967,7.954999999999999,6.804221648523166
2299250.4,21786.7,31653,56113,118537.0,17224.82796240349,100.91,-5.357142857142859,13.714285714285698,-5.81395348837209,21.8390804597701,17.9190751445087,14.942528735632198,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,5739.107,7.882380952380952,6.804221648523166
2369374.4,21328.0,31768,57044,118537.0,17224.82796240349,100.78,-4.705882352941179,13.8728323699422,-7.01754385964912,21.6374269005848,18.604651162790702,12.2093023255814,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,5757.204,8.527391304347827,6.804221648523166
2350355.8,20462.9,31687,57890,118537.0,17224.82796240349,100.66,-11.904761904761898,19.411764705882398,-5.32544378698225,18.9349112426036,12.941176470588198,12.3529411764706,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,5791.262,8.588095238095239,6.804221648523166
2344718.9,20905.3,31799,58576,118537.0,17224.82796240349,100.9,1.21212121212121,27.5449101796407,1.2048192771084298,17.365269461077798,19.161676646706603,11.377245508982,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,5742.744,8.715454545454547,6.804221648523166
2363513.2,20831.9,31763,59002,118537.0,17224.82796240349,100.79,-6.09756097560976,29.6969696969697,-6.666666666666669,8.98203592814371,11.4457831325301,15.662650602409599,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,5739.132,9.170434782608694,6.804221648523166
2341673.8,21288.2,31591,59278,118537.0,17224.82796240349,101.4,-18.292682926829297,29.5180722891566,-15.2439024390244,-4.8484848484848495,-1.21212121212121,23.6363636363636,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,5753.841,10.4095,6.804221648523166
2392794.1,26584.5,31161,59212,118537.0,17224.82796240349,101.64,1.78571428571429,32.3699421965318,-11.6959064327485,-4.09356725146199,-2.32558139534884,32.3699421965318,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,5759.2,14.746521739130435,6.804221648523166
2178363.5,20145.6,30795,58490,124105.0,18540.019528081033,103.96,-38.1818181818182,27.810650887574,-21.428571428571395,12.4260355029586,10.0591715976331,25.294117647058798,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,7241.169,14.117272727272727,7.18413491057078
2319809.5,20411.4,30095,57762,124105.0,18540.019528081033,103.02,-11.3207547169811,28.571428571428594,-16.265060240963898,20.0,18.6746987951807,21.0843373493976,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,7240.896,13.0695,7.18413491057078
2381139.3,21150.9,29639,57025,124105.0,18540.019528081033,102.06,-1.26582278481013,35.54216867469879,-11.9760479041916,20.0,14.024390243902399,19.3939393939394,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,7159.78,12.032727272727273,7.18413491057078
2420254.4,20641.2,29828,56808,124105.0,18540.019528081033,100.9,-11.038961038960998,27.329192546583897,-18.5185185185185,8.69565217391304,11.875,11.8012422360248,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,6986.477,10.783181818181818,7.18413491057078
2414128.9,22501.0,29360,56376,124105.0,18540.019528081033,100.69,-12.738853503184698,25.0,-22.1556886227545,5.38922155688623,3.6144578313253,18.562874251497,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,7100.311,10.567142857142857,7.18413491057078
2464479.6,22540.8,29083,56988,124105.0,18540.019528081033,100.34,-6.28930817610063,17.7914110429448,-10.429447852760699,11.111111111111098,6.74846625766871,19.018404907975498,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,7160.382,10.290909090909091,7.18413491057078
2406599.8,21943.5,28818,59871,124105.0,18540.019528081033,100.42,-2.32558139534884,25.5681818181818,-4.545454545454549,13.142857142857098,10.857142857142899,15.3409090909091,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,7041.289,10.371739130434783,7.18413491057078
2431302.7,21611.5,28732,62029,124105.0,18540.019528081033,100.75,-9.94152046783626,28.323699421965298,-13.142857142857098,-0.571428571428571,-3.42857142857143,17.241379310344797,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5,7171.129,10.981904761904762,7.18413491057078
2358196.8,21722.9,28903,64493,124105.0,18540.019528081033,100.67,-10.8695652173913,31.720430107526898,-17.204301075268802,-10.1604278074866,-7.4866310160427805,12.834224598930499,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0,6955.448,10.541818181818181,7.18413491057078
2365514.2,21613.6,29772,66309,124105.0,18540.019528081033,100.55,-17.222222222222197,25.5434782608696,-17.3913043478261,-8.15217391304348,-4.89130434782609,8.791208791208788,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5,6979.189,10.296363636363637,7.18413491057078
2405592.0,21482.9,30483,66033,124105.0,18540.019528081033,100.82,-23.118279569892497,20.9424083769634,-24.6073298429319,-17.894736842105296,-12.0418848167539,9.94764397905759,2015-11-30,44.27,11.425,16.443444730077122,32161.0,7119.134,10.528571428571428,7.18413491057078
2503089.6,26998.5,30063,70923,124105.0,18540.019528081033,100.55,-5.61797752808989,23.655913978494596,-16.1290322580645,-16.577540106951897,-9.625668449197859,18.1818181818182,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0,7160.043,10.305652173913044,7.18413491057078
2317285.1,20931.4,29867,55115,124000.0,20634.892389529366,100.7,-45.454545454545496,29.729729729729698,-31.1827956989247,5.913978494623659,6.45161290322581,13.978494623655898,2016-01-31,30.7,11.017333333333333,15.74,35179.7,7307.611000000001,9.90047619047619,6.978310291923256
2321869.4,21113.3,29326,55001,124000.0,20634.892389529366,100.81,-16.969696969696997,22.543352601156098,-19.5402298850575,14.4508670520231,13.953488372093,13.2947976878613,2016-02-29,32.18,10.8425,14.74,33966.5,7272.7919999999995,9.507619047619048,6.978310291923256
2464640.3,22596.6,28775,54672,124000.0,20634.892389529366,100.63,-13.068181818181799,28.651685393258397,-20.7865168539326,8.888888888888891,6.111111111111109,12.777777777777798,2016-03-31,38.21,10.94047619047619,14.5987,34309.6,7239.115,9.694347826086956,6.978310291923256
2462803.2,22021.2,28610,54668,124000.0,20634.892389529366,100.48,-19.2307692307692,25.1497005988024,-19.7604790419162,11.9760479041916,8.98203592814371,14.371257485029899,2016-04-30,41.58,10.732857142857142,13.6,34689.4,7265.907,9.577142857142857,6.978310291923256
2513831.6,24453.2,28202,54567,124000.0,20634.892389529366,100.5,-12.8654970760234,23.428571428571395,-14.6067415730337,10.674157303370798,6.77966101694915,13.4831460674157,2016-05-31,46.74,11.063157894736841,14.1881,35105.5,7299.487,9.728181818181817,6.978310291923256
2451314.8,25173.5,28176,54511,124000.0,20634.892389529366,100.43,-7.74193548387097,29.2682926829268,-13.4146341463415,15.2439024390244,17.6829268292683,11.5853658536585,2016-06-30,48.25,10.639047619047618,14.2875,35642.9,7261.743,9.532272727272726,6.978310291923256
2366901.0,22734.5,27864,54540,124000.0,20634.892389529366,100.5,-10.8974358974359,26.380368098159497,-6.74846625766871,14.197530864197498,13.580246913580199,10.429447852760699,2016-07-31,44.95,10.37904761904762,12.5623,35856.9,7363.156,9.191428571428572,6.978310291923256
2313641.0,22675.7,27971,54651,124000.0,20634.892389529366,100.41,2.53164556962025,23.780487804878,-6.06060606060606,3.6144578313253,6.70731707317073,8.484848484848479,2016-08-31,45.84,10.339565217391305,14.2065,36031.7,7431.191,9.01695652173913,6.978310291923256
2323480.3,23088.9,27535,54543,124000.0,20634.892389529366,100.39,0.0,23.1707317073171,-4.878048780487799,0.0,1.2195121951219499,15.757575757575799,2016-09-30,46.57,10.238636363636363,12.3462,36169.6,7345.051,9.001363636363637,6.978310291923256
2295022.1,22943.8,27046,54538,124000.0,20634.892389529366,100.45,-10.3225806451613,25.0,-6.172839506172839,0.617283950617284,0.617283950617284,10.429447852760699,2016-10-31,49.52,10.323333333333332,13.677378,36148.8,7383.563,8.895714285714286,6.978310291923256
2362901.6,23491.0,23437,54483,124000.0,20634.892389529366,100.51,-22.077922077922096,18.6335403726708,-17.3913043478261,-6.79012345679012,-9.259259259259261,12.962962962963,2016-11-30,44.73,10.017142857142856,12.3526,36051.0,7422.921,8.530909090909091,6.978310291923256
2538858.0,29324.8,22351,54563,124000.0,20634.892389529366,100.17,-0.662251655629139,19.745222929936297,-5.73248407643312,-3.1847133757961803,-2.54777070063694,12.1019108280255,2016-12-31,53.31,10.160454545454545,11.4855,36433.0,7602.353,8.514090909090909,6.978310291923256
