inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2
100.35,-14.492753623188399,16.3551401869159,-8.41121495327103,9.81308411214953,14.553990610328599,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6
100.59,-2.89855072463768,18.2242990654206,-4.205607476635509,14.018691588784998,22.897196261682197,2014-02-28,108.9,5.9935,11.795154185022026,29861.2
101.06,0.47846889952153104,17.7570093457944,-1.4018691588785,13.084112149532698,14.018691588784998,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0
100.88,-0.483091787439614,15.566037735849099,1.88679245283019,13.207547169811301,10.377358490566,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3
100.89,0.961538461538462,13.145539906103298,0.46948356807511704,15.492957746478899,8.92018779342723,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0
100.84,0.961538461538462,26.168224299065397,3.73831775700935,20.5607476635514,18.691588785046697,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8
100.7,1.8604651162790697,26.244343891402696,4.0723981900452495,14.027149321267,16.7420814479638,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1
100.68,-2.67857142857143,26.9565217391304,3.0434782608695703,13.0434782608696,17.3913043478261,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3
100.9,-10.762331838565,24.782608695652197,-2.17391304347826,6.52173913043478,16.0869565217391,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7
100.85,-9.00900900900901,29.2035398230088,-4.385964912280699,2.63157894736842,16.6666666666667,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6
101.07,-15.765765765765801,35.5263157894737,-5.26315789473684,0.0,28.947368421052598,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2
102.34,-4.10958904109589,36.1233480176211,-2.6431718061673997,-0.440528634361233,33.480176211453696,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9
103.54,-14.220183486238499,38.6666666666667,-13.274336283185798,7.079646017699119,23.111111111111097,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7
102.61,-10.5504587155963,35.2422907488987,-10.132158590308398,15.4185022026432,26.431718061674,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7
101.27,-2.7272727272727297,37.9912663755459,-2.18340611353712,16.5938864628821,20.5240174672489,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0
101.11,-1.35746606334842,38.4279475982533,-0.8733624454148471,17.4672489082969,17.903930131004397,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8
100.61,-6.36363636363636,35.2173913043478,6.956521739130429,18.2608695652174,15.6521739130435,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9
100.91,5.85585585585586,39.0350877192982,7.423580786026199,11.842105263157901,19.2982456140351,2015-06-30,61.48,12.503333333333334,13.9452,31820.4
100.54,-1.8018018018018,32.7510917030568,-1.3100436681222698,2.1929824561403497,19.383259911894296,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3
100.42,-3.15315315315315,34.497816593886505,-2.18340611353712,2.18340611353712,20.175438596491198,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5
101.0,-3.58744394618834,31.601731601731597,-9.09090909090909,3.47826086956522,22.707423580785996,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0
100.54,-4.017857142857141,28.571428571428594,-12.1212121212121,-4.761904761904759,19.047619047618998,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5
100.57,-7.9646017699115,31.3304721030043,-14.1630901287554,-6.437768240343349,21.0300429184549,2015-11-30,44.27,11.425,16.443444730077122,32161.0
100.73,-2.6431718061673997,34.9137931034483,-12.4463519313305,-12.017167381974199,20.2586206896552,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0
101.12,-17.2727272727273,29.565217391304298,-21.6450216450216,-6.49350649350649,18.1818181818182,2016-01-31,30.7,11.017333333333333,15.74,35179.7
100.72,-5.0228310502283104,26.086956521739097,-10.389610389610398,6.06060606060606,14.718614718614699,2016-02-29,32.18,10.8425,14.74,33966.5
100.59,3.08370044052863,23.605150214592296,-4.72103004291845,9.44206008583691,14.592274678111599,2016-03-31,38.21,10.94047619047619,14.5987,34309.6
100.58,-2.25225225225225,28.0172413793103,-6.89655172413793,9.913793103448281,13.362068965517198,2016-04-30,41.58,10.732857142857142,13.6,34689.4
100.37,-5.75221238938053,27.038626609442098,-3.8626609442060102,10.729613733905598,11.158798283261799,2016-05-31,46.74,11.063157894736841,14.1881,35105.5
100.4,0.0,22.413793103448295,-1.73160173160173,3.44827586206897,10.0,2016-06-30,48.25,10.639047619047618,14.2875,35642.9
100.33,-2.6431718061673997,23.1759656652361,-9.44206008583691,3.43347639484979,12.8755364806867,2016-07-31,44.95,10.37904761904762,12.5623,35856.9
100.36,-0.440528634361233,22.8448275862069,-3.44827586206897,1.28755364806867,12.987012987013,2016-08-31,45.84,10.339565217391305,14.2065,36031.7
100.6,-1.77777777777778,27.826086956521703,-6.11353711790393,3.47826086956522,16.521739130434803,2016-09-30,46.57,10.238636363636363,12.3462,36169.6
100.45,-6.08695652173913,26.9230769230769,-9.82905982905983,-1.7021276595744699,17.446808510638302,2016-10-31,49.52,10.323333333333332,13.677378,36148.8
100.41,-6.92640692640693,26.068376068376097,-6.80851063829787,3.40425531914894,19.5744680851064,2016-11-30,44.73,10.017142857142856,12.3526,36051.0
100.59,-0.442477876106195,25.8620689655172,-9.05172413793103,-6.89655172413793,18.9655172413793,2016-12-31,53.31,10.160454545454545,11.4855,36433.0
100.41,-20.8888888888889,27.1186440677966,-16.1016949152542,10.1694915254237,17.796610169491498,2017-01-31,54.58,10.114117647058823,12.8791,38418.0
100.27,-5.309734513274339,28.448275862068996,-9.44206008583691,15.948275862069,21.9827586206897,2017-02-28,54.87,10.14111111111111,11.162068965517241,38016.8
100.17,3.93013100436681,31.1965811965812,-2.14592274678112,25.0,14.592274678111599,2017-03-31,51.59,9.897727272727273,10.959,38462.3
100.06,0.869565217391304,26.808510638297896,2.1276595744680904,22.6495726495726,11.111111111111098,2017-04-30,52.31,9.5765,10.2704,38555.2
100.21,6.52173913043478,24.463519313304698,3.84615384615385,19.742489270386297,10.729613733905598,2017-05-31,50.33,9.1345,10.3398,38663.8
100.32,0.43668122270742404,26.382978723404296,2.1367521367521403,14.893617021276599,9.78723404255319,2017-06-30,46.37,9.109047619047619,10.6924,39222.9
100.21,2.62008733624454,25.1063829787234,-2.1276595744680904,5.53191489361702,9.36170212765957,2017-07-31,48.48,8.947619047619048,9.527,39623.1
100.23,1.3100436681222698,26.382978723404296,-0.851063829787234,3.84615384615385,8.54700854700855,2017-08-31,51.7,8.536521739130436,9.5559,39275.9
100.07,-2.1929824561403497,21.794871794871803,-2.5531914893617,0.8547008547008551,9.4017094017094,2017-09-30,56.15,8.373809523809523,9.85,39419.3
100.1,-2.17391304347826,22.978723404255298,-0.425531914893617,-0.42918454935622297,11.9148936170213,2017-10-31,57.51,8.043181818181818,8.6866,39571.0
100.08,-7.826086956521739,26.271186440678,-8.05084745762712,-3.8297872340425494,14.468085106382999,2017-11-30,62.71,8.014285714285714,8.7425,39667.5
100.13,2.62008733624454,27.2340425531915,-2.11864406779661,0.0,11.9148936170213,2017-12-31,64.37,7.729523809523809,8.8793,40114.4
100.17,-15.789473684210499,25.4237288135593,-10.593220338983098,12.3931623931624,12.7659574468085,2018-01-31,69.08,7.087647058823529,8.4402,42442.2
100.1,-3.93013100436681,22.457627118644098,-5.1063829787234,14.102564102564099,14.655172413793098,2018-02-28,65.32,7.145263157894736,8.4687,41597.5
100.32,6.52173913043478,29.787234042553198,5.55555555555556,18.0257510729614,16.017316017316002,2018-03-31,66.02,7.1465000000000005,7.8145,42045.5
100.28,3.49344978165939,27.542372881355902,2.54237288135593,20.8510638297872,12.7659574468085,2018-04-30,72.11,7.002857142857143,8.5564,42377.0
100.19,10.6194690265487,27.826086956521703,1.3043478260869599,21.304347826087,11.739130434782599,2018-05-31,76.98,6.9455,9.8368,43122.0
100.4,6.06060606060606,31.759656652360498,2.5751072961373405,18.4549356223176,12.017167381974199,2018-06-30,74.41,7.0215000000000005,9.6818,43257.4
