inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2
100.3,-25.882352941176496,43.0232558139535,-18.604651162790702,18.604651162790702,17.6470588235294,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6
100.69,-14.942528735632198,36.7816091954023,-16.0919540229885,22.9885057471264,17.241379310344797,2014-02-28,108.9,5.9935,11.795154185022026,29861.2
100.96,-1.16279069767442,37.2093023255814,-13.953488372093,24.4186046511628,17.441860465116296,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0
100.97,-1.17647058823529,21.1764705882353,-7.058823529411759,18.8235294117647,16.470588235294098,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3
100.84,0.0,23.8636363636364,-14.7727272727273,13.6363636363636,13.6363636363636,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0
100.8,-13.953488372093,29.8850574712644,-12.6436781609195,9.195402298850569,10.344827586206899,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8
100.42,-12.941176470588198,29.0697674418605,0.0,12.790697674418599,12.790697674418599,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1
100.66,-6.97674418604651,33.720930232558096,-10.4651162790698,9.302325581395351,11.6279069767442,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3
100.58,-8.536585365853659,22.6190476190476,-15.4761904761905,8.33333333333333,18.072289156626496,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7
101.04,0.0,33.720930232558096,-17.441860465116296,8.139534883720929,17.441860465116296,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6
100.88,-22.352941176470598,31.7647058823529,-16.470588235294098,4.705882352941179,23.529411764705902,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2
103.35,-14.6341463414634,46.34146341463409,-10.9756097560976,-7.317073170731709,20.731707317073198,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9
102.45,-39.2857142857143,40.476190476190496,-26.1904761904762,7.14285714285714,23.8095238095238,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7
102.03,-18.072289156626496,43.3734939759036,-18.072289156626496,16.867469879518097,17.073170731707297,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7
101.48,-7.317073170731709,40.243902439024396,-13.4146341463415,13.4146341463415,19.512195121951198,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0
101.17,-16.25,31.25,-7.5,1.25,10.0,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8
101.02,-10.588235294117599,35.2941176470588,-8.43373493975904,10.588235294117599,11.764705882352898,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9
100.85,-12.658227848101301,40.5063291139241,-20.253164556962,7.594936708860759,13.9240506329114,2015-06-30,61.48,12.503333333333334,13.9452,31820.4
100.71,0.0,39.743589743589695,-5.1282051282051295,7.69230769230769,16.6666666666667,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3
101.64,-12.8205128205128,50.0,-11.5384615384615,7.69230769230769,14.102564102564099,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5
101.08,-8.97435897435897,50.0,-16.6666666666667,5.194805194805189,17.9487179487179,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0
