paid_services,salary,debt_firms,debt_fiz,trade_turnover,money_income,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,gov_debt,obligates,unemployment
2358034.1,22791.6,32129,38847,155725.0,20646.282384667244,100.61,-50.4,15.9,-15.1,26.0,21.4,11.9,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,5722.239,6.2005,6.804221648523166
2545034.3,23087.2,31808,39270,155725.0,20646.282384667244,100.46,17.1,23.0,-8.7,24.7,14.3,17.5,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,5733.566,6.3854999999999995,6.804221648523166
2474171.2,24153.8,29692,39854,155725.0,20646.282384667244,100.71,26.0,22.8,-3.1,19.2,24.4,8.7,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,5754.951,7.402380952380952,6.804221648523166
2485685.5,25226.5,30739,40454,155725.0,20646.282384667244,100.47,10.7,21.6,-4.0,21.5,19.2,5.6,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,5707.239,7.497727272727272,6.804221648523166
2478072.9,24742.6,29992,40543,155725.0,20646.282384667244,101.1,-0.8,20.8,0.8,13.8,23.2,6.4,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,5714.967,7.954999999999999,6.804221648523166
2535883.5,25475.4,30109,41018,155725.0,20646.282384667244,101.0,6.8,18.4,-1.6,9.8,20.0,5.6,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,5739.107,7.882380952380952,6.804221648523166
2590632.4,25608.6,29744,41507,155725.0,20646.282384667244,100.47,11.8,26.6,4.0,5.9,16.1,12.9,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,5757.204,8.527391304347827,6.804221648523166
2526211.7,24649.4,29542,42022,155725.0,20646.282384667244,100.7,-11.6,19.4,-5.6,10.0,14.5,12.1,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,5791.262,8.588095238095239,6.804221648523166
2561236.1,24836.3,29605,42537,155725.0,20646.282384667244,100.84,3.3,24.2,-1.6,-6.4,12.1,13.7,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,5742.744,8.715454545454547,6.804221648523166
2534964.2,25028.6,30523,42624,155725.0,20646.282384667244,100.75,8.3,23.6,-9.8,-13.7,2.4,20.3,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,5739.132,9.170434782608694,6.804221648523166
