inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2
100.31,-30.653266331658298,20.0,-18.0,25.0,10.9452736318408,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6
100.57,-4.0,22.660098522167498,-5.392156862745099,34.1584158415842,20.1970443349754,2014-02-28,108.9,5.9935,11.795154185022026,29861.2
100.76,11.0,22.3880597014925,5.472636815920399,30.348258706467696,14.851485148514898,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0
100.68,7.07070707070707,19.095477386934697,6.03015075376884,23.1155778894472,13.0,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3
100.41,-4.52261306532663,19.5,-1.99004975124378,23.1155778894472,11.9402985074627,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0
100.86,-1.97044334975369,25.728155339805795,-4.34782608695652,19.8067632850242,11.111111111111098,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8
100.66,5.97014925373134,19.306930693069297,3.4825870646766197,18.3168316831683,10.344827586206899,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1
100.45,-8.16326530612245,24.6231155778894,-9.5,15.920398009950198,11.9402985074627,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3
100.84,-7.5,31.6831683168317,-9.40594059405941,11.764705882352898,11.881188118811899,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7
100.86,-5.4455445544554495,33.6633663366337,-6.89655172413793,6.403940886699509,16.256157635468,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6
100.89,-11.7948717948718,31.6326530612245,-19.5,-1.0,25.380710659898497,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2
102.41,-1.52284263959391,41.116751269035504,-9.04522613065327,-6.06060606060606,35.8585858585859,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9
103.59,-35.3846153846154,37.8787878787879,-28.8557213930348,12.562814070351799,28.0,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7
101.96,-13.197969543147199,38.8888888888889,-10.101010101010099,16.0804020100503,22.613065326633198,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7
101.4,-1.01010101010101,39.30348258706469,-10.4477611940299,17.5,12.5,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0
100.56,-8.0,28.8557213930348,-9.40594059405941,18.905472636815897,13.9303482587065,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8
100.54,-7.61421319796954,23.6180904522613,-8.5,14.0,10.0,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9
100.36,1.2048192771084298,27.380952380952397,-5.357142857142859,12.4260355029586,8.38323353293413,2015-06-30,61.48,12.503333333333334,13.9452,31820.4
100.41,-1.5384615384615399,21.5,-2.5,13.5,12.562814070351799,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3
100.53,-9.69387755102041,32.0,-11.5,7.03517587939698,11.9402985074627,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5
100.44,-5.43478260869565,30.645161290322598,-9.13978494623656,9.13978494623656,17.297297297297302,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0
100.87,0.0,26.315789473684198,-8.7719298245614,10.5263157894737,17.0588235294118,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5
100.43,-12.280701754386,28.735632183908,-16.6666666666667,-1.73410404624277,20.1149425287356,2015-11-30,44.27,11.425,16.443444730077122,32161.0
100.88,-1.16959064327485,32.758620689655196,-14.4508670520231,-16.0919540229885,20.2312138728324,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0
101.35,-34.705882352941195,36.046511627906995,-30.4093567251462,16.374269005848,19.883040935672497,2016-01-31,30.7,11.017333333333333,15.74,35179.7
100.63,-1.17647058823529,30.4093567251462,-18.128654970760202,18.128654970760202,18.7134502923977,2016-02-29,32.18,10.8425,14.74,33966.5
100.57,9.677419354838712,24.5161290322581,-3.84615384615385,17.419354838709697,14.8387096774194,2016-03-31,38.21,10.94047619047619,14.5987,34309.6
