inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2
100.12,-56.6,26.0,-39.7,19.9,16.4,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6
100.37,-4.2,28.8,-21.9,19.9,21.9,2014-02-28,108.9,5.9935,11.795154185022026,29861.2
100.97,9.2,32.2,-6.8,13.7,12.3,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0
101.01,5.6,29.9,1.4,11.8,16.0,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3
101.36,-7.7,33.1,-7.6,11.7,11.7,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0
101.08,-2.1,24.5,-7.0,13.3,11.2,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8
100.65,-0.7,31.1,-5.2,8.9,8.1,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1
100.55,-12.2,26.4,-10.0,7.1,15.7,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3
100.9,-9.3,30.7,-12.9,-7.2,13.6,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7
100.95,-10.9,41.7,-15.1,-12.2,26.6,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6
100.87,-32.4,49.7,-24.8,-25.5,31.0,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2
102.9,16.7,44.1,-4.8,-30.3,39.3,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9
103.95,-52.6,52.8,-39.4,2.8,31.7,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7
102.52,-24.4,48.6,-39.1,-1.4,30.4,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7
101.11,6.4,44.7,-17.7,12.1,14.2,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0
101.11,-11.7,34.3,-15.0,9.3,15.0,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8
100.37,-11.6,29.5,-11.5,11.5,9.4,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9
100.4,-4.3,31.9,-13.5,9.2,9.2,2015-06-30,61.48,12.503333333333334,13.9452,31820.4
100.46,-18.7,38.6,-23.6,-5.7,9.3,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3
100.85,-16.1,33.6,-22.9,-5.0,10.7,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5
101.13,-18.0,43.6,-23.0,-9.3,6.4,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0
100.8,-24.6,39.0,-27.2,-2.9,10.3,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5
100.57,-30.3,39.7,-38.2,-17.6,17.6,2015-11-30,44.27,11.425,16.443444730077122,32161.0
100.64,-7.8,50.4,-33.1,-24.1,18.0,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0
100.75,-49.6,46.5,-45.7,5.4,14.0,2016-01-31,30.7,11.017333333333333,15.74,35179.7
100.77,-8.3,36.8,-26.4,12.0,20.8,2016-02-29,32.18,10.8425,14.74,33966.5
100.76,6.6,37.1,-19.2,10.4,13.6,2016-03-31,38.21,10.94047619047619,14.5987,34309.6
100.3,-9.2,29.3,-23.6,11.4,5.7,2016-04-30,41.58,10.732857142857142,13.6,34689.4
100.44,0.0,28.6,-26.1,5.9,5.0,2016-05-31,46.74,11.063157894736841,14.1881,35105.5
100.04,-2.5,28.7,-21.3,-3.3,14.8,2016-06-30,48.25,10.639047619047618,14.2875,35642.9
100.42,-15.8,17.1,-20.5,1.7,14.5,2016-07-31,44.95,10.37904761904762,12.5623,35856.9
100.41,-1.7,23.5,-10.9,0.8,11.8,2016-08-31,45.84,10.339565217391305,14.2065,36031.7
100.51,6.8,25.8,-8.3,1.7,10.8,2016-09-30,46.57,10.238636363636363,12.3462,36169.6
100.5,-18.4,33.9,-25.4,-8.5,15.4,2016-10-31,49.52,10.323333333333332,13.677378,36148.8
100.26,-16.8,31.4,-23.7,-16.1,9.4,2016-11-30,44.73,10.017142857142856,12.3526,36051.0
100.7,11.7,30.2,-1.7,-6.9,15.5,2016-12-31,53.31,10.160454545454545,11.4855,36433.0
100.48,-20.6,29.2,-23.7,13.2,15.8,2017-01-31,54.58,10.114117647058823,12.8791,38418.0
100.2,-14.8,25.9,-19.5,20.4,12.4,2017-02-28,54.87,10.14111111111111,11.162068965517241,38016.8
100.08,13.0,31.0,-2.7,18.6,10.8,2017-03-31,51.59,9.897727272727273,10.959,38462.3
99.88,-3.8,26.4,-14.3,10.7,7.1,2017-04-30,52.31,9.5765,10.2704,38555.2
100.17,3.9,23.4,-13.1,8.5,0.9,2017-05-31,50.33,9.1345,10.3398,38663.8
100.3,-5.6,22.6,-4.3,14.7,4.3,2017-06-30,46.37,9.109047619047619,10.6924,39222.9
100.24,-8.2,24.6,-11.8,15.1,6.7,2017-07-31,48.48,8.947619047619048,9.527,39623.1
100.29,-0.9,23.0,-8.9,-3.3,7.3,2017-08-31,51.7,8.536521739130436,9.5559,39275.9
100.14,-16.1,28.0,-14.4,-7.2,5.6,2017-09-30,56.15,8.373809523809523,9.85,39419.3
100.26,-4.0,30.8,-20.5,-7.5,3.8,2017-10-31,57.51,8.043181818181818,8.6866,39571.0
100.03,-19.0,24.6,-24.2,-17.9,3.7,2017-11-30,62.71,8.014285714285714,8.7425,39667.5
100.03,-7.2,25.6,-15.7,-20.9,6.0,2017-12-31,64.37,7.729523809523809,8.8793,40114.4
100.31,-38.4,21.5,-25.2,2.2,5.9,2018-01-31,69.08,7.087647058823529,8.4402,42442.2
100.04,-8.7,23.9,-18.7,10.4,7.5,2018-02-28,65.32,7.145263157894736,8.4687,41597.5
100.07,-7.9,33.6,-21.8,6.0,6.0,2018-03-31,66.02,7.1465000000000005,7.8145,42045.5
100.23,2.4,29.8,-10.7,10.7,11.5,2018-04-30,72.11,7.002857142857143,8.5564,42377.0
100.51,-3.9,29.6,-11.9,17.0,7.4,2018-05-31,76.98,6.9455,9.8368,43122.0
100.06,-3.1,25.4,-9.6,14.1,9.6,2018-06-30,74.41,7.0215000000000005,9.6818,43257.4
100.27,5.6,29.9,-9.7,11.9,9.7,2018-07-31,74.25,7.089545454545455,9.9011,44126.7
100.26,0.7,30.3,-13.4,4.2,16.9,2018-08-31,72.53,7.027826086956521,10.0697,43910.3
100.44,-21.8,33.8,-14.8,-2.8,11.3,2018-09-30,78.89,7.148999999999999,9.3386,44369.1
100.69,-8.1,34.0,-18.1,-6.9,18.1,2018-10-31,81.03,7.267391304347826,9.8309,44254.7
100.38,-18.2,35.6,-24.7,-6.2,29.5,2018-11-30,64.75,7.2509523809523815,10.2363,44218.4
100.72,2.9,38.4,-16.4,-15.9,32.2,2018-12-31,57.36,7.492380952380953,10.3632,44891.6
100.52,-27.9,38.8,-29.9,2.7,18.4,2019-01-31,59.41,7.645294117647059,10.1363,47109.3
100.51,-3.7,38.2,-19.4,9.7,11.1,2019-02-28,63.96,7.5905000000000005,9.1406,45721.2
100.11,0.0,37.9310344827586,-10.344827586206899,8.275862068965521,9.6551724137931,2019-03-31,66.14,7.676,9.39,46212.6
100.2,2.9629629629629597,25.531914893617,-8.39160839160839,11.188811188811199,8.39160839160839,2019-04-30,71.23,7.745454545454546,9.2639,46141.2
100.41,-2.9,29.4,-14.0,9.1,11.2,2019-05-31,71.32,7.7155555555555555,9.4292,46435.9
100.27,-5.9,33.3,-9.7,10.4,11.1,2019-06-30,64.22,7.576842105263158,9.3712,46735.3
100.35,7.40740740740741,36.8055555555556,-4.86111111111111,9.09090909090909,9.02777777777778,2019-07-31,63.92,7.320434782608696,9.1104,47349.4
100.04,-10.5263157894737,31.428571428571395,-5.714285714285709,8.63309352517986,4.285714285714289,2019-08-31,59.04,7.132272727272727,8.8941,47351.0
100.1,0.0,28.8732394366197,-10.563380281690097,1.40845070422535,3.5211267605633796,2019-09-30,62.83,6.855714285714286,8.6122,47584.1
100.2,-13.7404580152672,32.6086956521739,-0.7246376811594201,2.89855072463768,4.34782608695652,2019-10-31,59.71,6.789999999999999,8.2566,48266.8
99.94,-25.3731343283582,28.169014084506998,-16.9014084507042,-4.92957746478873,5.633802816901409,2019-11-30,63.21,6.457000000000001,9.0219,48082.4
100.05,12.5925925925926,33.3333333333333,-5.673758865248229,-7.8014184397163095,12.7659574468085,2019-12-31,67.31,6.151363636363637,8.2594,49195.3
100.31,-45.801526717557294,17.8571428571429,-32.6241134751773,16.312056737588698,18.439716312056703,2020-01-31,63.65,6.038823529411765,7.9343,51660.3
100.05,-11.278195488721801,26.950354609929096,-14.1843971631206,15.827338129496399,17.7304964539007,2020-02-29,55.66,5.938421052631579,7.8881,50622.9
100.38,-23.9316239316239,32.2834645669291,-30.158730158730197,-20.4724409448819,18.8976377952756,2020-03-31,32.01,5.79421052631579,7.9881,51314.2
100.59,-48.2142857142857,38.8888888888889,-43.6507936507937,-20.8,8.73015873015873,2020-04-30,18.38,5.994736842105263,8.2881,52327.0
100.49,-32.5,24.812030075187998,-28.571428571428594,2.25563909774436,10.687022900763399,2020-05-31,29.38,5.468823529411765,8.4881,52951.7
100.02,-2.3809523809523796,36.231884057971,-11.5942028985507,14.492753623188399,10.8695652173913,2020-06-30,40.27,4.994,8.5881,53068.0
100.66,1.55038759689922,38.9705882352941,-11.764705882352898,15.789473684210499,11.764705882352898,2020-07-31,43.24,4.2290909090909095,8.8231,54392.6
100.48,-8.33333333333333,34.0740740740741,-13.0434782608696,2.9411764705882404,12.318840579710098,2020-08-31,44.74,4.155238095238095,8.9478,54687.4
99.97,-8.33333333333333,37.142857142857096,-15.827338129496399,-2.1428571428571397,16.428571428571395,2020-09-30,40.91,4.165,9.668,55294.2
100.61,-16.9230769230769,35.971223021582695,-19.5652173913043,-3.5971223021582697,22.3021582733813,2020-10-31,40.19,4.174090909090909,10.1207,56023.9
100.3,-23.913043478260896,40.97222222222219,-27.0833333333333,-14.084507042253499,29.1666666666667,2020-11-30,42.69,4.061999999999999,11.507,55871.6
100.55,-6.474820143884889,43.75,-18.75,-14.084507042253499,26.3888888888889,2020-12-31,49.99,4.171304347826087,10.4836,56122.6
100.7,-45.255474452554694,38.19444444444439,-27.7777777777778,3.5211267605633796,27.2727272727273,2021-01-31,54.77,4.306,9.8636,58652.1
100.57,-5.03597122302158,43.448275862068996,-16.551724137931,12.587412587412599,31.034482758620697,2021-02-28,62.28,4.057894736842105,10.0714,57598.4
100.67,5.0,38.6206896551724,0.694444444444444,11.724137931034498,26.3888888888889,2021-03-31,65.41,4.222272727272728,11.879,58178.2
100.22,1.42857142857143,30.612244897959197,0.0,17.687074829931998,34.013605442176896,2021-04-30,64.81,4.514545454545455,11.3279,58261.6
100.71,0.7246376811594201,34.2465753424658,-2.7397260273972597,16.4383561643836,30.136986301369898,2021-05-31,68.53,4.791052631578947,11.9136,59206.3
100.24,3.54609929078014,36.734693877550995,4.08163265306122,13.6054421768707,27.891156462585002,2021-06-30,73.16,5.1033333333333335,13.3997,59194.1
100.74,-4.25531914893617,32.8767123287671,0.0,4.7945205479452095,20.547945205479497,2021-07-31,75.17,5.759545454545454,12.4946,59583.9
100.61,2.7972027972028,32.6530612244898,6.80272108843537,1.36054421768707,17.687074829931998,2021-08-31,70.75,6.297272727272727,12.3028,59379.7
101.04,-6.33802816901408,31.292517006802697,-3.40136054421769,-1.36054421768707,25.8503401360544,2021-09-30,74.49,6.569090909090909,13.6222,59816.9
101.39,-9.85915492957746,34.6938775510204,-11.5646258503401,-2.72108843537415,25.8503401360544,2021-10-31,83.54,6.809523809523809,13.4727,60606.2
100.88,-14.965986394557799,38.157894736842096,-9.210526315789469,-4.63576158940397,30.2631578947368,2021-11-30,81.05,7.331999999999999,14.7674,60813.7
100.68,4.0,40.0,2.5806451612903203,-7.74193548387097,33.54838709677419,2021-12-31,74.17,7.617727272727273,13.7279,62312.5
100.64,-30.6666666666667,38.709677419354804,-28.387096774193502,12.903225806451598,33.54838709677419,2022-01-31,86.51,8.286249999999999,13.5372,66252.9
100.5,-16.107382550335597,52.9032258064516,-14.8387096774194,-1.29032258064516,46.1038961038961,2022-02-28,97.13,9.565263157894737,18.3345,65310.3
108.37,-4.10958904109589,55.19480519480519,-9.74025974025974,2.5974025974026,43.5064935064935,2022-03-31,117.25,19.873636363636365,12.5387,66659.7
102.06,-18.4931506849315,45.6953642384106,-13.2450331125828,5.29801324503311,33.11258278145699,2022-04-30,104.58,17.08047619047619,11.4809,68203.5
