paid_services,salary,debt_firms,debt_fiz,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,gov_debt,obligates
16014319.8,21788.0,221692,255484,100.32,-21.9,21.1,-18.0,27.3,17.2,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,5722.239,6.2005
16748204.1,21611.8,222195,258479,100.28,1.4,27.2,0.7,34.0,17.0,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,5733.566,6.3854999999999995
16784925.3,22492.3,286745,262290,100.64,12.8,29.9,7.5,34.3,9.7,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,5754.951,7.402380952380952
16699289.0,25505.5,281971,266617,100.83,-3.4,19.8,10.3,23.3,12.9,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,5707.239,7.497727272727272
16856928.1,24172.2,292080,270510,100.65,3.0,20.3,3.0,18.8,9.0,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,5714.967,7.954999999999999
18137753.4,25305.8,295783,274093,100.86,16.9,33.1,1.5,30.0,13.1,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,5739.107,7.882380952380952
19175435.6,24221.7,287669,279001,100.4,6.7,21.5,6.6,25.6,6.6,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,5757.204,8.527391304347827
19989769.9,24359.2,294679,283308,100.65,-0.8,22.7,-1.6,18.8,10.2,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,5791.262,8.588095238095239
19381167.0,24964.3,300277,286969,100.64,0.7,22.5,-2.2,12.9,14.4,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,5742.744,8.715454545454547
19274891.3,24973.7,293893,288357,100.65,-12.8,23.7,-11.9,5.9,22.0,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,5739.132,9.170434782608694
19632034.4,25332.8,305760,290924,101.32,-13.7,25.4,-16.1,-2.5,22.9,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,5753.841,10.4095
20286925.4,31037.0,305409,290855,102.06,6.8,41.4,1.5,12.8,20.5,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,5759.2,14.746521739130435
18275248.3,24145.1,306264,286820,103.66,-33.3,37.7,-19.4,12.9,18.0,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,7241.169,14.117272727272727
18121088.7,23834.9,301437,283273,102.48,-11.6,33.6,-13.5,17.9,18.6,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,7240.896,13.0695
18413204.4,24543.7,299088,279325,101.13,0.7,33.6,-13.1,21.2,10.2,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,7159.78,12.032727272727273
18203874.8,25562.4,305402,278099,100.75,-12.2,32.1,-12.2,26.0,12.2,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,6986.477,10.783181818181818
17134957.8,26007.6,304679,276569,100.29,-13.1,32.5,-13.6,23.8,14.3,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,7100.311,10.567142857142857
18496250.4,26296.5,308195,274362,100.1,-1.5,29.2,-16.0,16.9,19.1,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,7160.382,10.290909090909091
20158553.2,25606.8,293660,272220,100.27,2.3,23.5,-9.8,21.1,15.0,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,7041.289,10.371739130434783
20826253.1,25583.2,305740,272561,100.64,-5.7,26.2,-9.2,20.6,17.3,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5,7171.129,10.981904761904762
20284283.5,25367.6,295493,273026,101.17,-3.6,21.7,-9.4,14.5,10.9,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0,6955.448,10.541818181818181
20560345.9,25713.8,299572,272184,100.35,-13.8,24.2,-10.6,13.0,6.1,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5,6979.189,10.296363636363637
20365353.3,26171.2,290741,271299,100.46,-16.7,18.9,-17.4,-3.0,9.1,2015-11-30,44.27,11.425,16.443444730077122,32161.0,7119.134,10.528571428571428
20730659.5,31694.0,289696,270987,100.44,-9.6,19.0,-4.1,-3.4,9.5,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0,7160.043,10.305652173913044
18191652.7,24921.8,295184,271326,100.73,-30.5,18.2,-18.2,15.2,10.6,2016-01-31,30.7,11.017333333333333,15.74,35179.7,7307.611000000001,9.90047619047619
19382503.0,25163.3,297403,271395,100.78,-5.8,21.1,-8.5,21.3,9.9,2016-02-29,32.18,10.8425,14.74,33966.5,7272.7919999999995,9.507619047619048
18974116.8,26163.4,298433,270597,100.55,2.3,22.3,-7.7,15.4,6.2,2016-03-31,38.21,10.94047619047619,14.5987,34309.6,7239.115,9.694347826086956
18767386.3,29065.6,301046,271359,100.47,-10.5,24.8,-7.1,16.7,5.5,2016-04-30,41.58,10.732857142857142,13.6,34689.4,7265.907,9.577142857142857
18281880.7,28840.2,288177,272008,100.35,-4.0,31.3,-7.0,19.5,8.6,2016-05-31,46.74,11.063157894736841,14.1881,35105.5,7299.487,9.728181818181817
19214255.2,27874.6,288200,271979,100.51,6.1,30.6,-3.8,24.8,12.8,2016-06-30,48.25,10.639047619047618,14.2875,35642.9,7261.743,9.532272727272726
20873925.7,26786.4,273450,272823,99.85,8.5,42.7,2.3,16.0,10.6,2016-07-31,44.95,10.37904761904762,12.5623,35856.9,7363.156,9.191428571428572
21401770.6,27519.0,277102,275434,100.45,15.9,30.7,5.5,14.2,7.9,2016-08-31,45.84,10.339565217391305,14.2065,36031.7,7431.191,9.01695652173913
20613303.3,28108.8,277062,275712,100.84,-6.8,18.5,-6.7,2.5,5.0,2016-09-30,46.57,10.238636363636363,12.3462,36169.6,7345.051,9.001363636363637
21003736.8,27217.6,287632,276821,100.13,-16.2,25.2,-10.1,-1.7,0.8,2016-10-31,49.52,10.323333333333332,13.677378,36148.8,7383.563,8.895714285714286
21558912.9,28108.6,285336,278023,100.4,-9.2,22.0,-12.7,0.0,9.1,2016-11-30,44.73,10.017142857142856,12.3526,36051.0,7422.921,8.530909090909091
22173341.6,34050.2,291096,279734,100.16,-3.7,24.8,-11.0,-4.6,0.0,2016-12-31,53.31,10.160454545454545,11.4855,36433.0,7602.353,8.514090909090909
19617470.3,26899.834969317042,299197,278732,100.37,-27.4,19.8,-13.2,2.8,6.6,2017-01-31,54.58,10.114117647058823,12.8791,38418.0,8003.455,8.956363636363635
19366762.5,26915.843767486353,293662,328799,100.05,-23.6,12.7,-9.1,22.7,9.1,2017-02-28,54.87,10.14111111111111,11.162068965517241,38016.8,8073.9,8.928
1823321.2,28093.09359999789,285040,280846,100.12,3.6,20.7,-9.0,19.8,0.9,2017-03-31,51.59,9.897727272727273,10.959,38462.3,8164.026,8.403478260869566
1945873.7,29140.309350232736,292631,284827,100.09,-14.8,16.7,-7.8,18.3,6.1,2017-04-30,52.31,9.5765,10.2704,38555.2,8308.139,8.2005
