paid_services,salary,debt_firms,debt_fiz,trade_turnover,money_income,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,gov_debt,obligates,unemployment
7522708.1,16994.5,34417,30476,170320.0,21489.1492710013,99.64,-24.0,-1.1,-4.9,3.3,4.4,0.0,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,5722.239,6.2005,6.804221648523166
6675108.1,17555.3,34678,30327,170320.0,21489.1492710013,100.06,-11.7,-0.6,-2.9,7.4,7.4,0.6,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,5733.566,6.3854999999999995,6.804221648523166
6974155.9,18840.9,35225,30721,170320.0,21489.1492710013,100.85,-6.7,10.2,-1.1,6.7,5.1,2.2,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,5754.951,7.402380952380952,6.804221648523166
6774844.7,18713.4,35477,31108,170320.0,21489.1492710013,99.99,-24.6,2.9,-1.2,9.4,8.2,3.5,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,5707.239,7.497727272727272,6.804221648523166
6888033.4,18751.1,35612,31634,170320.0,21489.1492710013,99.8,12.6,6.6,2.0,6.6,6.6,1.3,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,5714.967,7.954999999999999,6.804221648523166
7005526.5,20770.1,35236,32109,170320.0,21489.1492710013,100.33,16.0,2.7,-1.3,20.0,19.3,3.3,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,5739.107,7.882380952380952,6.804221648523166
7057944.9,18829.1,35147,32789,170320.0,21489.1492710013,101.45,24.4,4.7,4.7,26.7,24.7,0.7,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,5757.204,8.527391304347827,6.804221648523166
7760175.2,17438.4,34759,33301,170320.0,21489.1492710013,101.58,-10.7,-0.7,-14.7,20.7,23.3,1.3,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,5791.262,8.588095238095239,6.804221648523166
8445670.1,19073.8,33794,33294,170320.0,21489.1492710013,101.2,27.6,-4.7,15.5,3.4,3.4,0.0,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,5742.744,8.715454545454547,6.804221648523166
8640363.6,18772.5,33858,33564,170320.0,21489.1492710013,100.32,-13.3,-10.7,-20.7,15.7,17.9,-3.6,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,5739.132,9.170434782608694,6.804221648523166
