paid_services,salary,debt_firms,debt_fiz,trade_turnover,money_income,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,gov_debt,obligates,unemployment
846646.0,23257.5,7200,4432,42170.0,13355.019613132368,100.01,4.8,14.3,-9.5,9.5,4.8,9.5,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,5722.239,6.2005,6.804221648523166
767938.1,20242.1,7001,4288,42170.0,13355.019613132368,99.97,0.0,18.8,0.0,0.0,0.0,18.8,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,5733.566,6.3854999999999995,6.804221648523166
795890.8,20627.0,6952,4281,42170.0,13355.019613132368,100.34,-4.8,19.0,0.0,4.8,4.8,23.8,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,5754.951,7.402380952380952,6.804221648523166
713122.0,20410.6,6964,4295,42170.0,13355.019613132368,100.2,0.0,20.0,-5.0,10.5,10.5,21.1,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,5707.239,7.497727272727272,6.804221648523166
742253.5,20637.3,6927,4313,42170.0,13355.019613132368,100.02,11.1,12.5,0.0,8.3,16.7,8.3,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,5714.967,7.954999999999999,6.804221648523166
627760.7,22749.8,7207,4342,42170.0,13355.019613132368,100.05,11.8,12.5,11.8,16.7,16.7,5.6,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,5739.107,7.882380952380952,6.804221648523166
569076.1,21934.1,6967,4359,42170.0,13355.019613132368,100.13,5.9,27.8,16.7,27.8,11.1,5.6,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,5757.204,8.527391304347827,6.804221648523166
654550.2,20208.5,7176,4362,42170.0,13355.019613132368,100.13,5.9,15.8,10.5,31.6,21.1,10.5,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,5791.262,8.588095238095239,6.804221648523166
740309.7,20499.2,6979,4362,42170.0,13355.019613132368,102.61,5.3,5.0,20.0,30.0,25.0,10.0,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,5742.744,8.715454545454547,6.804221648523166
635315.1,21488.2,6948,4366,42170.0,13355.019613132368,100.31,13.3,6.3,6.3,18.8,12.5,12.5,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,5739.132,9.170434782608694,6.804221648523166
856283.4,23564.8,6886,4343,42170.0,13355.019613132368,100.53,-15.8,0.0,-4.8,19.0,0.0,33.3,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,5753.841,10.4095,6.804221648523166
919965.9,27300.2,6971,4404,42170.0,13355.019613132368,104.77,-5.9,0.0,0.0,20.0,25.0,30.0,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,5759.2,14.746521739130435,6.804221648523166
674851.2,22055.4,6961,4357,47112.0,14809.12472010567,104.02,-11.8,31.6,0.0,10.5,26.3,10.5,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,7241.169,14.117272727272727,7.18413491057078
660580.2,21892.6,6989,4294,47112.0,14809.12472010567,104.88,-21.1,23.8,-10.0,0.0,5.0,23.8,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,7240.896,13.0695,7.18413491057078
895836.0,21812.6,6965,4219,47112.0,14809.12472010567,103.96,-11.1,10.0,-9.5,19.0,23.8,14.3,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,7159.78,12.032727272727273,7.18413491057078
915857.3,21597.1,6926,4132,47112.0,14809.12472010567,101.2,-26.3,9.1,-13.6,9.1,22.7,14.3,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,6986.477,10.783181818181818,7.18413491057078
881944.8,22723.8,6352,4095,47112.0,14809.12472010567,100.37,-11.1,19.0,-18.2,18.2,18.2,31.8,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,7100.311,10.567142857142857,7.18413491057078
763182.2,22962.5,6144,4084,47112.0,14809.12472010567,100.42,0.0,13.0,0.0,21.7,17.4,13.0,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,7160.382,10.290909090909091,7.18413491057078
836891.4,22218.3,6155,4076,47112.0,14809.12472010567,99.61,-21.1,30.4,8.7,13.0,17.4,26.1,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,7041.289,10.371739130434783,7.18413491057078
819812.5,19916.2,6637,4057,47112.0,14809.12472010567,100.44,10.0,34.8,8.7,21.7,21.7,17.4,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5,7171.129,10.981904761904762,7.18413491057078
857991.8,20397.7,6795,4035,47112.0,14809.12472010567,100.18,-5.6,19.0,0.0,14.3,19.0,14.3,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0,6955.448,10.541818181818181,7.18413491057078
792253.3,20579.2,6777,3891,47112.0,14809.12472010567,101.42,4.8,13.6,-4.5,22.7,18.2,18.2,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5,6979.189,10.296363636363637,7.18413491057078
762286.8,20394.5,6832,3852,47112.0,14809.12472010567,100.52,-13.0,29.6,-11.5,14.8,7.4,29.6,2015-11-30,44.27,11.425,16.443444730077122,32161.0,7119.134,10.528571428571428,7.18413491057078
737228.5,24860.6,6793,3923,47112.0,14809.12472010567,100.46,-5.0,29.2,-16.7,12.5,8.3,12.5,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0,7160.043,10.305652173913044,7.18413491057078
799236.0,20117.5,6913,3952,46575.0,15357.920545212764,100.83,-4.2,30.8,-11.5,23.1,16.0,19.2,2016-01-31,30.7,11.017333333333333,15.74,35179.7,7307.611000000001,9.90047619047619,6.978310291923256
802720.1,21430.6,6874,3942,46575.0,15357.920545212764,100.5,-18.2,16.0,-16.0,8.0,8.0,8.0,2016-02-29,32.18,10.8425,14.74,33966.5,7272.7919999999995,9.507619047619048,6.978310291923256
1010604.3,20734.0,6753,3930,46575.0,15357.920545212764,100.23,4.2,32.1,-14.3,17.9,17.9,3.7,2016-03-31,38.21,10.94047619047619,14.5987,34309.6,7239.115,9.694347826086956,6.978310291923256
937821.8,20524.7,6743,3914,46575.0,15357.920545212764,100.29,-13.0,3.6,-21.4,7.1,11.1,-3.6,2016-04-30,41.58,10.732857142857142,13.6,34689.4,7265.907,9.577142857142857,6.978310291923256
927309.4,21796.5,6742,3961,46575.0,15357.920545212764,100.19,0.0,25.9,-14.8,14.8,23.1,3.7,2016-05-31,46.74,11.063157894736841,14.1881,35105.5,7299.487,9.728181818181817,6.978310291923256
876744.9,23497.5,6575,3873,46575.0,15357.920545212764,100.33,-8.7,20.0,-15.4,11.5,7.7,3.8,2016-06-30,48.25,10.639047619047618,14.2875,35642.9,7261.743,9.532272727272726,6.978310291923256
713907.8,20993.3,6200,3886,46575.0,15357.920545212764,100.19,-25.0,14.8,-16.0,18.5,7.4,11.1,2016-07-31,44.95,10.37904761904762,12.5623,35856.9,7363.156,9.191428571428572,6.978310291923256
1011802.5,20767.0,6110,3946,46575.0,15357.920545212764,100.11,8.7,28.6,0.0,6.9,10.3,6.9,2016-08-31,45.84,10.339565217391305,14.2065,36031.7,7431.191,9.01695652173913,6.978310291923256
1007890.1,20963.3,5740,3905,46575.0,15357.920545212764,100.12,4.3,7.1,-3.6,-10.7,0.0,0.0,2016-09-30,46.57,10.238636363636363,12.3462,36169.6,7345.051,9.001363636363637,6.978310291923256
926725.5,20625.9,5754,3899,46575.0,15357.920545212764,100.14,4.2,17.2,3.6,-3.6,3.6,7.4,2016-10-31,49.52,10.323333333333332,13.677378,36148.8,7383.563,8.895714285714286,6.978310291923256
969656.1,21356.3,5488,3971,46575.0,15357.920545212764,100.09,0.0,7.7,7.7,-3.8,4.0,3.8,2016-11-30,44.73,10.017142857142856,12.3526,36051.0,7422.921,8.530909090909091,6.978310291923256
991917.1,25480.4,5553,4003,46575.0,15357.920545212764,100.08,-8.3,3.4,0.0,-6.9,3.4,6.9,2016-12-31,53.31,10.160454545454545,11.4855,36433.0,7602.353,8.514090909090909,6.978310291923256
834580.3,20669.34994947794,5545,3930,47188.0,15947.317687959907,100.16,-4.2,6.9,-6.9,0.0,7.1,6.9,2017-01-31,54.58,10.114117647058823,12.8791,38418.0,8003.455,8.956363636363635,6.571441984914022
847440.2,21078.197947673507,5534,4541,47188.0,15947.317687959907,100.16,0.0,14.3,3.4,13.8,3.4,3.4,2017-02-28,54.87,10.14111111111111,11.162068965517241,38016.8,8073.9,8.928,6.571441984914022
2442715.7,21312.19815586313,5525,3830,47188.0,15947.317687959907,100.06,14.8,16.7,-3.3,26.7,20.0,3.3,2017-03-31,51.59,9.897727272727273,10.959,38462.3,8164.026,8.403478260869566,6.571441984914022
2481370.3,21345.716420551744,5417,3870,47188.0,15947.317687959907,100.36,14.8,10.0,3.3,16.7,30.0,13.3,2017-04-30,52.31,9.5765,10.2704,38555.2,8308.139,8.2005,6.571441984914022
2448347.9,22759.53240639151,5391,3905,47188.0,15947.317687959907,100.15,-3.2,19.4,11.1,8.3,16.7,2.8,2017-05-31,50.33,9.1345,10.3398,38663.8,8318.296,8.04,6.571441984914022
2411535.2,25115.43177719896,5377,3892,47188.0,15947.317687959907,100.11,0.0,19.0,16.7,21.4,28.6,2.4,2017-06-30,46.37,9.109047619047619,10.6924,39222.9,8480.426,7.963181818181818,6.571441984914022
2426161.5,22586.48243886427,5320,3933,47188.0,15947.317687959907,100.17,7.9,17.1,19.5,17.1,22.0,9.8,2017-07-31,48.48,8.947619047619048,9.527,39623.1,8469.1,7.747619047619047,6.571441984914022
2424455.9,20391.156999696326,5334,4029,47188.0,15947.317687959907,100.95,7.9,9.8,12.2,26.8,31.7,4.9,2017-08-31,51.7,8.536521739130436,9.5559,39275.9,8602.781,7.55,6.571441984914022
2666399.1,21420.57305465607,5302,4107,47188.0,15947.317687959907,100.57,2.4,4.7,7.0,4.7,7.0,0.0,2017-09-30,56.15,8.373809523809523,9.85,39419.3,8740.747,7.454285714285714,6.571441984914022
2697823.7,20667.12969223933,5326,4196,47188.0,15947.317687959907,100.44,0.0,2.4,-7.3,-7.3,-4.9,-4.9,2017-10-31,57.51,8.043181818181818,8.6866,39571.0,8881.996,7.167727272727273,6.571441984914022
2899891.9,21914.39357553169,5373,4260,47188.0,15947.317687959907,100.39,-9.1,-2.2,-8.7,-6.5,-2.2,-8.7,2017-11-30,62.71,8.014285714285714,8.7425,39667.5,8996.625,6.662727272727273,6.571441984914022
2744579.3,25765.30185758514,5372,4355,47188.0,15947.317687959907,100.51,-11.1,6.5,-21.7,2.2,4.3,2.2,2017-12-31,64.37,7.729523809523809,8.8793,40114.4,9137.26118630712,6.580952380952381,6.571441984914022
2848263.8,23361.88335593877,5353,4464,51934.0,16046.735746876466,100.43,-9.3,0.0,0.0,-6.7,-6.7,-2.2,2018-01-31,69.08,7.087647058823529,8.4402,42442.2,7247.124,6.2004347826086965,6.1464119426629304
2951290.1,25096.121701755084,5275,4541,51934.0,16046.735746876466,100.2,-4.7,6.7,-8.9,0.0,4.4,4.4,2018-02-28,65.32,7.145263157894736,8.4687,41597.5,8660.537,6.548,6.1464119426629304
2590961.0,25998.827202497698,5369,4659,51934.0,16046.735746876466,100.01,-16.3,10.9,2.2,4.3,10.9,2.2,2018-03-31,66.02,7.1465000000000005,7.8145,42045.5,8778.0903,6.571363636363636,6.1464119426629304
2636039.9,25003.764413074336,5432,4781,51934.0,16046.735746876466,100.07,-9.3,2.1,10.4,6.3,16.7,8.3,2018-04-30,72.11,7.002857142857143,8.5564,42377.0,8675.751,6.799047619047619,6.1464119426629304
2615702.2,28625.10034263338,5492,4972,51934.0,16046.735746876466,100.09,-19.0,6.4,4.3,8.5,15.2,6.4,2018-05-31,76.98,6.9455,9.8368,43122.0,8733.564,6.89,6.1464119426629304
2576029.9,28766.34668129457,5474,5089,51934.0,16046.735746876466,100.09,0.0,6.0,12.0,28.0,30.6,8.2,2018-06-30,74.41,7.0215000000000005,9.6818,43257.4,8821.659,7.356666666666667,6.1464119426629304
2533966.6,23744.14531564297,5497,5301,51934.0,16046.735746876466,99.94,-4.3,9.6,-5.8,15.4,19.6,7.7,2018-07-31,74.25,7.089545454545455,9.9011,44126.7,8898.644,7.568181818181818,6.1464119426629304
2708337.9,23499.13352588314,5503,5468,51934.0,16046.735746876466,100.07,-6.7,5.7,-13.2,5.7,9.6,1.9,2018-08-31,72.53,7.027826086956521,10.0697,43910.3,9043.77,7.532608695652174,6.1464119426629304
2780318.4,24287.89891782145,5496,5514,51934.0,16046.735746876466,100.23,-6.7,11.3,-15.1,-3.8,0.0,3.8,2018-09-30,78.89,7.148999999999999,9.3386,44369.1,9047.151,7.7090000000000005,6.1464119426629304
3001638.9,24314.425471362505,5542,5669,51934.0,16046.735746876466,100.21,6.1,14.5,9.1,7.3,9.1,5.5,2018-10-31,81.03,7.267391304347826,9.8309,44254.7,9043.279,7.764782608695652,6.1464119426629304
3017528.5,25663.353350189635,5449,5838,51934.0,16046.735746876466,100.2,-1.9,12.5,-10.9,-8.9,-7.1,10.7,2018-11-30,64.75,7.2509523809523815,10.2363,44218.4,9094.735,7.582272727272727,6.1464119426629304
3015470.4,29842.516587866026,5446,5974,51934.0,16046.735746876466,100.18,-10.6,3.6,-7.3,1.8,9.1,12.7,2018-12-31,57.36,7.492380952380953,10.3632,44891.6,9137.513,7.614285714285715,6.1464119426629304
3027536.1,25005.5,2515,6044,52730.0,16450.30547086511,100.25,-4.0,19.6,-12.5,5.4,3.6,7.1,2019-01-31,59.41,7.645294117647059,10.1363,47109.3,9176.396,7.45695652173913,6.54848082810458
2992388.3,25319.0,2554,6117,52730.0,16450.30547086511,100.41,-5.8,12.3,-12.3,21.1,22.8,5.3,2019-02-28,63.96,7.5905000000000005,9.1406,45721.2,9212.028,7.555,6.54848082810458
2716059.5,27312.8,2451,6192,52730.0,16450.30547086511,100.74,11.5,11.5,-3.3,23.0,19.7,6.7,2019-03-31,66.14,7.676,9.39,46212.6,9229.171,7.310476190476191,6.54848082810458
2767830.4,26613.5,2410,6301,52730.0,16450.30547086511,100.3,9.803921568627448,9.83606557377049,0.0,19.672131147541002,21.311475409836095,1.63934426229508,2019-04-30,71.23,7.745454545454546,9.2639,46141.2,9497.341,7.115454545454545,6.54848082810458
2607997.1,31608.5,2385,6424,52730.0,16450.30547086511,100.2,0.0,9.8,-13.1,21.3,21.4,0.0,2019-05-31,71.32,7.7155555555555555,9.4292,46435.9,9903.055,6.882608695652174,6.54848082810458
1531847.2,30650.6,2371,6512,52730.0,16450.30547086511,100.24,-9.4,6.9,-5.6,9.7,11.1,-1.4,2019-06-30,64.22,7.576842105263158,9.3712,46735.3,10029.368,6.7909999999999995,6.54848082810458
1871450.7,24306.4,2369,6661,52730.0,16450.30547086511,100.12,1.5625,7.14285714285714,-5.714285714285709,21.428571428571395,21.428571428571395,0.0,2019-07-31,63.92,7.320434782608696,9.1104,47349.4,10135.103,6.565652173913043,6.54848082810458
2346231.4,25066.2,2366,6831,52730.0,16450.30547086511,100.3,-5.88235294117647,13.3333333333333,-8.0,4.0,4.0,6.666666666666669,2019-08-31,59.04,7.132272727272727,8.8941,47351.0,10428.073,6.056363636363637,6.54848082810458
2744891.1,25718.5,2315,6980,52730.0,16450.30547086511,100.25,-7.04225352112676,6.49350649350649,-3.8961038961039,0.0,1.2987012987012998,2.5974025974026,2019-09-30,62.83,6.855714285714286,8.6122,47584.1,10514.002,5.792857142857143,6.54848082810458
2935412.4,26451.9,2326,7145,52730.0,16450.30547086511,100.59,-5.633802816901409,9.09090909090909,-5.194805194805189,0.0,1.2987012987012998,1.2987012987012998,2019-10-31,59.71,6.789999999999999,8.2566,48266.8,10597.713,5.475652173913043,6.54848082810458
3080261.3,27213.6,2321,7241,52730.0,16450.30547086511,100.56,-9.09090909090909,4.81927710843373,-14.457831325301198,0.0,-1.2048192771084298,6.02409638554217,2019-11-30,63.21,6.457000000000001,9.0219,48082.4,10678.065,5.349523809523809,6.54848082810458
3008594.4,32969.4,2232,7416,52730.0,16450.30547086511,100.3,-8.0,8.536585365853659,-2.4390243902438997,7.317073170731709,8.536585365853659,7.317073170731709,2019-12-31,67.31,6.151363636363637,8.2594,49195.3,10739.872,5.890909090909091,6.54848082810458
2923624.1,27834.9,2908,7544,51826.0,16944.6031784712,100.4,-16.4383561643836,19.512195121951198,-12.1951219512195,13.4146341463415,13.75,15.0,2020-01-31,63.65,6.038823529411765,7.9343,51660.3,10388.641381697022,5.826086956521739,7.812916335560678
3176108.0,27698.5,2932,7680,51826.0,16944.6031784712,100.16,-9.09090909090909,8.23529411764706,-4.705882352941179,8.23529411764706,7.14285714285714,18.8235294117647,2020-02-29,55.66,5.938421052631579,7.8881,50622.9,10339.51764566119,5.011,7.812916335560678
2947738.3,28309.7,3533,7779,51826.0,16944.6031784712,100.36,10.769230769230802,14.6666666666667,-2.66666666666667,-2.66666666666667,-5.3333333333333295,10.958904109588998,2020-03-31,32.01,5.79421052631579,7.9881,51314.2,10626.35,4.376818181818182,7.812916335560678
3123836.8,27733.0,3549,7733,51826.0,16944.6031784712,100.39,-27.7777777777778,11.5384615384615,-37.1794871794872,12.8205128205128,8.97435897435897,0.0,2020-04-30,18.38,5.994736842105263,8.2881,52327.0,10776.057,4.233181818181818,7.812916335560678
3096282.0,31655.9,3522,7728,51826.0,16944.6031784712,100.21,-32.258064516129,11.5384615384615,-19.2307692307692,27.2727272727273,25.3333333333333,10.389610389610398,2020-05-31,29.38,5.468823529411765,8.4881,52951.7,11171.059874795099,4.2195238095238095,7.812916335560678
2967127.4,35017.3,3490,7792,51826.0,16944.6031784712,100.08,-15.625,8.0,-10.8108108108108,25.3333333333333,25.3333333333333,6.666666666666669,2020-06-30,40.27,4.994,8.5881,53068.0,11402.559,4.210454545454545,7.812916335560678
2786865.8,28841.7,3561,7863,51826.0,16944.6031784712,100.12,-5.40540540540541,4.878048780487799,-4.878048780487799,19.512195121951198,18.292682926829297,9.75609756097561,2020-07-31,43.24,4.2290909090909095,8.8231,54392.6,11584.996663583599,4.293478260869565,7.812916335560678
2826740.7,29172.8,3567,8018,51826.0,16944.6031784712,100.28,1.2820512820512802,17.8571428571429,3.57142857142857,3.57142857142857,4.761904761904759,12.1951219512195,2020-08-31,44.74,4.155238095238095,8.9478,54687.4,12402.286708654,4.355238095238095,7.812916335560678
2905162.7,30336.0,3516,7907,51826.0,16944.6031784712,100.38,-7.40740740740741,4.4943820224719095,-6.81818181818182,19.101123595505598,17.9775280898876,14.7727272727273,2020-09-30,40.91,4.165,9.668,55294.2,13924.644,4.368181818181818,7.812916335560678
3108757.6,29820.2,2884,8071,51826.0,16944.6031784712,100.43,-17.5,8.791208791208788,-7.69230769230769,7.69230769230769,6.5934065934065895,8.791208791208788,2020-10-31,40.19,4.174090909090909,10.1207,56023.9,14685.855,4.283636363636363,7.812916335560678
3187500.3,28424.1,2898,8240,51826.0,16944.6031784712,100.62,-13.157894736842099,5.74712643678161,-15.9090909090909,4.545454545454549,4.545454545454549,14.942528735632198,2020-11-30,42.69,4.061999999999999,11.507,55871.6,14751.438,4.588571428571429,7.812916335560678
3111469.1,36802.4,2943,8317,51826.0,16944.6031784712,100.47,-14.8648648648649,10.8433734939759,-4.705882352941179,3.75,3.75,16.0493827160494,2020-12-31,49.99,4.171304347826087,10.4836,56122.6,14794.696,5.043478260869565,7.812916335560678
3191824.6,29984.1,2938,8357,59569.0,17246.957901960002,100.29,-16.2162162162162,16.25,-3.79746835443038,25.6410256410256,28.947368421052598,14.285714285714299,2021-01-31,54.77,4.306,9.8636,58652.1,14880.142,5.301428571428572,6.374133645176288
3438658.9,29952.7,2996,8359,59569.0,17246.957901960002,100.46,-17.808219178082197,16.867469879518097,-8.43373493975904,30.379746835442997,30.8641975308642,22.222222222222197,2021-02-28,62.28,4.057894736842105,10.0714,57598.4,15434.447,5.6375,6.374133645176288
3583811.3,30479.1,3022,8516,59569.0,17246.957901960002,100.85,5.660377358490569,21.6666666666667,3.3333333333333295,35.0,35.0,13.3333333333333,2021-03-31,65.41,4.222272727272728,11.879,58178.2,15832.7775710847,6.19,6.374133645176288
3586699.3,31339.0,3036,8712,59569.0,17246.957901960002,100.88,22.3880597014925,13.8888888888889,15.0684931506849,37.8378378378378,35.616438356164394,4.05405405405405,2021-04-30,64.81,4.514545454545455,11.3279,58261.6,15980.095,6.540454545454545,6.374133645176288
3494965.5,35182.4,3106,8847,59569.0,17246.957901960002,100.61,3.75,21.348314606741596,-4.4943820224719095,42.22222222222219,39.772727272727295,14.7727272727273,2021-05-31,68.53,4.791052631578947,11.9136,59206.3,16186.672,6.611428571428571,6.374133645176288
3443450.3,32092.8,2974,9010,59569.0,17246.957901960002,100.36,10.389610389610398,27.710843373493997,-3.6144578313253,33.734939759036095,32.9268292682927,10.126582278481,2021-06-30,73.16,5.1033333333333335,13.3997,59194.1,16339.568,6.965454545454546,6.374133645176288
3439984.1,27551.3,2998,9201,59569.0,17246.957901960002,100.34,0.0,39.772727272727295,1.13636363636364,27.2727272727273,28.4090909090909,13.7931034482759,2021-07-31,75.17,5.759545454545454,12.4946,59583.9,16483.37251270243,7.621363636363636,6.374133645176288
3430512.8,27912.4,3051,9393,59569.0,17246.957901960002,100.32,-11.904761904761898,40.4494382022472,-7.86516853932584,14.6067415730337,14.6067415730337,29.5454545454545,2021-08-31,70.75,6.297272727272727,12.3028,59379.7,16678.1427138101,8.428636363636365,6.374133645176288
