paid_services,debt_firms,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,obligates
362810.2,8121,100.22,-58.3333333333333,-26.315789473684198,-52.631578947368396,55.2631578947368,50.0,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
356098.1,8115,100.13,21.7391304347826,-21.0526315789474,-15.789473684210499,23.684210526315802,13.157894736842099,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
363186.3,8019,100.92,-21.7391304347826,-15.789473684210499,-26.315789473684198,39.4736842105263,42.105263157894704,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
389355.6,8283,100.37,29.1666666666667,-7.89473684210526,-15.789473684210499,28.947368421052598,21.0526315789474,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
358851.4,8275,100.87,-8.0,-15.789473684210499,-21.0526315789474,31.578947368421098,28.947368421052598,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
333561.6,8245,100.11,16.0,-2.63157894736842,0.0,44.73684210526319,36.84210526315789,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
324409.4,8228,100.62,-8.0,-18.4210526315789,-7.89473684210526,31.578947368421098,23.684210526315802,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
338138.0,8151,100.72,4.16666666666667,-18.4210526315789,-21.0526315789474,28.947368421052598,18.4210526315789,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
344445.7,8531,100.52,20.0,-2.5641025641025603,-7.69230769230769,23.076923076923094,25.6410256410256,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
359104.8,8442,100.49,16.0,-15.3846153846154,2.5641025641025603,35.8974358974359,35.8974358974359,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
378354.6,8262,101.41,-24.0,0.0,-25.6410256410256,12.8205128205128,15.3846153846154,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,10.4095
415279.6,8101,103.35,33.3333333333333,2.5641025641025603,2.5641025641025603,17.9487179487179,23.076923076923094,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,14.746521739130435
329805.3,7959,102.88,13.0434782608696,12.8205128205128,-5.1282051282051295,35.8974358974359,33.3333333333333,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,14.117272727272727
431058.5,7829,101.59,-26.086956521739097,2.9411764705882404,-47.0588235294118,2.9411764705882404,14.705882352941199,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,13.0695
439782.5,7545,101.96,8.69565217391304,18.75,-12.5,25.0,15.625,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,12.032727272727273
488633.8,7454,100.66,30.4347826086957,18.75,12.5,25.0,18.75,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,10.783181818181818
420080.1,7493,100.45,-8.69565217391304,0.0,-28.125,15.625,12.5,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,10.567142857142857
417290.6,7394,99.8,-4.545454545454549,-8.82352941176471,-11.764705882352898,23.529411764705902,20.5882352941176,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,10.290909090909091
314743.8,7352,100.33,0.0,8.82352941176471,-14.705882352941199,2.9411764705882404,8.82352941176471,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,10.371739130434783
338495.4,7253,100.92,-8.33333333333333,11.764705882352898,-26.470588235294098,8.82352941176471,-8.82352941176471,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5,10.981904761904762
374994.2,7174,101.32,-4.34782608695652,-11.764705882352898,-20.5882352941176,-14.705882352941199,-23.529411764705902,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0,10.541818181818181
374968.9,7001,100.98,12.5,8.82352941176471,-5.88235294117647,8.82352941176471,0.0,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5,10.296363636363637
371328.4,7258,100.7,26.9230769230769,17.6470588235294,2.9411764705882404,8.82352941176471,11.764705882352898,2015-11-30,44.27,11.425,16.443444730077122,32161.0,10.528571428571428
423311.8,7096,100.48,3.7037037037037,14.705882352941199,-11.764705882352898,0.0,-2.9411764705882404,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0,10.305652173913044
362804.2,7085,100.68,-7.69230769230769,14.705882352941199,-20.5882352941176,-8.82352941176471,-2.9411764705882404,2016-01-31,30.7,11.017333333333333,15.74,35179.7,9.90047619047619
373564.5,7039,100.78,-12.0,14.705882352941199,-14.705882352941199,-5.88235294117647,0.0,2016-02-29,32.18,10.8425,14.74,33966.5,9.507619047619048
443267.7,7046,100.66,-26.9230769230769,5.88235294117647,-35.2941176470588,-17.6470588235294,-11.764705882352898,2016-03-31,38.21,10.94047619047619,14.5987,34309.6,9.694347826086956
433165.8,7034,100.91,11.5384615384615,20.5882352941176,-8.82352941176471,-2.9411764705882404,2.9411764705882404,2016-04-30,41.58,10.732857142857142,13.6,34689.4,9.577142857142857
491959.5,7013,100.34,12.5,17.6470588235294,-14.705882352941199,-5.88235294117647,20.5882352941176,2016-05-31,46.74,11.063157894736841,14.1881,35105.5,9.728181818181817
415995.0,6863,100.18,-3.57142857142857,0.0,-24.324324324324294,-5.40540540540541,5.40540540540541,2016-06-30,48.25,10.639047619047618,14.2875,35642.9,9.532272727272726
370775.7,6912,100.01,-14.814814814814799,-13.5135135135135,-21.621621621621596,-29.729729729729698,-24.324324324324294,2016-07-31,44.95,10.37904761904762,12.5623,35856.9,9.191428571428572
397821.2,6964,100.32,-3.57142857142857,8.10810810810811,-13.5135135135135,-29.729729729729698,-27.027027027027,2016-08-31,45.84,10.339565217391305,14.2065,36031.7,9.01695652173913
403609.2,6815,100.73,-3.57142857142857,8.10810810810811,-25.0,-5.40540540540541,-2.7027027027027,2016-09-30,46.57,10.238636363636363,12.3462,36169.6,9.001363636363637
399976.7,7111,100.56,-14.285714285714299,8.10810810810811,-27.027027027027,-2.7027027027027,0.0,2016-10-31,49.52,10.323333333333332,13.677378,36148.8,8.895714285714286
405295.0,6989,100.32,0.0,5.40540540540541,-16.2162162162162,-5.40540540540541,0.0,2016-11-30,44.73,10.017142857142856,12.3526,36051.0,8.530909090909091
421654.7,6966,100.42,7.14285714285714,5.40540540540541,-5.40540540540541,-16.2162162162162,-16.2162162162162,2016-12-31,53.31,10.160454545454545,11.4855,36433.0,8.514090909090909
423905.0,6900,100.82,-35.7142857142857,13.5135135135135,-32.4324324324324,-10.8108108108108,8.10810810810811,2017-01-31,54.58,10.114117647058823,12.8791,38418.0,8.956363636363635
452326.1,6469,100.51,-7.14285714285714,2.7027027027027,-24.324324324324294,2.7027027027027,-10.8108108108108,2017-02-28,54.87,10.14111111111111,11.162068965517241,38016.8,8.928
5885337.0,6493,99.94,-7.14285714285714,13.5135135135135,-21.621621621621596,13.5135135135135,13.5135135135135,2017-03-31,51.59,9.897727272727273,10.959,38462.3,8.403478260869566
5856924.8,6501,100.14,0.0,0.0,-10.8108108108108,2.7027027027027,2.7027027027027,2017-04-30,52.31,9.5765,10.2704,38555.2,8.2005
6505862.3,6442,100.12,0.0,8.10810810810811,-21.621621621621596,18.918918918918898,2.7027027027027,2017-05-31,50.33,9.1345,10.3398,38663.8,8.04
6342059.9,6349,99.93,23.076923076923094,10.8108108108108,0.0,0.0,10.8108108108108,2017-06-30,46.37,9.109047619047619,10.6924,39222.9,7.963181818181818
