paid_services,debt_firms,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,obligates
1534772.6,56698,100.27,-25.6,25.3,-17.7,6.3,17.7,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
1628975.0,57261,100.41,-13.5,25.3,-17.1,13.2,18.4,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
1688569.7,57433,100.52,1.3,30.3,-6.6,25.0,17.1,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
1640203.8,57743,100.76,-3.6,26.2,-4.8,20.2,14.3,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
1649543.1,57666,100.6,3.7,30.5,-2.5,13.4,17.1,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
1626772.0,60406,100.8,4.9,28.0,0.0,16.0,13.4,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
1735070.1,59148,100.66,2.5,26.8,2.4,19.8,17.1,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
1600691.6,59556,100.9,1.2,26.6,3.7,11.3,13.4,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
1498786.7,59762,100.62,-3.7,36.6,2.4,9.8,17.1,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
1529620.0,59371,101.06,8.5,32.9,-2.4,2.4,13.4,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
1605567.1,60225,101.18,-4.8,34.9,-4.8,0.0,16.9,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,10.4095
1855105.3,60314,102.61,6.1,29.3,-4.9,-7.4,21.0,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,14.746521739130435
1586168.1,61660,103.63,-14.7,27.9,-14.7,19.1,16.2,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,14.117272727272727
1723581.6,61628,102.22,-5.1,31.6,-15.2,17.7,17.7,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,13.0695
1839880.1,61348,101.97,3.8,36.7,-8.9,20.3,15.2,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,12.032727272727273
1822389.1,60809,100.77,-1.3,35.5,-15.8,22.4,11.8,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,10.783181818181818
1628304.4,60010,100.63,-1.3,31.6,-11.8,22.4,13.2,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,10.567142857142857
1707129.1,59979,100.43,5.4,38.7,-12.0,29.3,17.3,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,10.290909090909091
1843127.1,64977,100.15,4.1,36.5,-14.7,25.3,9.3,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,10.371739130434783
