inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2
100.31,-25.2,17.3,-13.6,20.0,5.5,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6
100.87,5.5,20.7,-3.6,27.0,9.0,2014-02-28,108.9,5.9935,11.795154185022026,29861.2
100.56,13.9,21.7,-3.5,32.2,7.8,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0
100.79,-15.9,21.1,1.8,33.3,12.3,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3
101.07,-2.6,17.7,-4.4,28.9,11.5,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0
101.01,11.0,21.2,10.2,27.1,16.1,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8
100.5,34.5,20.0,14.8,28.7,13.9,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1
100.35,-2.6,32.2,-6.6,24.0,20.7,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3
100.97,5.8,35.5,4.0,4.8,21.8,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7
100.64,-2.5,35.0,-1.7,10.0,18.3,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6
101.49,-22.5,51.2,-10.7,-5.0,29.8,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2
102.45,20.0,53.7,-0.8,1.7,37.0,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9
103.28,-46.7,54.8,-16.1,8.1,24.2,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7
102.23,-5.8,46.7,-17.2,25.4,23.8,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7
101.3,37.8,39.7,-8.3,23.1,12.4,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0
100.84,-8.3,19.0,-13.2,33.9,16.5,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8
100.43,-10.9,19.2,-15.0,28.3,19.3,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9
100.05,15.8,30.6,-8.3,24.0,20.7,2015-06-30,61.48,12.503333333333334,13.9452,31820.4
100.35,14.0,21.5,-3.3,24.8,19.0,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3
100.81,15.0,25.6,-4.1,14.9,19.0,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5
100.83,1.7,33.1,-11.6,9.1,17.4,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0
100.85,0.0,27.3,-15.7,-1.7,16.5,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5
100.33,-20.7,42.1,-29.8,-10.7,24.0,2015-11-30,44.27,11.425,16.443444730077122,32161.0
100.27,15.7,35.2,-18.0,-2.5,26.2,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0
100.66,-45.4,36.1,-30.3,17.2,15.6,2016-01-31,30.7,11.017333333333333,15.74,35179.7
100.46,9.2,24.0,-12.4,29.8,14.9,2016-02-29,32.18,10.8425,14.74,33966.5
100.2,8.1,27.2,-12.8,18.4,13.6,2016-03-31,38.21,10.94047619047619,14.5987,34309.6
99.99,-19.2,30.0,-12.4,24.8,11.6,2016-04-30,41.58,10.732857142857142,13.6,34689.4
100.42,-4.2,28.3,-2.5,40.8,19.3,2016-05-31,46.74,11.063157894736841,14.1881,35105.5
100.28,18.3,26.4,-1.7,32.2,22.7,2016-06-30,48.25,10.639047619047618,14.2875,35642.9
100.06,8.5,30.0,-7.5,38.3,21.0,2016-07-31,44.95,10.37904761904762,12.5623,35856.9
100.04,15.3,28.3,2.5,23.3,16.0,2016-08-31,45.84,10.339565217391305,14.2065,36031.7
100.42,0.0,30.3,-3.3,10.8,14.3,2016-09-30,46.57,10.238636363636363,12.3462,36169.6
100.4,6.7,26.9,2.5,3.4,13.4,2016-10-31,49.52,10.323333333333332,13.677378,36148.8
100.32,-5.0,33.3,-8.3,4.2,15.0,2016-11-30,44.73,10.017142857142856,12.3526,36051.0
100.46,-5.1,37.8,-9.2,6.7,10.9,2016-12-31,53.31,10.160454545454545,11.4855,36433.0
100.13,-31.6,21.2,-22.0,23.7,4.2,2017-01-31,54.58,10.114117647058823,12.8791,38418.0
100.0,-5.9,17.8,-3.4,28.6,5.0,2017-02-28,54.87,10.14111111111111,11.162068965517241,38016.8
99.95,2.5,17.6,-5.8,25.0,-0.8,2017-03-31,51.59,9.897727272727273,10.959,38462.3
99.9,0.0,19.5,-9.3,27.1,-0.8,2017-04-30,52.31,9.5765,10.2704,38555.2
99.78,-1.7,17.9,3.4,34.2,6.8,2017-05-31,50.33,9.1345,10.3398,38663.8
100.32,7.8,16.4,0.9,37.1,15.5,2017-06-30,46.37,9.109047619047619,10.6924,39222.9
100.18,9.6,16.4,0.9,26.1,16.4,2017-07-31,48.48,8.947619047619048,9.527,39623.1
100.17,18.4,23.5,2.6,19.1,16.5,2017-08-31,51.7,8.536521739130436,9.5559,39275.9
99.97,2.6,27.8,0.0,12.2,14.8,2017-09-30,56.15,8.373809523809523,9.85,39419.3
100.08,5.3,23.0,0.0,5.3,8.8,2017-10-31,57.51,8.043181818181818,8.6866,39571.0
100.01,-6.2,19.5,-6.2,-1.8,3.5,2017-11-30,62.71,8.014285714285714,8.7425,39667.5
100.11,-4.5,11.6,-2.7,11.6,16.1,2017-12-31,64.37,7.729523809523809,8.8793,40114.4
100.13,-24.8,11.7,-8.1,34.2,12.6,2018-01-31,69.08,7.087647058823529,8.4402,42442.2
99.79,-0.9,11.0,4.5,39.1,12.7,2018-02-28,65.32,7.145263157894736,8.4687,41597.5
100.1,19.4,23.6,1.8,23.6,-1.8,2018-03-31,66.02,7.1465000000000005,7.8145,42045.5
100.14,4.6,20.9,0.9,26.4,9.1,2018-04-30,72.11,7.002857142857143,8.5564,42377.0
100.19,2.8,12.7,1.8,31.8,7.3,2018-05-31,76.98,6.9455,9.8368,43122.0
100.41,6.4,23.2,3.6,33.0,7.1,2018-06-30,74.41,7.0215000000000005,9.6818,43257.4
100.43,10.5,20.2,0.0,33.3,9.6,2018-07-31,74.25,7.089545454545455,9.9011,44126.7
100.33,15.4,25.6,9.3,27.1,17.8,2018-08-31,72.53,7.027826086956521,10.0697,43910.3
100.45,-4.2,30.6,1.7,17.4,17.4,2018-09-30,78.89,7.148999999999999,9.3386,44369.1
100.34,0.0,32.8,1.7,6.7,17.6,2018-10-31,81.03,7.267391304347826,9.8309,44254.7
100.37,-1.7,41.7,-1.7,7.0,20.9,2018-11-30,64.75,7.2509523809523815,10.2363,44218.4
100.48,6.0,32.5,-1.7,10.3,21.4,2018-12-31,57.36,7.492380952380953,10.3632,44891.6
100.54,-22.6,38.3,-13.9,28.7,14.8,2019-01-31,59.41,7.645294117647059,10.1363,47109.3
100.17,0.9,35.3,-8.6,32.8,15.7,2019-02-28,63.96,7.5905000000000005,9.1406,45721.2
100.29,9.4,30.3,-6.7,33.6,12.6,2019-03-31,66.14,7.676,9.39,46212.6
100.08,9.61538461538462,26.6666666666667,-10.4761904761905,34.2857142857143,4.761904761904759,2019-04-30,71.23,7.745454545454546,9.2639,46141.2
100.26,0.9,14.9,-7.0,27.8,15.9,2019-05-31,71.32,7.7155555555555555,9.4292,46435.9
100.32,-1.8,29.2,-10.6,33.6,18.6,2019-06-30,64.22,7.576842105263158,9.3712,46735.3
100.28,10.0,28.0701754385965,-9.56521739130435,27.826086956521703,14.035087719298199,2019-07-31,63.92,7.320434782608696,9.1104,47349.4
99.96,6.306306306306309,26.495726495726498,-14.5299145299145,23.076923076923094,17.0940170940171,2019-08-31,59.04,7.132272727272727,8.8941,47351.0
100.05,-5.5045871559633,23.8938053097345,-8.7719298245614,20.175438596491198,17.543859649122798,2019-09-30,62.83,6.855714285714286,8.6122,47584.1
99.95,1.78571428571429,25.0,-11.206896551724098,6.89655172413793,11.206896551724098,2019-10-31,59.71,6.789999999999999,8.2566,48266.8
100.23,-15.3846153846154,21.367521367521398,-7.56302521008403,-5.08474576271186,10.924369747899199,2019-11-30,63.21,6.457000000000001,9.0219,48082.4
100.1,1.5625,26.515151515151498,-10.6060606060606,-3.78787878787879,12.878787878787898,2019-12-31,67.31,6.151363636363637,8.2594,49195.3
99.89,-25.8620689655172,13.5593220338983,-19.4915254237288,14.159292035398199,13.445378151260499,2020-01-31,63.65,6.038823529411765,7.9343,51660.3
100.05,1.92307692307692,22.641509433962298,3.77358490566038,21.153846153846196,14.4230769230769,2020-02-29,55.66,5.938421052631579,7.8881,50622.9
100.64,-4.12371134020619,37.6237623762376,-6.93069306930693,-6.93069306930693,11.0,2020-03-31,32.01,5.79421052631579,7.9881,51314.2
100.42,-30.3030303030303,28.0373831775701,-29.906542056074798,24.0384615384615,7.47663551401869,2020-04-30,18.38,5.994736842105263,8.2881,52327.0
100.22,-25.0,25.4545454545455,-30.0,10.4761904761905,13.6363636363636,2020-05-31,29.38,5.468823529411765,8.4881,52951.7
100.09,-12.2641509433962,26.1261261261261,-14.414414414414399,23.8532110091743,10.9090909090909,2020-06-30,40.27,4.994,8.5881,53068.0
100.27,10.4761904761905,37.962962962963,7.40740740740741,20.5607476635514,14.953271028037399,2020-07-31,43.24,4.2290909090909095,8.8231,54392.6
100.2,-4.67289719626168,28.828828828828797,-5.357142857142859,16.9642857142857,13.392857142857098,2020-08-31,44.74,4.155238095238095,8.9478,54687.4
99.96,4.545454545454549,30.630630630630602,0.900900900900901,6.603773584905659,10.377358490566,2020-09-30,40.91,4.165,9.668,55294.2
