paid_services,debt_firms,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,obligates
1751539.3,16207,100.33,2.9,23.5,17.6,44.1,29.4,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
1763869.0,16654,100.31,-9.1,36.4,3.0,39.4,27.3,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
1807168.8,16880,100.36,10.3,45.2,16.1,41.9,16.1,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
1646677.6,16995,100.64,10.7,36.7,13.3,33.3,10.0,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
1743843.7,16756,100.61,-63.6,30.8,-46.2,7.7,0.0,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
1642375.9,15849,100.86,-25.0,29.4,-23.5,11.8,11.8,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
1826905.3,15931,100.59,11.1,11.1,-11.1,55.6,11.1,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
2163888.1,15042,100.65,10.0,0.0,-10.0,20.0,0.0,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
1851172.1,15373,100.81,-18.2,-9.1,0.0,18.2,9.1,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
1797000.2,15208,100.47,0.0,21.4,15.4,35.7,23.1,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
1803238.6,15544,101.11,25.0,31.3,18.8,37.5,50.0,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,10.4095
2374087.3,14479,102.54,23.5,29.4,0.0,23.5,41.2,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,14.746521739130435
2018144.0,14377,103.04,-5.9,10.5,0.0,15.8,5.3,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,14.117272727272727
1871693.5,14389,102.04,4.5,12.5,12.5,8.3,21.7,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,13.0695
2004226.0,14748,101.01,-10.0,34.8,-8.7,39.1,34.8,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,12.032727272727273
1898473.2,14757,101.1,-13.6,21.7,-4.3,4.3,26.1,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,10.783181818181818
1719595.1,14697,100.53,-22.7,26.1,-4.3,8.7,26.1,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,10.567142857142857
1957282.0,14695,100.3,-27.3,47.8,-8.7,-8.7,26.1,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,10.290909090909091
2038425.9,15838,100.34,-13.6,26.1,8.7,17.4,17.4,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,10.371739130434783
2308159.3,15946,100.74,-47.4,14.3,-23.8,4.8,14.3,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5,10.981904761904762
2013030.6,16342,101.16,-27.3,21.7,-4.3,-8.7,4.3,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0,10.541818181818181
1978536.1,16510,101.04,4.5,4.3,4.3,4.3,13.0,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5,10.296363636363637
1966282.2,16466,101.4,-12.5,20.0,4.0,-12.0,-8.0,2015-11-30,44.27,11.425,16.443444730077122,32161.0,10.528571428571428
2358776.9,16720,100.66,-10.3,30.0,-3.3,-10.0,0.0,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0,10.305652173913044
1944769.6,16540,100.45,6.9,26.7,3.3,16.7,6.7,2016-01-31,30.7,11.017333333333333,15.74,35179.7,9.90047619047619
2013618.4,16170,100.33,-31.0,20.0,-16.7,3.3,-3.3,2016-02-29,32.18,10.8425,14.74,33966.5,9.507619047619048
2000087.0,15758,100.86,-7.1,13.3,-23.3,0.0,-6.7,2016-03-31,38.21,10.94047619047619,14.5987,34309.6,9.694347826086956
1891556.9,16143,100.82,-8.7,0.0,-8.7,13.0,21.7,2016-04-30,41.58,10.732857142857142,13.6,34689.4,9.577142857142857
1789221.2,15687,100.5,-4.0,3.8,-19.2,38.5,26.9,2016-05-31,46.74,11.063157894736841,14.1881,35105.5,9.728181818181817
2021249.1,14651,100.32,-6.9,-10.0,0.0,30.0,10.0,2016-06-30,48.25,10.639047619047618,14.2875,35642.9,9.532272727272726
2257045.1,14285,100.41,-10.3,36.7,0.0,23.3,3.3,2016-07-31,44.95,10.37904761904762,12.5623,35856.9,9.191428571428572
2306862.2,13936,100.36,-36.0,3.3,6.7,-23.3,-10.0,2016-08-31,45.84,10.339565217391305,14.2065,36031.7,9.01695652173913
2061309.7,15045,100.49,-20.7,23.3,13.8,10.0,23.3,2016-09-30,46.57,10.238636363636363,12.3462,36169.6,9.001363636363637
2037188.7,15193,100.29,-40.0,6.5,-19.4,12.9,29.0,2016-10-31,49.52,10.323333333333332,13.677378,36148.8,8.895714285714286
2106484.8,14993,100.86,-12.9,35.5,16.1,-6.5,6.5,2016-11-30,44.73,10.017142857142856,12.3526,36051.0,8.530909090909091
2331647.6,14371,100.12,-32.3,-3.2,-3.2,-3.2,-9.7,2016-12-31,53.31,10.160454545454545,11.4855,36433.0,8.514090909090909
2017138.0,13898,100.2,-27.6,-16.1,6.5,-6.5,-16.7,2017-01-31,54.58,10.114117647058823,12.8791,38418.0,8.956363636363635
2074042.7,13973,100.39,-60.0,-3.2,12.9,-16.1,-12.9,2017-02-28,54.87,10.14111111111111,11.162068965517241,38016.8,8.928
