inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2
100.15,-38.6363636363636,31.7567567567568,-23.050847457627096,16.442953020134198,19.112627986348098,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6
100.7,3.74531835205993,32.55033557046979,3.0716723549488103,23.728813559322,17.4061433447099,2014-02-28,108.9,5.9935,11.795154185022026,29861.2
100.94,24.905660377358497,40.4682274247492,8.10810810810811,23.3898305084746,11.186440677966099,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0
101.05,9.81132075471698,40.6666666666667,8.135593220338981,24.2424242424242,14.8648648648649,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3
100.9,10.8208955223881,42.2297297297297,10.6529209621993,19.112627986348098,11.4583333333333,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0
100.94,6.513409961685819,30.479452054794496,6.1855670103092795,20.7612456747405,14.590747330960898,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8
100.78,15.4981549815498,35.95890410958899,6.14334470989761,8.21917808219178,14.336917562723999,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1
100.7,12.318840579710098,38.4083044982699,1.0273972602739698,0.684931506849315,19.424460431654698,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3
101.35,-5.77617328519856,31.3993174061433,-3.7671232876712297,-5.46075085324232,22.9166666666667,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7
100.64,-13.818181818181799,40.206185567010294,-8.56164383561644,1.02389078498294,27.2727272727273,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6
101.03,-24.060150375939802,56.7010309278351,-13.840830449826997,5.46075085324232,53.73665480427049,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2
102.25,20.6896551724138,54.607508532423196,8.96551724137931,-9.24657534246575,43.8848920863309,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9
104.72,-42.3387096774194,42.758620689655196,-20.8333333333333,10.7266435986159,22.3021582733813,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7
102.84,-2.65151515151515,38.9655172413793,-6.55172413793103,17.241379310344797,15.770609318996398,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7
101.4,16.0919540229885,44.8275862068966,1.0380622837370201,22.027972027971998,11.151079136690598,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0
