inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2
100.45,-50.7772020725389,-11.0132158590308,-28.634361233480195,18.942731277533,12.0,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6
100.41,15.7635467980296,18.942731277533,-1.7621145374449299,20.2643171806167,10.7142857142857,2014-02-28,108.9,5.9935,11.795154185022026,29861.2
100.57,21.105527638191,14.732142857142899,0.44444444444444403,23.111111111111097,6.756756756756759,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0
100.68,15.1041666666667,19.266055045871596,-0.9174311926605501,20.6422018348624,7.441860465116279,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3
100.65,1.02040816326531,17.4887892376682,-4.484304932735429,22.869955156950695,6.36363636363636,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0
100.85,11.917098445595899,20.9090909090909,3.18181818181818,22.8310502283105,0.460829493087558,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8
100.75,32.0574162679426,27.8026905829596,8.96860986547085,23.7668161434978,7.27272727272727,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1
100.87,0.0,23.7668161434978,-8.52017937219731,14.798206278026898,10.0,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3
101.49,6.7961165048543695,16.5137614678899,-9.63302752293578,7.3394495412844005,10.648148148148099,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7
100.81,-6.763285024154589,13.3640552995392,-12.442396313364098,2.30414746543779,10.232558139534898,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6
100.84,-16.7487684729064,18.1818181818182,-19.0909090909091,0.0,11.8721461187215,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2
101.73,11.1675126903553,29.8165137614679,-11.0091743119266,-3.21100917431193,16.203703703703702,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9
102.5,-51.336898395721896,6.912442396313359,-30.414746543778797,13.3640552995392,18.1395348837209,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7
102.27,19.786096256684502,35.1851851851852,-13.4259259259259,15.277777777777798,13.5514018691589,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7
101.34,37.5,26.3888888888889,2.30414746543779,17.5925925925926,9.38967136150235,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0
