inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2
100.42,-52.5423728813559,22.282608695652197,-26.6304347826087,20.108695652173896,15.300546448087399,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6
100.65,12.068965517241399,21.195652173913,-9.78260869565217,27.173913043478297,20.218579234972697,2014-02-28,108.9,5.9935,11.795154185022026,29861.2
101.17,16.9491525423729,17.3913043478261,0.543478260869565,30.4347826086957,21.311475409836095,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0
101.08,6.77966101694915,17.9347826086957,-1.0928961748633899,22.9508196721311,16.5745856353591,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3
101.21,3.42857142857143,20.879120879120897,-1.1049723756906098,21.857923497267798,17.5824175824176,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0
101.14,8.42696629213483,14.673913043478299,-4.34782608695652,16.304347826087,18.478260869565197,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8
100.54,15.4285714285714,21.5469613259669,11.111111111111098,13.8888888888889,10.0558659217877,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1
100.61,4.678362573099419,23.728813559322,-5.64971751412429,5.64971751412429,9.142857142857139,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3
101.37,2.33918128654971,32.954545454545496,-8.52272727272727,-5.11363636363636,16.0,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7
100.94,-3.55029585798817,40.8045977011494,-14.942528735632198,-14.4508670520231,36.4161849710983,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6
101.47,-26.219512195121997,48.5207100591716,-26.162790697674396,-18.8235294117647,37.647058823529406,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2
102.95,26.543209876543198,58.1395348837209,1.16279069767442,-23.391812865497098,29.411764705882398,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9
103.11,-57.763975155279496,66.47058823529409,-33.9181286549708,4.09356725146199,28.571428571428594,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7
102.39,4.9079754601226995,52.352941176470594,-23.2558139534884,8.139534883720929,20.1183431952663,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7
101.47,21.6049382716049,45.02923976608189,-17.543859649122798,15.116279069767398,10.0,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0
100.84,11.8012422360248,29.239766081871302,-9.302325581395351,15.116279069767398,12.3529411764706,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8
100.26,-14.9068322981366,39.1812865497076,-20.3488372093023,9.302325581395351,14.6198830409357,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9
100.04,12.345679012345698,30.5882352941176,-8.23529411764706,12.4260355029586,11.904761904761898,2015-06-30,61.48,12.503333333333334,13.9452,31820.4
100.27,11.464968152866199,33.928571428571395,-9.03614457831325,5.95238095238095,12.1212121212121,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3
100.38,-5.73248407643312,37.5,-16.6666666666667,1.1904761904761898,15.5688622754491,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5
101.08,8.17610062893082,39.8809523809524,-13.6094674556213,-1.7751479289940801,15.4761904761905,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0
100.85,-4.430379746835439,39.759036144578296,-16.265060240963898,-7.83132530120482,23.6363636363636,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5
100.44,-19.375,35.75757575757579,-19.512195121951198,-9.09090909090909,20.731707317073198,2015-11-30,44.27,11.425,16.443444730077122,32161.0
100.66,16.25,27.2727272727273,-1.21212121212121,-16.969696969696997,25.0,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0
100.61,-55.128205128205096,46.0122699386503,-42.68292682926829,22.085889570552098,23.312883435582798,2016-01-31,30.7,11.017333333333333,15.74,35179.7
100.46,3.1847133757961803,37.195121951219505,-15.757575757575799,28.484848484848502,18.902439024390198,2016-02-29,32.18,10.8425,14.74,33966.5
100.62,11.3924050632911,42.1686746987952,-8.43373493975904,25.903614457831296,15.1515151515152,2016-03-31,38.21,10.94047619047619,14.5987,34309.6
100.8,1.9354838709677398,34.5679012345679,-16.6666666666667,29.012345679012302,16.770186335403697,2016-04-30,41.58,10.732857142857142,13.6,34689.4
100.44,-8.496732026143789,31.6770186335404,-17.3913043478261,27.950310559006198,16.25,2016-05-31,46.74,11.063157894736841,14.1881,35105.5
100.24,-0.6451612903225811,24.8447204968944,-1.86335403726708,19.254658385093197,19.375,2016-06-30,48.25,10.639047619047618,14.2875,35642.9
100.25,-5.92105263157895,32.91925465838509,-4.34782608695652,24.375,8.80503144654088,2016-07-31,44.95,10.37904761904762,12.5623,35856.9
100.71,10.256410256410298,28.220858895705497,-3.65853658536585,11.5853658536585,12.883435582822099,2016-08-31,45.84,10.339565217391305,14.2065,36031.7
100.11,-1.875,21.428571428571395,-14.9700598802395,5.357142857142859,15.662650602409599,2016-09-30,46.57,10.238636363636363,12.3462,36169.6
100.53,-11.875,20.8333333333333,-17.365269461077798,1.78571428571429,12.7272727272727,2016-10-31,49.52,10.323333333333332,13.677378,36148.8
100.67,-15.189873417721499,20.8333333333333,-21.556886227544897,-5.95238095238095,16.766467065868298,2016-11-30,44.73,10.017142857142856,12.3526,36051.0
100.31,0.6289308176100631,23.8095238095238,-13.690476190476199,-7.78443113772455,22.424242424242397,2016-12-31,53.31,10.160454545454545,11.4855,36433.0
100.36,-44.8051948051948,27.1604938271605,-34.35582822085889,24.5398773006135,15.337423312883399,2017-01-31,54.58,10.114117647058823,12.8791,38418.0
100.16,-9.03225806451613,24.223602484472,-20.496894409937898,32.2981366459627,10.625,2017-02-28,54.87,10.14111111111111,11.162068965517241,38016.8
100.1,22.727272727272698,30.4347826086957,3.72670807453416,37.888198757763995,11.1801242236025,2017-03-31,51.59,9.897727272727273,10.959,38462.3
100.04,-13.157894736842099,18.0124223602484,-15.527950310559,34.78260869565219,14.375,2017-04-30,52.31,9.5765,10.2704,38555.2
100.1,2.0,27.0440251572327,-6.28930817610063,35.22012578616349,15.822784810126597,2017-05-31,50.33,9.1345,10.3398,38663.8
100.14,23.178807947019898,28.387096774193502,1.9354838709677398,27.741935483870996,24.025974025973998,2017-06-30,46.37,9.109047619047619,10.6924,39222.9
99.98,-2.05479452054795,36.6013071895425,-4.57516339869281,20.915032679738598,9.86842105263158,2017-07-31,48.48,8.947619047619048,9.527,39623.1
100.19,8.33333333333333,31.7567567567568,0.680272108843537,18.2432432432432,18.367346938775498,2017-08-31,51.7,8.536521739130436,9.5559,39275.9
100.14,-8.21917808219178,30.2013422818792,-6.040268456375839,-0.6711409395973149,14.8648648648649,2017-09-30,56.15,8.373809523809523,9.85,39419.3
100.1,0.65359477124183,27.564102564102598,-12.1794871794872,0.0,20.0,2017-10-31,57.51,8.043181818181818,8.6866,39571.0
99.95,-10.8108108108108,18.954248366013097,-13.815789473684198,-2.61437908496732,17.6470588235294,2017-11-30,62.71,8.014285714285714,8.7425,39667.5
100.29,4.69798657718121,23.529411764705902,-2.63157894736842,0.0,17.7631578947368,2017-12-31,64.37,7.729523809523809,8.8793,40114.4
100.13,-48.9795918367347,20.394736842105296,-20.394736842105296,27.631578947368396,11.2582781456954,2018-01-31,69.08,7.087647058823529,8.4402,42442.2
100.0,-3.3112582781457003,17.419354838709697,-7.74193548387097,23.2258064516129,10.389610389610398,2018-02-28,65.32,7.145263157894736,8.4687,41597.5
100.11,18.6666666666667,20.915032679738598,3.92156862745098,34.64052287581699,11.764705882352898,2018-03-31,66.02,7.1465000000000005,7.8145,42045.5
100.27,15.3333333333333,15.6862745098039,5.22875816993464,32.026143790849694,15.789473684210499,2018-04-30,72.11,7.002857142857143,8.5564,42377.0
100.19,5.3333333333333295,25.6578947368421,-2.66666666666667,22.368421052631597,20.394736842105296,2018-05-31,76.98,6.9455,9.8368,43122.0
100.53,5.22875816993464,23.8709677419355,-3.87096774193548,18.7096774193548,27.2727272727273,2018-06-30,74.41,7.0215000000000005,9.6818,43257.4
100.43,9.93377483443709,28.387096774193502,-4.51612903225806,10.9677419354839,16.2337662337662,2018-07-31,74.25,7.089545454545455,9.9011,44126.7
100.38,7.89473684210526,27.096774193548402,-4.545454545454549,7.09677419354839,16.883116883116898,2018-08-31,72.53,7.027826086956521,10.0697,43910.3
100.57,-8.97435897435897,24.840764331210202,-5.0955414012738895,-1.91082802547771,22.435897435897402,2018-09-30,78.89,7.148999999999999,9.3386,44369.1
100.45,1.27388535031847,33.125,-9.433962264150939,-3.75,23.8993710691824,2018-10-31,81.03,7.267391304347826,9.8309,44254.7
100.91,-7.317073170731709,22.1556886227545,-15.662650602409599,-11.377245508982,30.722891566265098,2018-11-30,64.75,7.2509523809523815,10.2363,44218.4
100.33,10.559006211180101,26.506024096385502,-4.21686746987952,-13.2530120481928,34.93975903614459,2018-12-31,57.36,7.492380952380953,10.3632,44891.6
