inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2
100.11,-54.8,-2.0,-19.3,22.9,18.5,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6
100.37,1.8,12.0,-8.0,21.6,19.6,2014-02-28,108.9,5.9935,11.795154185022026,29861.2
100.72,21.3,33.1,2.8,21.3,12.9,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0
100.63,11.7,29.1,-8.9,30.1,19.4,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3
101.0,4.0,25.2,-3.9,27.4,17.4,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0
100.56,26.3,37.1,10.5,33.3,29.6,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8
100.57,27.9,20.8,4.1,26.1,12.2,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1
100.18,-8.1,17.2,0.0,16.0,10.2,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3
101.09,-5.5,23.3,2.5,11.0,10.6,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7
101.18,-6.7,32.1,-2.9,0.8,18.3,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6
100.58,-13.7,23.2,-8.0,-13.5,23.2,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2
101.59,9.6,35.0,-9.7,-30.0,35.0,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9
104.93,-49.0,33.3,-21.5,2.1,22.8,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7
102.33,-11.9,26.1,-7.6,14.7,13.9,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7
102.11,13.8,21.3,-2.1,16.3,1.7,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0
100.91,3.0,12.5,-2.5,20.4,7.1,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8
100.4,4.7,8.2,-3.7,18.1,7.9,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9
100.1,12.0,18.8,1.7,31.3,15.4,2015-06-30,61.48,12.503333333333334,13.9452,31820.4
100.15,20.5,21.8,0.0,19.8,16.0,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3
100.66,5.7,15.0,1.3,8.3,3.8,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5
100.88,-4.4,13.9,-3.7,2.9,3.3,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0
100.84,-9.7,7.3,-7.3,-1.6,4.5,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5
100.72,-16.6,19.2,-6.4,-4.3,23.5,2015-11-30,44.27,11.425,16.443444730077122,32161.0
100.32,5.9,17.5,2.1,-3.4,17.1,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0
100.51,-39.6,20.9,-11.9,6.8,11.1,2016-01-31,30.7,11.017333333333333,15.74,35179.7
100.82,6.9,14.5,-6.4,9.4,3.0,2016-02-29,32.18,10.8425,14.74,33966.5
100.83,15.7,6.4,0.0,10.7,5.1,2016-03-31,38.21,10.94047619047619,14.5987,34309.6
100.34,3.6,21.1,-0.9,31.5,33.6,2016-04-30,41.58,10.732857142857142,13.6,34689.4
