inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2
100.3,-31.111111111111097,23.4375,-20.9424083769634,14.736842105263198,15.625,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6
100.65,-5.94594594594595,17.8010471204188,-7.853403141361259,14.2105263157895,11.518324607329799,2014-02-28,108.9,5.9935,11.795154185022026,29861.2
100.89,1.63934426229508,22.631578947368396,-3.66492146596859,16.753926701570702,7.36842105263158,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0
101.1,-7.7348066298342495,21.0526315789474,-3.1578947368421098,16.2303664921466,6.282722513089009,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3
100.96,-8.196721311475411,13.0208333333333,-5.6994818652849695,11.4583333333333,7.772020725388599,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0
100.56,-8.196721311475411,13.5416666666667,-8.947368421052628,10.4166666666667,7.291666666666669,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8
100.4,-3.24324324324324,17.7083333333333,-4.12371134020619,15.625,3.6082474226804098,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1
100.58,-7.4866310160427805,17.010309278350498,-11.917098445595899,5.67010309278351,6.1855670103092795,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3
100.83,-3.7037037037037,24.4897959183673,-12.8865979381443,3.06122448979592,8.673469387755098,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7
100.53,-6.5934065934065895,29.787234042553198,-17.021276595744702,1.05820105820106,10.6382978723404,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6
100.7,-12.234042553191498,27.225130890052398,-12.5,-1.04166666666667,29.0155440414508,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2
102.54,4.3010752688172,35.567010309278395,-5.2083333333333295,-7.7319587628866,28.350515463917496,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9
104.18,-27.6243093922652,38.8297872340426,-25.531914893617,-0.531914893617021,19.892473118279597,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7
101.76,-13.714285714285698,30.6878306878307,-20.9424083769634,4.21052631578947,11.170212765957398,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7
101.36,-9.03954802259887,25.3968253968254,-14.3617021276596,1.0638297872340399,4.761904761904759,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0
100.72,-16.8539325842697,24.7311827956989,-12.834224598930499,4.25531914893617,6.95187165775401,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8
100.62,-16.2011173184358,22.3404255319149,-10.1063829787234,1.06951871657754,3.72340425531915,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9
100.85,-7.7348066298342495,19.5767195767196,-10.5820105820106,5.82010582010582,13.8297872340426,2015-06-30,61.48,12.503333333333334,13.9452,31820.4
100.42,-5.08474576271186,21.195652173913,-6.01092896174863,9.83606557377049,11.413043478260901,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3
100.63,-9.392265193370172,29.032258064516096,-8.06451612903226,4.89130434782609,17.204301075268802,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5
100.87,-15.469613259668499,25.268817204301097,-8.51063829787234,-0.5376344086021511,9.13978494623656,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0
100.48,-9.550561797752811,31.351351351351397,-11.827956989247298,-0.540540540540541,14.5945945945946,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5
100.38,-17.7142857142857,28.804347826087,-16.304347826087,-4.91803278688525,13.978494623655898,2015-11-30,44.27,11.425,16.443444730077122,32161.0
100.39,-3.44827586206897,28.4153005464481,-16.2162162162162,-4.32432432432432,11.956521739130398,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0
100.65,-29.0697674418605,26.373626373626397,-22.9508196721311,8.24175824175824,10.382513661202198,2016-01-31,30.7,11.017333333333333,15.74,35179.7
100.77,-6.02409638554217,31.25,-12.5,12.290502793296099,11.1731843575419,2016-02-29,32.18,10.8425,14.74,33966.5
100.79,-0.602409638554217,27.9329608938547,-9.49720670391061,7.7777777777777795,12.1546961325967,2016-03-31,38.21,10.94047619047619,14.5987,34309.6
100.41,-9.302325581395351,23.8636363636364,-11.7977528089888,5.0,11.2359550561798,2016-04-30,41.58,10.732857142857142,13.6,34689.4
100.83,-11.834319526627198,20.7865168539326,-8.57142857142857,-1.6759776536312798,8.47457627118644,2016-05-31,46.74,11.063157894736841,14.1881,35105.5
100.31,-13.690476190476199,18.539325842696595,-8.988764044943819,11.9318181818182,6.77966101694915,2016-06-30,48.25,10.639047619047618,14.2875,35642.9
100.37,-13.690476190476199,19.075144508670498,-14.7727272727273,10.2272727272727,5.08474576271186,2016-07-31,44.95,10.37904761904762,12.5623,35856.9
100.33,-3.1055900621118,26.470588235294098,-11.764705882352898,2.33918128654971,5.29411764705882,2016-08-31,45.84,10.339565217391305,14.2065,36031.7
100.51,2.75862068965517,25.786163522012597,-10.126582278481,3.75,8.80503144654088,2016-09-30,46.57,10.238636363636363,12.3462,36169.6
100.15,-14.965986394557799,27.450980392156897,-16.455696202531602,-2.54777070063694,12.8205128205128,2016-10-31,49.52,10.323333333333332,13.677378,36148.8
100.37,-7.04225352112676,22.516556291390696,-15.483870967741899,-9.49367088607595,12.658227848101301,2016-11-30,44.73,10.017142857142856,12.3526,36051.0
100.42,-9.219858156028371,27.8145695364238,-19.6078431372549,1.9354838709677398,12.987012987013,2016-12-31,53.31,10.160454545454545,11.4855,36433.0
100.49,-16.9014084507042,22.727272727272698,-19.871794871794897,9.03225806451613,9.33333333333333,2017-01-31,54.58,10.114117647058823,12.8791,38418.0
