paid_services,debt_firms,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,obligates
3835331.6,68962,100.54,-28.5,7.8,-24.7,23.5,8.4,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
3708013.9,70415,100.2,5.5,11.4,-5.8,17.1,9.5,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
3793789.5,71200,100.47,25.0,2.5,13.7,20.7,10.1,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
3748604.0,75154,101.04,6.9,5.7,3.6,11.4,4.8,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
3604330.9,76806,101.49,16.7,2.3,11.6,15.5,8.8,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
3392859.7,76798,100.94,7.8,5.3,4.6,16.3,10.4,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
3528307.8,76004,100.53,4.9,7.5,0.0,4.6,6.9,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
3420776.0,77195,100.61,-4.8,3.5,-5.7,8.1,6.4,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
3396851.7,78532,100.76,9.5,10.4,-0.6,-2.9,9.2,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
3589086.3,76554,100.94,-10.5,6.0,-18.2,-8.8,9.6,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
3851567.9,78075,101.14,-18.8,30.4,-17.9,-18.5,28.8,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,10.4095
4371648.1,78836,102.46,-3.2,29.2,-8.0,-13.9,23.2,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,14.746521739130435
4140260.1,81280,103.72,-37.7,27.1,-28.1,10.6,25.0,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,14.117272727272727
3896621.8,78983,103.07,-7.4,43.1,-15.6,31.4,18.5,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,13.0695
4136332.7,77521,102.06,2.0,47.4,-1.9,30.4,11.9,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,12.032727272727273
3982684.7,77413,101.1,0.7,35.2,-12.7,32.9,8.0,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,10.783181818181818
3747459.9,78944,100.67,4.1,17.9,-9.0,24.5,9.4,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,10.567142857142857
3614743.2,78267,100.16,5.3,26.1,-5.6,20.1,7.5,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,10.290909090909091
3699827.4,79864,100.08,-0.6,30.9,-9.2,7.3,4.9,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,10.371739130434783
3680256.5,81287,100.5,4.9,17.4,-13.6,7.1,5.3,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5,10.981904761904762
3573985.8,86212,100.54,-14.9,32.3,-22.4,-11.0,3.7,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0,10.541818181818181
3725021.7,88936,100.79,-18.1,30.1,-23.8,-13.6,4.2,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5,10.296363636363637
4172143.8,92273,100.83,-20.3,27.2,-23.5,-15.4,6.9,2015-11-30,44.27,11.425,16.443444730077122,32161.0,10.528571428571428
4666869.3,85543,100.1,-3.1,31.9,-18.3,-12.7,3.0,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0,10.305652173913044
4143804.0,87254,100.53,-35.4,14.6,-32.7,17.1,15.4,2016-01-31,30.7,11.017333333333333,15.74,35179.7,9.90047619047619
4451875.5,87452,100.49,-2.6,21.7,-12.7,20.9,8.2,2016-02-29,32.18,10.8425,14.74,33966.5,9.507619047619048
4452413.4,89510,100.78,11.2,21.4,-7.0,16.0,5.7,2016-03-31,38.21,10.94047619047619,14.5987,34309.6,9.694347826086956
4336138.9,89663,100.4,-3.2,21.1,-11.2,16.1,16.2,2016-04-30,41.58,10.732857142857142,13.6,34689.4,9.577142857142857
4032594.5,84982,100.7,-2.5,34.8,-2.5,20.4,3.8,2016-05-31,46.74,11.063157894736841,14.1881,35105.5,9.728181818181817
3846677.1,84737,100.27,4.5,23.9,-4.3,8.0,8.0,2016-06-30,48.25,10.639047619047618,14.2875,35642.9,9.532272727272726
3819560.8,83584,100.25,0.6,13.6,0.0,14.7,9.2,2016-07-31,44.95,10.37904761904762,12.5623,35856.9,9.191428571428572
3820813.3,86314,100.29,-16.0,21.0,-17.5,14.9,12.6,2016-08-31,45.84,10.339565217391305,14.2065,36031.7,9.01695652173913
3737769.1,86992,100.43,3.8,19.3,0.0,7.3,12.3,2016-09-30,46.57,10.238636363636363,12.3462,36169.6,9.001363636363637
3849548.4,84826,100.7,-1.3,24.1,-6.7,-1.9,6.8,2016-10-31,49.52,10.323333333333332,13.677378,36148.8,8.895714285714286
4324796.9,85839,100.56,1.3,17.0,-3.0,-8.4,10.8,2016-11-30,44.73,10.017142857142856,12.3526,36051.0,8.530909090909091
4791869.8,63621,100.48,0.0,25.3,-6.6,-1.8,9.6,2016-12-31,53.31,10.160454545454545,11.4855,36433.0,8.514090909090909
4603888.0,64766,100.31,-41.6,18.8,-29.4,27.9,5.5,2017-01-31,54.58,10.114117647058823,12.8791,38418.0,8.956363636363635
4473567.1,63766,100.49,2.0,11.4,-13.1,26.9,7.5,2017-02-28,54.87,10.14111111111111,11.162068965517241,38016.8,8.928
66995747.5,63715,100.02,7.4,16.7,0.0,20.4,11.0,2017-03-31,51.59,9.897727272727273,10.959,38462.3,8.403478260869566
67529412.5,65152,100.03,-16.4,26.0,-17.9,19.1,5.9,2017-04-30,52.31,9.5765,10.2704,38555.2,8.2005
70664042.1,66237,100.09,-19.0,18.2,-11.9,13.8,6.6,2017-05-31,50.33,9.1345,10.3398,38663.8,8.04
70331544.7,66576,100.01,-8.5,23.6,-12.5,20.7,6.0,2017-06-30,46.37,9.109047619047619,10.6924,39222.9,7.963181818181818
70949241.4,66908,99.95,-2.8,21.5,0.0,20.0,8.7,2017-07-31,48.48,8.947619047619048,9.527,39623.1,7.747619047619047
73428479.7,70116,100.21,-1.4,31.5,-7.3,17.3,11.3,2017-08-31,51.7,8.536521739130436,9.5559,39275.9,7.55
72676228.1,71770,100.07,-10.3,31.5,-17.4,9.9,4.6,2017-09-30,56.15,8.373809523809523,9.85,39419.3,7.454285714285714
73900373.2,72001,100.14,-9.9,31.8,-17.0,-4.6,2.0,2017-10-31,57.51,8.043181818181818,8.6866,39571.0,7.167727272727273
71888668.7,71437,100.39,-9.9,28.0,-20.7,-10.7,1.3,2017-11-30,62.71,8.014285714285714,8.7425,39667.5,6.662727272727273
71904406.7,77749,100.28,-0.7,35.1,-6.8,-22.8,5.4,2017-12-31,64.37,7.729523809523809,8.8793,40114.4,6.580952380952381
72720454.9,78944,100.06,-43.3,26.4,-41.2,12.7,8.1,2018-01-31,69.08,7.087647058823529,8.4402,42442.2,6.2004347826086965
76010057.9,80871,100.05,-9.8,23.6,-9.8,25.5,0.0,2018-02-28,65.32,7.145263157894736,8.4687,41597.5,6.548
70768265.4,80282,100.08,0.7,16.4,-8.3,19.0,14.4,2018-03-31,66.02,7.1465000000000005,7.8145,42045.5,6.571363636363636
71962052.8,79887,100.3,8.0,14.3,-5.4,15.0,10.9,2018-04-30,72.11,7.002857142857143,8.5564,42377.0,6.799047619047619
75364792.6,77291,100.53,10.3,15.8,2.1,15.8,1.4,2018-05-31,76.98,6.9455,9.8368,43122.0,6.89
75945071.0,76099,100.11,7.9,11.1,7.6,14.5,10.3,2018-06-30,74.41,7.0215000000000005,9.6818,43257.4,7.356666666666667
75113896.8,75813,100.62,7.1,19.9,1.4,17.8,8.2,2018-07-31,74.25,7.089545454545455,9.9011,44126.7,7.568181818181818
76944521.3,78377,100.09,1.4,19.4,1.9,9.7,7.1,2018-08-31,72.53,7.027826086956521,10.0697,43910.3,7.532608695652174
77315746.9,77045,100.38,-1.4,12.9,-5.2,1.3,4.5,2018-09-30,78.89,7.148999999999999,9.3386,44369.1,7.7090000000000005
77295249.9,75820,100.56,5.3,7.5,-1.3,3.8,13.8,2018-10-31,81.03,7.267391304347826,9.8309,44254.7,7.764782608695652
76501831.8,77082,100.79,-8.6,-3.8,-9.5,-3.8,15.8,2018-11-30,64.75,7.2509523809523815,10.2363,44218.4,7.582272727272727
74112862.5,75260,100.55,9.7,11.4,0.0,-6.3,33.5,2018-12-31,57.36,7.492380952380953,10.3632,44891.6,7.614285714285715
76758772.8,78123,100.65,-31.3,-1.9,-13.3,24.1,15.8,2019-01-31,59.41,7.645294117647059,10.1363,47109.3,7.45695652173913
79205683.8,80510,100.37,9.7,21.9,10.6,24.4,6.3,2019-02-28,63.96,7.5905000000000005,9.1406,45721.2,7.555
76036141.1,80234,100.53,16.8,12.6,11.3,23.1,10.0,2019-03-31,66.14,7.676,9.39,46212.6,7.310476190476191
76499339.2,73812,100.34,19.3548387096774,23.125,17.5,17.5,8.75,2019-04-30,71.23,7.745454545454546,9.2639,46141.2,7.115454545454545
77157506.9,76933,100.38,15.4,5.0,13.8,15.2,8.1,2019-05-31,71.32,7.7155555555555555,9.4292,46435.9,6.882608695652174
47376597.5,78793,100.0,16.8,21.6,8.6,24.7,6.2,2019-06-30,64.22,7.576842105263158,9.3712,46735.3,6.7909999999999995
48971839.5,81770,100.16,20.8860759493671,18.292682926829297,14.6341463414634,15.2439024390244,7.926829268292679,2019-07-31,63.92,7.320434782608696,9.1104,47349.4,6.565652173913043
52985419.1,81576,100.51,16.9811320754717,7.317073170731709,4.878048780487799,12.804878048780498,3.65853658536585,2019-08-31,59.04,7.132272727272727,8.8941,47351.0,6.056363636363637
57792328.2,83331,100.18,7.006369426751589,10.365853658536599,2.4390243902438997,1.2195121951219499,7.926829268292679,2019-09-30,62.83,6.855714285714286,8.6122,47584.1,5.792857142857143
65847796.3,84365,100.05,-1.88679245283019,9.6969696969697,-2.42424242424242,-1.21212121212121,9.09090909090909,2019-10-31,59.71,6.789999999999999,8.2566,48266.8,5.475652173913043
69998767.9,84103,100.0,-12.962962962963,-0.598802395209581,-13.772455089820399,-7.78443113772455,11.9760479041916,2019-11-30,63.21,6.457000000000001,9.0219,48082.4,5.349523809523809
68110571.2,85313,100.24,3.63636363636364,4.191616766467069,-5.421686746987949,-4.79041916167665,10.179640718562899,2019-12-31,67.31,6.151363636363637,8.2594,49195.3,5.890909090909091
70008344.4,85767,100.18,-42.3841059602649,24.096385542168697,-43.113772455089794,15.662650602409599,9.375,2020-01-31,63.65,6.038823529411765,7.9343,51660.3,5.826086956521739
78059796.6,87809,100.34,-2.63157894736842,10.179640718562899,-7.18562874251497,22.1556886227545,17.6829268292683,2020-02-29,55.66,5.938421052631579,7.8881,50622.9,5.011
72467600.6,89440,100.6,4.651162790697669,8.2089552238806,-3.6764705882352895,-29.411764705882398,12.5984251968504,2020-03-31,32.01,5.79421052631579,7.9881,51314.2,4.376818181818182
76594320.8,89403,100.54,-40.97222222222219,7.382550335570469,-29.3333333333333,-13.013698630137,4.66666666666667,2020-04-30,18.38,5.994736842105263,8.2881,52327.0,4.233181818181818
82241684.2,91610,100.36,-14.492753623188399,7.382550335570469,-30.872483221476497,8.0,5.479452054794519,2020-05-31,29.38,5.468823529411765,8.4881,52951.7,4.2195238095238095
80423820.4,92538,100.46,10.273972602739699,9.93377483443709,-0.666666666666667,16.7785234899329,5.83941605839416,2020-06-30,40.27,4.994,8.5881,53068.0,4.210454545454545
78786128.8,91895,100.29,-9.219858156028371,8.60927152317881,-8.05369127516779,10.958904109588998,1.3422818791946298,2020-07-31,43.24,4.2290909090909095,8.8231,54392.6,4.293478260869565
78450400.4,93534,100.46,6.25,12.582781456953597,4.08163265306122,23.489932885906,20.805369127516798,2020-08-31,44.74,4.155238095238095,8.9478,54687.4,4.355238095238095
77075992.3,93833,100.23,2.08333333333333,13.3333333333333,2.6845637583892596,4.66666666666667,16.2162162162162,2020-09-30,40.91,4.165,9.668,55294.2,4.368181818181818
81766101.1,92736,100.69,-0.699300699300699,15.6462585034014,-4.761904761904759,-6.666666666666669,11.643835616438398,2020-10-31,40.19,4.174090909090909,10.1207,56023.9,4.283636363636363
81671670.0,77221,100.56,0.0,9.86842105263158,-0.657894736842105,-11.842105263157901,16.0,2020-11-30,42.69,4.061999999999999,11.507,55871.6,4.588571428571429
81805952.7,76622,100.61,2.0979020979021,16.556291390728497,5.29801324503311,-25.165562913907298,25.0,2020-12-31,49.99,4.171304347826087,10.4836,56122.6,5.043478260869565
82928179.4,77516,100.53,-37.956204379561996,-17.880794701986797,-35.0993377483444,21.8543046357616,14.765100671140898,2021-01-31,54.77,4.306,9.8636,58652.1,5.301428571428572
90827537.2,78215,100.82,8.63309352517986,30.2631578947368,6.5789473684210495,32.23684210526319,18.6666666666667,2021-02-28,62.28,4.057894736842105,10.0714,57598.4,5.6375
84674317.6,76779,101.18,21.3333333333333,17.880794701986797,23.529411764705902,5.92105263157895,32.214765100671094,2021-03-31,65.41,4.222272727272728,11.879,58178.2,6.19
83947452.7,80488,100.45,23.448275862068996,39.735099337748295,16.556291390728497,23.841059602648997,24.324324324324294,2021-04-30,64.81,4.514545454545455,11.3279,58261.6,6.540454545454545
87203985.6,78094,100.71,11.643835616438398,36.6666666666667,14.569536423841098,20.6666666666667,19.867549668874197,2021-05-31,68.53,4.791052631578947,11.9136,59206.3,6.611428571428571
84914481.0,80416,101.0,19.3103448275862,25.8278145695364,16.556291390728497,22.516556291390696,22.818791946308696,2021-06-30,73.16,5.1033333333333335,13.3997,59194.1,6.965454545454546
85440773.9,79655,100.38,8.84353741496599,13.3333333333333,5.479452054794519,13.9072847682119,25.3333333333333,2021-07-31,75.17,5.759545454545454,12.4946,59583.9,7.621363636363636
87086460.5,83067,100.69,5.4421768707483,35.7615894039735,7.9470198675496695,2.66666666666667,20.5298013245033,2021-08-31,70.75,6.297272727272727,12.3028,59379.7,8.428636363636365
86396831.6,84794,100.63,-0.6756756756756761,28.476821192053,-0.662251655629139,9.27152317880795,28.476821192053,2021-09-30,74.49,6.569090909090909,13.6222,59816.9,8.288181818181819
91070451.7,83798,100.94,6.122448979591839,27.1523178807947,4.63576158940397,8.60927152317881,17.2185430463576,2021-10-31,83.54,6.809523809523809,13.4727,60606.2,9.520000000000001
88369836.2,64862,101.79,-10.8108108108108,28.289473684210495,-15.8940397350993,-20.394736842105296,25.6578947368421,2021-11-30,81.05,7.331999999999999,14.7674,60813.7,12.914090909090909
88379229.0,64078,100.22,4.05405405405405,12.162162162162199,4.761904761904759,-14.0,25.165562913907298,2021-12-31,74.17,7.617727272727273,13.7279,62312.5,11.736521739130435
91391331.5,65976,100.84,-47.4074074074074,18.5430463576159,-41.0596026490066,23.178807947019898,10.596026490066201,2022-01-31,86.51,8.286249999999999,13.5372,66252.9,10.181904761904761
99197149.6,71625,100.98,10.5263157894737,33.7748344370861,0.0,12.080536912751699,33.11258278145699,2022-02-28,97.13,9.565263157894737,18.3345,65310.3,8.798
98135010.4,69032,109.58,8.39160839160839,44.0,0.666666666666667,11.3333333333333,18.2432432432432,2022-03-31,117.25,19.873636363636365,12.5387,66659.7,7.670869565217392
99633912.6,65177,101.49,-3.7593984962406,43.708609271523194,-9.93377483443709,14.0,10.0,2022-04-30,104.58,17.08047619047619,11.4809,68203.5,7.54
104020493.6,65642,100.6,-6.20689655172414,35.0993377483444,-7.28476821192053,12.0,2.7027027027027,2022-05-31,113.34,13.253333333333334,12.3659,68475.3,7.944090909090909
102114928.7,68599,100.63,1.37931034482759,37.0860927152318,-7.28476821192053,17.3333333333333,7.3333333333333295,2022-06-30,122.71,9.634761904761904,10.8218,68993.41499249001,7.825454545454545
102685660.8,71039,99.72,0.6896551724137929,21.8543046357616,-6.62251655629139,15.789473684210499,10.5263157894737,2022-07-31,111.93,8.9,11.9815,69623.2,7.481428571428572
