paid_services,salary,debt_firms,debt_fiz,trade_turnover,money_income,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,gov_debt,obligates,unemployment
98389278.9,53584.3,6724491,1025018,366390.0,56409.30192818159,100.55,-19.3,17.2,-4.3,14.5,14.5,11.1,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,5722.239,6.2005,6.804221648523166
96705313.8,54672.5,6662149,1036029,366390.0,56409.30192818159,100.55,-7.1,16.5,-5.5,11.3,8.8,14.8,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,5733.566,6.3854999999999995,6.804221648523166
97423350.1,59753.7,6680316,1056847,366390.0,56409.30192818159,101.06,9.5,23.9,-1.7,12.8,10.3,13.8,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,5754.951,7.402380952380952,6.804221648523166
105016594.0,64337.9,6800508,1071420,366390.0,56409.30192818159,101.07,-3.6,21.7,-11.4,15.8,7.0,9.6,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,5707.239,7.497727272727272,6.804221648523166
101844625.7,58421.6,6952824,1077191,366390.0,56409.30192818159,100.76,-14.2,20.0,-12.4,7.0,10.5,4.3,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,5714.967,7.954999999999999,6.804221648523166
106423980.9,62607.6,7051859,1085493,366390.0,56409.30192818159,100.75,-9.8,15.8,-8.8,3.5,2.7,4.5,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,5739.107,7.882380952380952,6.804221648523166
109301880.3,61609.7,7168351,1097581,366390.0,56409.30192818159,100.6,-6.5,10.1,-15.5,11.8,9.0,6.4,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,5757.204,8.527391304347827,6.804221648523166
110240373.5,56683.4,7134601,1109368,366390.0,56409.30192818159,100.73,-4.6,12.1,-8.4,22.0,13.8,10.1,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,5791.262,8.588095238095239,6.804221648523166
117357109.6,59658.1,7268676,1121083,366390.0,56409.30192818159,100.76,6.1,22.3,-5.4,21.9,15.8,9.6,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,5742.744,8.715454545454547,6.804221648523166
114378136.2,61131.9,7449852,1133667,366390.0,56409.30192818159,100.75,-2.8,25.5,-11.0,11.9,8.2,16.2,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,5739.132,9.170434782608694,6.804221648523166
111153949.9,61234.7,7549695,1143097,366390.0,56409.30192818159,100.85,-14.0,28.7,-17.4,-7.3,-2.7,20.0,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,5753.841,10.4095,6.804221648523166
118635349.9,82592.8,7860914,1140472,366390.0,56409.30192818159,102.68,0.0,42.3,-13.2,-8.5,-6.5,21.7,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,5759.2,14.746521739130435,6.804221648523166
106674989.3,56095.1,7813475,1128051,351042.0,55670.48830544814,103.25,-28.6,35.9,-29.4,3.9,-2.9,24.0,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,7241.169,14.117272727272727,7.18413491057078
104019014.5,60322.3,7816064,1114121,351042.0,55670.48830544814,102.51,-27.3,43.6,-23.5,7.8,1.0,26.7,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,7240.896,13.0695,7.18413491057078
108017231.1,61040.4,7789227,1103154,351042.0,55670.48830544814,101.75,1.0,40.6,-13.0,6.9,5.9,21.8,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,7159.78,12.032727272727273,7.18413491057078
104230459.7,66127.1,7849778,1084435,351042.0,55670.48830544814,100.88,-19.4,33.0,-18.4,1.9,2.9,18.4,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,6986.477,10.783181818181818,7.18413491057078
107333318.0,64908.3,7806282,1081322,351042.0,55670.48830544814,100.91,-17.6,38.6,-21.0,-1.0,3.9,21.6,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,7100.311,10.567142857142857,7.18413491057078
114725738.3,66562.3,7877743,1066825,351042.0,55670.48830544814,100.66,-12.5,37.7,-16.0,7.6,5.7,23.8,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,7160.382,10.290909090909091,7.18413491057078
115172273.1,64926.7,7955398,1066454,351042.0,55670.48830544814,100.42,-5.0,33.3,-13.9,12.5,11.5,17.3,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,7041.289,10.371739130434783,7.18413491057078
117219662.7,59911.7,7993679,1073883,351042.0,55670.48830544814,100.83,-10.8,31.7,-14.6,10.6,6.7,20.4,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5,7171.129,10.981904761904762,7.18413491057078
122340969.6,60423.6,8064691,1067421,351042.0,55670.48830544814,100.6,0.0,34.7,-6.2,15.3,12.2,12.2,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0,6955.448,10.541818181818181,7.18413491057078
124743140.4,61527.2,8073707,1064421,351042.0,55670.48830544814,100.53,2.5,35.4,-3.7,16.0,14.6,15.9,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5,6979.189,10.296363636363637,7.18413491057078
