paid_services,debt_firms,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,obligates
28950444.5,1336574,100.52,-22.7,20.4,-11.9,17.5,22.1,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
29337314.3,1355738,100.56,-6.8,21.0,-14.9,14.4,28.1,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
31783111.1,1390857,100.82,10.4,28.6,-7.4,18.5,28.7,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
31447023.2,1406487,100.94,-14.4,22.0,-11.6,16.4,27.2,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
32058336.5,1406521,101.43,1.5,15.3,-10.1,15.8,19.0,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
31645177.6,1406512,100.86,1.5,21.9,-8.6,20.6,22.5,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
30310100.8,1412778,100.46,-3.7,14.7,-9.9,21.3,19.7,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
29505487.6,1436024,100.63,-7.1,23.0,-10.8,10.7,22.7,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
30122176.5,1459298,100.86,-1.4,29.6,-6.1,7.9,23.0,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
30528409.7,1480167,101.13,-10.1,47.0,-13.3,6.6,37.0,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
31034366.4,1497899,101.23,-14.4,49.0,-19.9,-9.9,44.0,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,10.4095
32016951.0,1515584,103.57,8.8,53.9,-6.7,-19.0,50.3,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,14.746521739130435
30667679.4,1570432,104.28,-34.0,52.3,-37.4,-6.0,41.2,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,14.117272727272727
31901153.6,1532434,102.46,-15.8,50.3,-25.0,7.3,32.4,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,13.0695
33216567.6,1544255,101.27,2.3,44.3,-15.1,6.7,24.2,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,12.032727272727273
32899604.7,1545046,100.79,-9.1,38.6,-21.1,8.1,16.2,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,10.783181818181818
33049533.8,1531319,100.49,-15.0,37.2,-19.9,6.0,16.8,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,10.567142857142857
34473015.3,1553744,100.57,-7.1,37.3,-18.4,10.1,13.4,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,10.290909090909091
32897173.8,1537994,100.43,-13.7,42.1,-22.4,11.9,23.3,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,10.371739130434783
32210494.9,1542350,100.83,-11.8,40.0,-17.8,13.3,24.5,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5,10.981904761904762
32635557.0,1522707,100.66,-1.5,43.6,-13.1,16.8,26.1,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0,10.541818181818181
32665850.4,1531234,100.63,3.1,41.9,-14.3,10.7,24.0,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5,10.296363636363637
32799685.5,1567119,100.45,-9.9,39.6,-23.0,1.3,23.8,2015-11-30,44.27,11.425,16.443444730077122,32161.0,10.528571428571428
34285764.6,1508378,100.66,6.9,49.0,-20.8,-10.0,30.9,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0,10.305652173913044
32438624.5,1540684,101.4,-22.9,34.0,-27.1,10.0,19.7,2016-01-31,30.7,11.017333333333333,15.74,35179.7,9.90047619047619
33806257.2,1525501,100.57,-5.3,30.8,-16.6,6.7,17.0,2016-02-29,32.18,10.8425,14.74,33966.5,9.507619047619048
34776550.3,1522829,100.37,-1.4,30.6,-8.4,9.7,15.3,2016-03-31,38.21,10.94047619047619,14.5987,34309.6,9.694347826086956
34599489.7,1542660,100.29,-12.4,20.7,-20.0,6.8,17.1,2016-04-30,41.58,10.732857142857142,13.6,34689.4,9.577142857142857
35082540.4,1551246,100.14,-11.3,20.4,-14.1,5.5,10.6,2016-05-31,46.74,11.063157894736841,14.1881,35105.5,9.728181818181817
35687794.2,1553317,100.28,-10.1,19.6,-12.1,5.6,9.9,2016-06-30,48.25,10.639047619047618,14.2875,35642.9,9.532272727272726
33765955.5,1565270,100.37,-5.0,22.4,-11.3,16.0,12.5,2016-07-31,44.95,10.37904761904762,12.5623,35856.9,9.191428571428572
33504241.6,1565202,100.33,10.9,25.5,-10.9,14.9,6.5,2016-08-31,45.84,10.339565217391305,14.2065,36031.7,9.01695652173913
33612554.2,1572231,100.63,2.9,22.5,-15.1,12.6,8.6,2016-09-30,46.57,10.238636363636363,12.3462,36169.6,9.001363636363637
34299436.3,1589973,100.28,-3.7,26.4,-9.3,2.8,8.7,2016-10-31,49.52,10.323333333333332,13.677378,36148.8,8.895714285714286
