trade_turnover,debt_firms,money_income,paid_services,inflation,unemp,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,fm_credit_cond,fm_currency_index,fm_consumer_risk,fm_price_final_prod,fm_ibk,fm_econom_position,fm_econom_cond,Date,Brent,MIACR,Infl_exp,M2,obligates
9139013,33840.0,29882.0,2900057.9,100.5,2.9,-39.6694214876033,25.409836065573796,-29.2682926829268,13.008130081300799,11.4754098360656,13.934426229508201,-0.961538461538462,-26.229508196721298,33.0508474576271,16.260162601625996,-12.6098971701428,-2.41935483870968,-23.577235772357696,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
9175474,34412.0,29190.0,3214893.4,100.34,2.9,-4.16666666666667,31.9672131147541,-20.491803278688497,14.754098360655698,8.196721311475411,14.049586776859499,-3.84615384615385,-32.7868852459016,35.042735042734996,10.655737704918,-0.888400224015307,-2.4390243902438997,-14.049586776859499,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
10344512,32272.0,30973.0,3367412.5,100.64,3.2,9.83606557377049,34.1269841269841,-11.904761904761898,12.6984126984127,8.8,14.285714285714299,-3.8834951456310702,-26.1904761904762,36.1344537815126,14.285714285714299,4.61533060743022,-1.5748031496063,-9.52380952380952,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
9862126,32777.0,32071.0,3385204.3,101.02,2.9,5.8333333333333295,33.6065573770492,-10.655737704918,10.655737704918,9.09090909090909,12.295081967213099,-7.0,-29.508196721311496,32.4786324786325,18.032786885245898,3.54904774869538,-2.4390243902438997,-6.666666666666669,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
10085884,33062.0,32364.0,3256951.1,100.49,2.6,-12.0,26.400000000000002,-18.400000000000002,10.4,8.06451612903226,5.6000000000000005,-8.57142857142857,-23.2,28.925619834710698,11.200000000000001,-3.37924363039405,-0.793650793650794,-11.4754098360656,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
10271567,34015.0,34214.0,3306988.6,100.56,1.5,3.2,29.6,-15.200000000000001,14.6341463414634,12.903225806451598,9.6,-4.04040404040404,-23.387096774193502,27.5,9.6,3.5291795490273694,3.96825396825397,-4.032258064516129,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
10859974,33924.0,31988.0,3453732.3,100.53,2.0,1.65289256198347,35.53719008264459,-9.917355371900829,23.1404958677686,19.1666666666667,17.3553719008264,-4.12371134020619,-23.3333333333333,28.448275862068996,7.438016528925619,8.077420095072501,0.8196721311475411,-6.7226890756302495,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
11520485,33483.0,30222.0,3503100.7,100.87,2.7,-9.09090909090909,26.612903225806498,-21.951219512195095,17.741935483870996,18.032786885245898,20.9677419354839,-10.6796116504854,-27.642276422764198,34.1666666666667,10.483870967741899,0.427530033215889,-3.2,-18.032786885245898,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
11865104,33388.0,31390.0,3352005.0,100.93,1.4,-3.2,30.400000000000002,-13.6,11.904761904761898,6.4,23.3333333333333,-8.7378640776699,-32.8,31.1475409836066,15.200000000000001,0.138367427886586,1.5748031496063,-13.008130081300799,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
12152892,33292.0,32426.0,3382322.8,100.83,1.0,-10.655737704918,31.2,-8.06451612903226,8.06451612903226,3.2520325203251996,27.2,-11.6504854368932,-45.96774193548389,41.322314049586794,16.0,-2.00232763295575,-1.5873015873015899,-17.2131147540984,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
12693100,33171.0,31780.0,3482205.6,101.48,0.7,-32.5,36.290322580645196,-24.390243902438996,-6.45161290322581,-8.130081300813009,27.642276422764198,-16.3265306122449,-44.7154471544715,44.44444444444439,18.699186991869897,-18.2016342856734,-12.0967741935484,-32.2033898305085,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,10.4095
16640793,32990.0,40512.0,3769402.6,102.01,3.0,1.65289256198347,42.6229508196721,-15.702479338842998,-10.655737704918,-12.396694214876,38.84297520661159,-35.869565217391305,-46.2809917355372,50.0,20.491803278688497,-9.38628477372938,-8.130081300813009,-22.8813559322034,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,14.746521739130435
10440378,32077.0,29190.0,3250630.4,103.52,3.1,-51.3274336283186,35.593220338983095,-38.3333333333333,4.27350427350427,4.310344827586209,36.7521367521368,-33.6842105263158,-58.8235294117647,50.4347826086957,26.7241379310345,-22.0334302924405,-11.570247933884302,-42.8571428571429,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,14.117272727272727
10233761,30836.0,28774.0,3412534.0,101.92,3.3,-19.1304347826087,38.0165289256198,-29.752066115702497,15.702479338842998,13.3333333333333,23.1404958677686,-27.7777777777778,-52.100840336134496,47.4137931034483,19.834710743801697,-5.982769820701699,-14.754098360655698,-31.6666666666667,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,13.0695
11662641,30878.0,30242.0,3606656.6,101.75,3.0,-3.3057851239669396,32.2314049586777,-20.6611570247934,13.114754098360699,10.7438016528926,13.114754098360699,-24.271844660194198,-45.3781512605042,40.869565217391305,18.032786885245898,-0.49280188545317705,-12.1951219512195,-18.8524590163934,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,12.032727272727273
11085444,30335.0,31098.0,3720564.1,101.06,2.6,-9.90990990990991,35.6521739130435,-19.8275862068966,7.75862068965517,6.0344827586206895,6.83760683760684,-17.021276595744702,-35.6521739130435,31.8181818181818,10.256410256410298,-4.3243952938327395,-11.864406779660998,-14.655172413793098,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,10.783181818181818
11708286,28750.0,31666.0,3638590.4,100.63,2.7,-10.4761904761905,25.2252252252252,-28.440366972477097,12.7272727272727,11.9266055045872,10.091743119266098,-17.8571428571429,-39.4495412844037,35.5769230769231,5.40540540540541,-4.331063275586609,-9.82142857142857,-12.612612612612597,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,10.567142857142857
11337864,27932.0,33638.0,3663310.6,100.62,2.1,-8.0,24.7619047619048,-18.2692307692308,20.0,11.5384615384615,17.3076923076923,-12.8205128205128,-45.19230769230769,27.2727272727273,8.57142857142857,0.740697569849842,-6.666666666666669,-8.57142857142857,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,10.290909090909091
11415797,28113.0,32224.0,3883143.9,100.22,2.3,-20.5607476635514,30.555555555555596,-29.245283018867894,11.214953271028,7.47663551401869,20.370370370370395,-16.867469879518097,-50.943396226415096,35.6435643564356,15.5963302752294,-8.57616850746667,-8.18181818181818,-24.7706422018349,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,10.371739130434783
12270489,27310.0,30776.0,3881697.7,100.39,1.3,-12.844036697247699,35.454545454545496,-27.5229357798165,7.3394495412844005,4.58715596330275,19.266055045871596,-11.764705882352898,-54.62962962962959,31.067961165048498,19.0909090909091,-7.63598555858201,-9.90990990990991,-22.9357798165138,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5,10.981904761904762
12581368,26358.0,31131.0,3721332.5,101.61,1.0,-19.2307692307692,32.71028037383179,-25.2336448598131,3.73831775700935,0.934579439252336,14.285714285714299,-10.389610389610398,-51.92307692307689,35.5769230769231,19.811320754717,-10.361097069399499,-13.084112149532698,-15.887850467289697,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0,10.541818181818181
12927185,26248.0,31921.0,3666168.2,100.66,0.7,-26.262626262626295,32.69230769230769,-26.9230769230769,0.0,-6.7961165048543695,17.4757281553398,-8.43373493975904,-52.9411764705882,39.39393939393939,16.346153846153797,-15.373274854615799,-11.4285714285714,-23.076923076923094,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5,10.296363636363637
12595792,26172.0,31803.0,3805969.2,100.87,3.1,-12.5,35.0,-19.801980198019802,-12.871287128712899,-15.841584158415799,17.0,-20.5882352941176,-58.16326530612239,39.7959183673469,14.851485148514898,-15.2770643826212,-11.764705882352898,-22.772277227722796,2015-11-30,44.27,11.425,16.443444730077122,32161.0,10.528571428571428
15615339,26099.0,39857.0,4056559.1,100.32,3.1,-11.7021276595745,41.8367346938776,-21.428571428571395,-13.131313131313098,-12.2448979591837,26.530612244898,-23.529411764705902,-57.2916666666667,50.537634408602194,11.224489795918402,-14.669705132581399,-11.0,-27.2727272727273,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0,10.305652173913044
12234465,25878.0,30422.0,3499745.6,101.07,3.1,-59.78260869565219,34.34343434343429,-46.0,13.0,18.0,18.1818181818182,-16.6666666666667,-64.0,48.913043478260896,10.101010101010099,-22.053407870554203,-17.8217821782178,-41.8367346938776,2016-01-31,30.7,11.017333333333333,15.74,35179.7,9.90047619047619
11454741,25961.0,30042.0,3654274.4,100.81,3.0,-20.408163265306097,37.6237623762376,-28.7128712871287,10.891089108910899,12.0,16.6666666666667,-24.0,-55.0,38.709677419354804,12.871287128712899,-7.4243586003352595,-9.70873786407767,-28.4313725490196,2016-02-29,32.18,10.8425,14.74,33966.5,9.507619047619048
