trade_turnover,debt_firms,money_income,paid_services,inflation,unemp,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,fm_credit_cond,fm_currency_index,fm_consumer_risk,fm_price_final_prod,fm_ibk,fm_econom_position,fm_econom_cond,Date,Brent,MIACR,Infl_exp,M2,obligates
14779071,96682.0,33650.0,4405802.6,100.44,1.5,-25.6,14.6,-11.7,22.2,22.222222222222197,11.7,-8.7,-8.8,21.8,7.6,-0.4,-9.4,-21.2,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
13904264,98356.0,31986.0,4705042.3,100.61,1.5,-5.5,16.4,-7.0,17.0,30.8641975308642,11.7,-11.5,-13.5,20.0,5.8,6.1,-7.6,-10.3,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
16386219,98934.0,33823.0,4988669.5,100.78,1.8,4.9,21.4,-1.8,20.8,28.3950617283951,15.5,-9.6,-9.0,20.3,7.1,11.2,-7.7,-3.7,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
16193172,100700.0,35701.0,5195905.7,100.74,1.6,0.6,14.5,1.8,16.3,28.3950617283951,11.4,-10.9,-13.9,19.6,4.2,8.6,-7.2,-5.1,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
17199936,100637.0,36820.0,5007149.7,100.44,1.5,-7.5,18.3,5.5,19.4,24.691358024691397,9.1,-8.3,-11.2,15.1,6.1,7.3,-2.4,-2.5,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
17718034,102532.0,38272.0,6025633.9,100.98,1.6,2.5,10.9,6.1,18.2,22.222222222222197,10.3,-6.8,-10.3,15.9,5.5,8.9,-1.2,-0.6,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
18018558,104635.0,35343.0,5404660.5,100.93,1.5,3.7,15.6,2.4,13.8,22.222222222222197,7.8,-11.9,-13.3,17.6,3.0,7.8,-0.6,-1.8,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
17703571,107103.0,32093.0,5604420.9,100.75,1.5,-11.3,16.8,-7.2,-2.4,27.1604938271605,4.2,-12.3,-15.6,21.5,12.6,-7.0,0.0,-3.0,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
17373175,109864.0,34054.0,5209932.6,101.03,1.5,-8.0,26.6,-4.7,-2.9,32.0987654320988,14.7,-15.4,-17.6,29.2,8.8,-5.7,-1.2,-7.2,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
17517305,116449.0,34948.0,5359210.1,101.06,1.3,-18.3,26.9,-10.5,3.5,16.0493827160494,12.9,-16.0,-25.3,32.3,8.2,-7.8,-6.4,-15.5,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
