trade_turnover,debt_firms,money_income,paid_services,inflation,unemp,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,fm_credit_cond,fm_currency_index,fm_consumer_risk,fm_price_final_prod,fm_ibk,fm_econom_position,fm_econom_cond,Date,Brent,MIACR,Infl_exp,M2,obligates
2535329.0,29065.0,18405.0,965961.1,100.4,1.7,-22.7,13.2,-2.9,31.2,31.2,4.3,0.0,-2.2,3.7,7.3,7.9,2.9,1.5,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
2517728.4,29466.0,17699.0,974951.0,100.18,1.8,0.7,10.9,-4.3,47.1,48.6,18.8,0.9,-2.9,2.2,6.5,21.6,4.3,-1.4,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
2726591.0,29999.0,19291.0,987339.6,100.62,1.7,17.3,6.5,-5.1,23.2,24.6,8.0,-1.0,-2.9,3.0,1.4,14.7,-0.7,-4.4,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
2762386.7,29733.0,18529.0,956016.4,100.76,1.8,14.9,6.6,3.6,32.8,33.6,20.4,-1.9,-3.6,5.2,11.0,20.9,3.7,-2.2,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
2865209.4,30473.0,18996.0,945455.2,100.42,1.6,23.5,2.2,7.4,43.4,44.9,28.7,-0.9,-4.4,5.3,8.1,29.3,0.0,-1.5,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
2944139.9,30694.0,20492.0,898556.8,100.66,1.4,46.8,32.3,38.6,57.5,59.8,23.6,-15.2,-9.6,35.8,22.0,50.5,5.5,28.8,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
3036096.1,30672.0,20337.0,922084.7,100.65,1.3,42.4,37.0,37.8,47.2,50.4,24.4,-13.4,-8.7,33.9,26.0,44.4,6.3,24.2,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
3125658.2,30857.0,18787.0,924092.4,100.52,1.3,26.0,34.6,33.3,50.4,54.3,36.2,-9.7,-12.6,35.0,25.2,40.7,5.5,11.9,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
3195654.8,31043.0,19463.0,942161.1,101.52,1.3,31.7,33.9,32.3,46.5,44.1,45.7,-9.9,-26.8,36.1,32.3,38.6,3.9,11.9,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
3218513.4,30696.0,19061.0,939731.6,100.77,1.0,20.0,40.5,24.6,42.7,42.7,51.9,-17.3,-38.9,37.0,36.6,32.3,3.8,11.5,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
