trade_turnover,debt_firms,money_income,paid_services,inflation,unemp,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,fm_credit_cond,fm_currency_index,fm_consumer_risk,fm_price_final_prod,fm_ibk,fm_econom_position,fm_econom_cond,Date,Brent,MIACR,Infl_exp,M2,obligates
6829607,32129.0,22792.0,2358034.1,100.61,1.0,-50.4,15.9,-15.1,26.0,21.4,11.9,-2.4,-7.9,16.0,7.1,-7.8,-16.7,-15.1,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
6841531,31808.0,23350.0,2545034.3,100.46,1.1,17.1,23.0,-8.7,24.7,14.3,17.5,-3.2,-15.9,15.1,11.9,11.2,-11.9,-12.7,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
7280466,29692.0,24166.0,2474171.2,100.71,1.3,26.0,22.8,-3.1,19.2,24.4,8.7,-3.1,-16.5,21.4,16.5,18.5,-7.9,0.0,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
7311952,30739.0,25196.0,2485685.5,100.47,1.1,10.7,21.6,-4.0,21.5,19.2,5.6,-8.0,-14.4,18.0,14.4,11.2,-0.8,-2.4,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
7685097,29992.0,24761.0,2478072.9,101.1,0.9,-0.8,20.8,0.8,13.8,23.2,6.4,-5.6,-11.2,19.5,8.0,12.6,1.6,-7.2,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
8128521,30109.0,25445.0,2535883.5,101.0,0.9,6.8,18.4,-1.6,9.8,20.0,5.6,-9.6,-10.4,17.8,4.8,12.2,-5.6,-4.8,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
8380562,29744.0,25650.0,2590632.4,100.47,0.9,11.8,26.6,4.0,5.9,16.1,12.9,-7.3,-9.7,21.3,8.9,13.5,-7.3,1.6,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
8462418,29542.0,24648.0,2526211.7,100.7,0.8500000000000001,-11.6,19.4,-5.6,10.0,14.5,12.1,-10.5,-16.1,25.0,12.1,2.8,-4.0,-4.2,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
8117334,29605.0,24834.0,2561236.1,100.84,0.8,3.3,24.2,-1.6,-6.4,12.1,13.7,-15.3,-22.6,25.0,11.3,7.0,-7.3,-10.7,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
8175491,30523.0,25068.0,2534964.2,100.75,0.7,8.3,23.6,-9.8,-13.7,2.4,20.3,-19.5,-30.1,26.3,11.4,2.0,-8.9,-21.5,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
8304116,31486.0,25460.0,2561063.0,101.04,0.4,-13.6,30.3,-10.7,-26.2,-2.5,21.3,-18.0,-36.9,35.8,17.2,-6.9,-14.8,-23.1,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,10.4095
10871794,32859.0,31270.0,2826675.8,102.52,1.0,33.3,38.5,-2.5,-31.0,-5.7,28.7,-31.1,-47.5,40.0,17.2,4.0,-9.8,-21.0,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,14.746521739130435
7970244,32552.0,25266.0,2580005.3,103.82,1.2,-39.7,38.5,-25.4,4.9,9.0,16.4,-29.5,-44.3,42.5,24.6,-12.1,-12.3,-29.2,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,14.117272727272727
7466974,32584.0,24266.0,2611706.8,101.79,1.4,-1.7,37.7,-17.2,2.9,15.6,22.1,-25.4,-51.6,29.4,20.5,4.1,-13.9,-22.5,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,13.0695
8356130,35874.0,25459.0,2650477.3,101.59,1.1,36.4,35.2,-9.8,21.3,18.0,13.1,-23.8,-45.9,33.9,13.1,18.4,-9.0,-7.4,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,12.032727272727273
8328906,36369.0,25361.0,2629083.7,100.77,1.0,-4.2,21.3,-11.5,15.0,14.8,9.8,-18.9,-36.9,31.1,4.9,4.9,-5.7,-9.2,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,10.783181818181818
8746590,36786.0,26488.0,2596661.0,100.64,1.0,-6.8,19.7,-15.6,16.5,18.9,13.1,-15.6,-43.4,29.4,4.9,5.1,-5.7,-9.9,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,10.567142857142857
9106539,36655.0,26364.0,2672855.5,100.35,1.0,9.2,20.7,-5.8,10.6,12.4,8.3,-15.7,-32.2,25.0,2.5,9.1,-9.9,-4.1,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,10.290909090909091
9470382,35934.0,26913.0,2735061.5,100.33,0.9,4.3,28.6,-15.1,-3.6,12.6,14.3,-16.8,-41.2,27.4,4.2,4.1,-10.1,-13.4,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,10.371739130434783
9070976,36538.0,26083.0,2648652.1,100.55,0.8,0.9,29.1,-16.2,-10.7,2.6,17.1,-15.4,-45.3,33.6,3.4,-2.9,-10.3,-21.6,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5,10.981904761904762
8979108,37234.0,25739.0,2672111.8,100.98,0.7,-7.8,23.1,-16.2,-12.1,6.8,15.4,-20.5,-41.0,33.0,2.6,-4.7,-9.4,-23.1,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0,10.541818181818181
9124068,36293.0,25801.0,2716390.3,100.7,0.4,5.2,29.3,-9.5,-6.6,6.9,22.4,-17.2,-36.2,36.5,11.2,0.6,-8.6,-19.8,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5,10.296363636363637
9223076,36500.0,25796.0,2738661.7,100.56,1.0,-12.5,32.5,-16.7,-26.5,-7.0,21.1,-17.5,-47.4,31.9,7.0,-10.6,-10.5,-27.2,2015-11-30,44.27,11.425,16.443444730077122,32161.0,10.528571428571428
11167014,33804.0,31596.0,2906436.8,100.77,1.2,12.2,32.2,-18.3,-27.8,-4.3,25.2,-20.0,-50.4,41.6,9.6,-6.0,-8.7,-27.8,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0,10.305652173913044
8186470,33803.0,25343.0,2602734.9,100.95,1.4,-44.1,32.5,-24.6,4.7,9.6,13.2,-14.9,-50.9,39.6,7.9,-14.6,-7.9,-31.6,2016-01-31,30.7,11.017333333333333,15.74,35179.7,9.90047619047619
7762827,34032.0,26179.0,2663090.4,100.4,1.1,15.2,33.3,-11.4,12.8,22.8,12.3,-12.3,-45.6,31.5,5.3,12.5,-8.8,-19.3,2016-02-29,32.18,10.8425,14.74,33966.5,9.507619047619048
8482613,35506.0,26850.0,2723123.5,100.92,1.0,28.6,28.1,0.0,11.2,23.7,7.0,-12.3,-39.5,29.2,4.4,18.9,-5.3,-10.5,2016-03-31,38.21,10.94047619047619,14.5987,34309.6,9.694347826086956
8541866,35952.0,26504.0,2683954.9,100.33,1.1,-2.7,33.3,-16.7,13.8,11.4,7.0,-11.4,-42.1,29.5,8.8,1.1,-4.4,-14.9,2016-04-30,41.58,10.732857142857142,13.6,34689.4,9.577142857142857
8906049,35469.0,27959.0,2663998.7,100.14,1.0,-1.9,32.7,-11.5,14.3,15.9,8.8,-8.0,-42.5,25.5,1.8,5.1,-8.0,-8.8,2016-05-31,46.74,11.063157894736841,14.1881,35105.5,9.728181818181817
9339169,35969.0,28547.0,2696315.5,100.33,0.9,-1.8,27.2,-16.7,-4.1,10.5,6.1,-15.8,-32.5,27.3,3.5,0.9,-9.6,-12.3,2016-06-30,48.25,10.639047619047618,14.2875,35642.9,9.532272727272726
9691536,36634.0,28479.0,2737348.1,100.48,0.8,-9.0,28.9,-14.9,1.7,10.5,8.8,-14.9,-31.6,35.1,7.0,1.2,-9.6,-14.0,2016-07-31,44.95,10.37904761904762,12.5623,35856.9,9.191428571428572
9834633,36708.0,27931.0,2676245.6,100.36,0.7,13.9,22.1,-9.7,5.1,0.0,5.3,-21.2,-32.7,20.7,4.4,2.8,-8.0,-15.9,2016-08-31,45.84,10.339565217391305,14.2065,36031.7,9.01695652173913
9265762,36610.0,27836.0,2662025.1,100.45,0.4,-11.1,17.0,-3.6,-0.8,-1.8,8.9,-15.2,-33.9,23.9,10.7,-3.7,-8.0,-13.4,2016-09-30,46.57,10.238636363636363,12.3462,36169.6,9.001363636363637
9172458,35019.0,27482.0,2637126.3,100.58,1.1,-10.0,27.7,-13.4,-8.5,-8.9,11.6,-14.3,-40.2,35.2,10.7,-9.4,-9.8,-23.2,2016-10-31,49.52,10.323333333333332,13.677378,36148.8,8.895714285714286
9136843,35287.0,27366.0,2659068.8,100.26,1.2,-7.3,24.3,-10.8,-17.8,-7.2,12.6,-11.7,-33.3,32.4,12.6,-7.5,-9.9,-19.8,2016-11-30,44.73,10.017142857142856,12.3526,36051.0,8.530909090909091
10217043,32474.0,34336.0,2795999.9,100.36,1.4,17.9,25.2,-7.2,-6.9,-4.5,14.4,-11.7,-27.9,25.7,3.6,-0.1,-9.9,-3.6,2016-12-31,53.31,10.160454545454545,11.4855,36433.0,8.514090909090909
