trade_turnover,debt_firms,money_income,paid_services,inflation,unemp,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,fm_credit_cond,fm_currency_index,fm_consumer_risk,fm_price_final_prod,fm_ibk,fm_econom_position,fm_econom_cond,Date,Brent,MIACR,Infl_exp,M2,obligates
51889786,221692.0,21788.0,16014319.8,100.32,1.2,-21.9,21.1,-18.0,23.4,27.3,17.2,0.0,-15.6,19.0,7.0,1.5,8.6,-12.1,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
48732886,222195.0,21718.0,16748204.1,100.28,1.2,1.4,27.2,0.7,33.3,34.0,17.0,-2.7,-19.0,26.6,6.8,16.7,0.7,-7.1,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
51268693,286745.0,22515.0,16784925.3,100.64,1.4,12.8,29.9,7.5,35.8,34.3,9.7,-3.7,-14.2,21.6,9.0,22.2,3.0,3.1,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
55723715,281971.0,25931.0,16699289.0,100.83,1.2,-3.4,19.8,10.3,29.3,23.3,12.9,-7.8,-13.8,22.0,4.3,14.5,-2.6,-0.9,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
58772203,292080.0,24168.0,16856928.1,100.65,1.1,3.0,20.3,3.0,35.3,18.8,9.0,-8.3,-13.5,18.9,6.0,14.6,0.8,6.4,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
63679378,295783.0,25366.0,18137753.4,100.86,1.1,16.9,33.1,1.5,39.2,30.0,13.1,-8.5,-12.3,17.9,3.1,21.5,-2.3,-1.7,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
68578271,287669.0,24407.0,19175435.6,100.4,0.9,6.7,21.5,6.6,30.6,25.6,6.6,-9.2,-14.0,20.4,6.6,17.1,0.8,3.5,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
74062501,294679.0,24347.0,19989769.9,100.65,1.0,-0.8,22.7,-1.6,16.4,18.8,10.2,-14.3,-10.2,22.7,3.9,8.0,1.6,-5.8,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
72969383,300277.0,24968.0,19381167.0,100.64,1.1,0.7,22.5,-2.2,18.7,12.9,14.4,-5.2,-16.5,23.4,5.0,7.4,-2.2,-8.4,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
73509229,293893.0,24892.0,19274891.3,100.65,0.8,-12.8,23.7,-11.9,-0.8,5.9,22.0,-16.9,-33.1,28.6,5.1,-5.1,-5.1,-10.6,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
78069348,305760.0,25440.0,19632034.4,101.32,0.6,-13.7,25.4,-16.1,-8.5,-2.5,22.9,-19.7,-35.0,29.9,6.8,-10.3,-7.6,-25.7,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,10.4095
84082387,305409.0,30992.0,20286925.4,102.06,1.2,6.8,41.4,1.5,6.8,12.8,20.5,-37.9,-39.1,34.1,25.6,6.9,-6.0,-19.8,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,14.746521739130435
58753409,306264.0,24145.0,18275248.3,103.66,1.3,-33.3,37.7,-19.4,15.8,12.9,18.0,-39.1,-41.7,37.3,29.5,-7.1,-10.1,-31.3,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,14.117272727272727
54764501,301437.0,23807.0,18121088.7,102.48,1.4,-11.6,33.6,-13.5,20.6,17.9,18.6,-29.7,-46.8,38.1,19.1,2.7,-7.1,-24.1,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,13.0695
50298309,299088.0,24546.0,18413204.4,101.13,1.2,0.7,33.6,-13.1,27.0,21.2,10.2,-27.6,-35.0,29.0,12.5,8.3,-8.8,-16.9,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,12.032727272727273
51302384,305402.0,25198.0,18203874.8,100.75,1.1,-12.2,32.1,-12.2,31.5,26.0,12.2,-23.2,-38.2,27.0,9.9,7.2,-3.1,-17.2,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,10.783181818181818
52611236,304679.0,25889.0,17134957.8,100.29,1.2,-13.1,32.5,-13.6,23.8,23.8,14.3,-19.8,-37.3,35.3,4.8,4.4,-6.4,-12.5,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,10.567142857142857
56710407,308195.0,26313.0,18496250.4,100.1,1.0,-1.5,29.2,-16.0,21.4,16.9,19.1,-24.0,-35.9,34.1,2.3,4.6,-6.2,-9.8,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,10.290909090909091
73408871,293660.0,25711.0,20158553.2,100.27,1.05,2.3,23.5,-9.8,26.3,21.1,15.0,-23.7,-39.8,35.4,13.5,9.5,0.8,-13.4,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,10.371739130434783
74917404,305740.0,25511.0,20826253.1,100.64,1.1,-5.7,26.2,-9.2,24.8,20.6,17.3,-23.0,-33.6,31.1,9.4,7.1,-2.8,-12.7,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5,10.981904761904762
75713164,295493.0,25365.0,20284283.5,101.17,0.8,-3.6,21.7,-9.4,14.6,14.5,10.9,-20.0,-32.8,27.3,7.3,3.7,-5.1,-14.4,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0,10.541818181818181
75521089,299572.0,25775.0,20560345.9,100.35,0.6,-13.8,24.2,-10.6,11.5,13.0,6.1,-17.1,-32.1,22.2,3.0,-0.4,-9.1,-9.5,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5,10.296363636363637
79228006,290741.0,26172.0,20365353.3,100.46,1.2,-16.7,18.9,-17.4,-1.5,-3.0,9.1,-19.8,-38.2,26.2,3.0,-9.8,-9.1,-17.5,2015-11-30,44.27,11.425,16.443444730077122,32161.0,10.528571428571428
81434374,289696.0,31588.0,20730659.5,100.44,1.3,-9.6,19.0,-4.1,-6.1,-3.4,9.5,-19.7,-32.2,20.1,7.5,-5.8,-4.1,-11.5,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0,10.305652173913044
58377299,295184.0,24922.0,18191652.7,100.73,1.4,-30.5,18.2,-18.2,19.7,15.2,10.6,-20.5,-31.3,23.8,4.5,-4.6,-8.3,-22.6,2016-01-31,30.7,11.017333333333333,15.74,35179.7,9.90047619047619
53486973,297403.0,25208.0,19382503.0,100.78,1.2,-5.8,21.1,-8.5,19.7,21.3,9.9,-20.0,-36.9,22.2,7.7,6.2,-5.6,-14.2,2016-02-29,32.18,10.8425,14.74,33966.5,9.507619047619048
49030809,298433.0,26181.0,18974116.8,100.55,1.1,2.3,22.3,-7.7,23.1,15.4,6.2,-19.4,-31.8,20.2,6.2,7.9,-7.0,-15.7,2016-03-31,38.21,10.94047619047619,14.5987,34309.6,9.694347826086956
50372899,301046.0,29065.0,18767386.3,100.47,1.2,-10.5,24.8,-7.1,22.8,16.7,5.5,-25.6,-38.1,24.6,5.6,5.0,-15.9,-23.8,2016-04-30,41.58,10.732857142857142,13.6,34689.4,9.577142857142857
52875617,288177.0,28819.0,18281880.7,100.35,1.0,-4.0,31.3,-7.0,26.6,19.5,8.6,-18.8,-29.1,19.8,-1.6,8.3,-5.5,-9.0,2016-05-31,46.74,11.063157894736841,14.1881,35105.5,9.728181818181817
