trade_turnover,debt_firms,money_income,paid_services,inflation,unemp,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,fm_credit_cond,fm_currency_index,fm_consumer_risk,fm_price_final_prod,fm_ibk,fm_econom_position,fm_econom_cond,Date,Brent,MIACR,Infl_exp,M2,obligates
25920648,34417.0,16994.0,7522708.1,99.64,2.1,-24.0,-1.1,-4.9,3.3,4.4,0.0,-1.1,-2.2,-2.9,-2.7,-5.7,-14.2,-11.5,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
26141537,34678.0,17542.0,6675108.1,100.06,2.0,-11.7,-0.6,-2.9,7.4,7.4,0.6,-0.6,-3.4,-5.4,-3.4,-0.1,-13.7,-3.0,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
28415035,35225.0,18258.0,6974155.9,100.85,2.1,-6.7,10.2,-1.1,6.7,5.1,2.2,-6.2,-13.0,-2.4,-7.9,0.9,-16.9,-7.7,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
30028375,35477.0,18726.0,6774844.7,99.99,2.1,-24.6,2.9,-1.2,9.4,8.2,3.5,-4.7,-5.8,-1.8,-5.3,-2.5,-14.0,-9.0,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
30951449,35612.0,18705.0,6888033.4,99.8,1.9,12.6,6.6,2.0,6.6,6.6,1.3,4.6,-0.7,1.3,4.6,6.9,0.7,5.3,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
37709159,35236.0,20805.0,7005526.5,100.33,1.7,16.0,2.7,-1.3,20.0,19.3,3.3,2.0,-0.7,0.0,3.3,13.3,-1.3,2.8,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
42414847,35147.0,18834.0,7057944.9,101.45,1.5,24.4,4.7,4.7,26.7,24.7,0.7,3.3,-4.0,-2.1,0.7,19.9,12.0,6.9,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
48483831,34759.0,17440.0,7760175.2,101.58,7.3,-10.7,-0.7,-14.7,20.7,23.3,1.3,2.7,-2.7,-2.7,-3.3,3.9,1.3,-2.1,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
48624065,33794.0,19088.0,8445670.1,101.2,2.4,27.6,-4.7,15.5,3.4,3.4,0.0,25.0,-1.4,1.4,-2.0,12.2,-0.7,-2.1,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
51067649,33858.0,18768.0,8640363.6,100.32,1.1,-13.3,-10.7,-20.7,15.7,17.9,-3.6,-2.1,-6.4,-7.2,-12.1,-0.8,-0.7,2.2,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
