trade_turnover,debt_firms,money_income,paid_services,inflation,unemp,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,fm_credit_cond,fm_currency_index,fm_consumer_risk,fm_price_final_prod,fm_ibk,fm_econom_position,fm_econom_cond,Date,Brent,MIACR,Infl_exp,M2,obligates
1304694.6,7200.0,23258.0,846646.0,100.01,12.9,4.8,14.3,-9.5,9.5,4.8,9.5,-5.0,-4.8,0.0,0.0,2.3,0.0,10.5,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
1273935.16,7001.0,18556.0,767938.1,99.97,15.6,0.0,18.8,0.0,0.0,0.0,18.8,0.0,-20.0,-8.3,6.3,0.0,6.3,0.0,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
1266087.22,6952.0,20313.0,795890.8,100.34,13.8,-4.8,19.0,0.0,4.8,4.8,23.8,0.0,-10.0,-6.3,9.5,1.2,0.0,-5.0,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
1238803.7,6964.0,20701.0,713122.0,100.2,11.0,0.0,20.0,-5.0,10.5,10.5,21.1,0.0,-16.7,-6.3,5.0,3.9,0.0,0.0,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
1274963.32,6927.0,20977.0,742253.5,100.02,9.4,11.1,12.5,0.0,8.3,16.7,8.3,0.0,0.0,0.0,0.0,8.9,0.0,0.0,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
1275390.92,7207.0,23209.0,627760.7,100.05,8.8,11.8,12.5,11.8,16.7,16.7,5.6,0.0,-5.6,-21.4,5.6,14.2,5.6,11.1,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
1304359.33,6967.0,22268.0,569076.1,100.13,9.1,5.9,27.8,16.7,27.8,11.1,5.6,-5.6,-16.7,-26.7,11.1,15.2,-5.6,0.0,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
1322108.07,7176.0,20510.0,654550.2,100.13,18.5,5.9,15.8,10.5,31.6,21.1,10.5,0.0,-10.5,-18.8,0.0,17.0,5.3,5.3,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
1325786.89,6979.0,20828.0,740309.7,102.61,14.4,5.3,5.0,20.0,30.0,25.0,10.0,0.0,-20.0,-17.6,5.0,19.9,4.8,9.5,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
1347748.91,6948.0,21930.0,635315.1,100.31,9.9,13.3,6.3,6.3,18.8,12.5,12.5,-6.3,-6.7,13.3,6.3,12.7,0.0,6.3,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
