trade_turnover,debt_firms,money_income,paid_services,inflation,unemp,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,fm_credit_cond,fm_currency_index,fm_consumer_risk,fm_price_final_prod,fm_ibk,fm_econom_position,fm_econom_cond,Date,Brent,MIACR,Infl_exp,M2,obligates
12032706,36744.0,37145.0,3708276.6,100.5,1.4,-44.5,21.5,-16.8,32.2,27.2,20.5,-4.9,-13.0,24.2,14.2,-3.1,-4.7,-13.8,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
12267782,38158.0,36043.0,3923780.0,100.58,1.4,12.6,21.7,0.5,30.8,28.3,22.1,-3.0,-15.9,21.0,10.2,17.7,-2.1,-6.4,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
13819983,38757.0,38565.0,4128054.6,100.78,1.7,17.5,29.8,3.6,24.6,20.7,17.4,-4.6,-17.3,19.9,9.9,16.5,-1.3,-4.9,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
12718948,36643.0,42539.0,3683828.0,101.1,1.7,-3.8,24.7,0.3,23.6,19.6,17.3,-5.0,-14.3,19.0,9.7,9.6,-2.3,-3.1,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
12904684,36122.0,40403.0,3923843.3,100.84,1.5,-19.1,16.4,-5.2,17.7,13.5,17.1,-6.5,-15.9,18.1,5.5,1.2,0.0,-4.7,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
12745386,37730.0,42089.0,3925549.8,100.82,1.6,-1.6,19.4,-4.1,26.4,24.9,19.7,-4.6,-12.7,15.6,7.8,10.9,0.8,-5.2,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
12784472,37892.0,39107.0,3806378.4,100.58,1.4,10.4,26.0,1.0,27.8,25.0,17.1,-6.0,-12.4,20.1,10.6,15.8,-0.3,-3.8,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
12957065,38210.0,37229.0,3595640.2,100.61,1.45,1.1,20.8,-3.9,23.3,22.0,17.6,-6.3,-14.5,19.3,6.7,10.3,-2.1,-4.1,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
12656531,32383.0,37295.0,3584490.1,100.75,1.5,1.9,26.9,-3.4,15.3,16.0,14.2,-7.6,-18.8,21.3,11.1,7.3,-2.6,-4.6,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
13192848,28759.0,38665.0,3830384.2,101.08,1.3,6.0,30.8,-0.8,15.3,15.3,18.9,-11.7,-25.2,26.3,14.0,8.8,-2.3,-10.2,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
12914688,28859.0,38138.0,3713549.3,100.83,1.1,-18.0,28.1,-13.4,3.9,3.6,27.9,-12.9,-30.2,30.1,11.1,-6.2,-3.9,-16.2,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,10.4095
