trade_turnover,debt_firms,money_income,paid_services,inflation,unemp,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,fm_credit_cond,fm_currency_index,fm_consumer_risk,fm_price_final_prod,fm_ibk,fm_econom_position,fm_econom_cond,Date,Brent,MIACR,Infl_exp,M2,obligates
4891758,56698.0,18745.0,1534772.6,100.27,0.9,-25.6,25.3,-17.7,11.4,6.3,17.7,-3.8,-10.1,26.4,8.9,-7.0,-7.6,-15.8,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
5189213,57261.0,17657.0,1628975.0,100.41,0.9,-13.5,25.3,-17.1,21.1,13.2,18.4,-3.9,-15.8,34.8,9.3,0.2,-5.3,-21.6,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
5543090,57433.0,19080.0,1688569.7,100.52,1.2,1.3,30.3,-6.6,31.6,25.0,17.1,0.0,-15.8,29.4,11.8,12.2,-10.5,-9.3,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
5620729,57743.0,19854.0,1640203.8,100.76,1.0,-3.6,26.2,-4.8,26.2,20.2,14.3,-6.3,-17.9,28.4,10.7,9.1,-2.4,-11.0,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
6008254,57666.0,20454.0,1649543.1,100.6,0.9,3.7,30.5,-2.5,22.2,13.4,17.1,-4.9,-9.8,24.0,11.0,9.0,0.0,-4.9,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
6231056,60406.0,21528.0,1626772.0,100.8,0.9,4.9,28.0,0.0,27.2,16.0,13.4,-3.7,-11.0,29.3,6.1,11.8,0.0,-6.3,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
6323251,59148.0,20365.0,1735070.1,100.66,0.8,2.5,26.8,2.4,30.5,19.8,17.1,-2.4,-13.6,31.6,8.5,13.5,2.4,-6.2,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
6563003,59556.0,19557.0,1600691.6,100.9,0.75,1.2,26.6,3.7,17.1,11.3,13.4,-4.9,-12.2,30.3,15.9,8.2,3.7,-6.2,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
6320560,59762.0,20168.0,1498786.7,100.62,0.7,-3.7,36.6,2.4,17.1,9.8,17.1,-7.3,-12.2,27.6,17.1,6.3,1.2,-10.0,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
6436361,59371.0,20582.0,1529620.0,101.06,0.6,8.5,32.9,-2.4,8.5,2.4,13.4,-7.6,-24.7,33.8,15.9,4.2,0.0,-7.6,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
6201807,60225.0,21009.0,1605567.1,101.18,0.3,-4.8,34.9,-4.8,0.0,0.0,16.9,-12.3,-26.5,34.6,12.0,-2.4,-3.7,-16.0,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,10.4095
7795994,60314.0,25981.0,1855105.3,102.61,0.9,6.1,29.3,-4.9,-4.9,-7.4,21.0,-18.8,-45.1,35.4,20.7,-2.8,-2.4,-19.5,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,14.746521739130435
5618279,61660.0,18883.0,1586168.1,103.63,1.0,-14.7,27.9,-14.7,20.6,19.1,16.2,-20.6,-50.0,39.1,23.5,1.8,-7.4,-20.3,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,14.117272727272727
5479504,61628.0,20129.0,1723581.6,102.22,1.3,-5.1,31.6,-15.2,20.3,17.7,17.7,-17.7,-39.2,36.5,13.9,3.9,-5.1,-17.9,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,13.0695
6009928,61348.0,20628.0,1839880.1,101.97,1.1,3.8,36.7,-8.9,24.1,20.3,15.2,-16.5,-35.4,34.2,19.0,9.4,-6.3,-19.2,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,12.032727272727273
5857933,60809.0,22700.0,1822389.1,100.77,1.0,-1.3,35.5,-15.8,26.3,22.4,11.8,-14.5,-36.8,31.0,10.5,7.2,-2.6,-10.5,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,10.783181818181818
6012329,60010.0,21865.0,1628304.4,100.63,1.0,-1.3,31.6,-11.8,28.9,22.4,13.2,-17.1,-31.6,27.1,15.8,8.9,-6.6,-13.2,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,10.567142857142857
6233614,59979.0,23091.0,1707129.1,100.43,0.8,5.4,38.7,-12.0,32.0,29.3,17.3,-16.0,-41.3,28.2,13.3,12.9,-2.7,-17.3,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,10.290909090909091
6557335,64977.0,21069.0,1843127.1,100.15,0.7,4.1,36.5,-14.7,26.7,25.3,9.3,-10.7,-38.7,28.6,12.0,9.6,-4.0,-17.3,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,10.371739130434783
6564658,64854.0,20827.0,1757875.4,100.57,0.6,-2.7,32.0,-16.0,18.7,21.3,12.0,-12.0,-41.3,28.2,10.7,4.7,-2.7,-13.3,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5,10.981904761904762
6328881,65528.0,21122.0,1639764.2,100.75,0.6,-1.3,34.7,-12.0,24.0,24.0,14.7,-13.3,-42.7,31.4,12.0,8.1,0.0,-14.7,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0,10.541818181818181
6503407,64825.0,24196.0,1622281.6,101.08,0.3,2.7,36.5,-12.2,18.9,16.2,10.8,-14.9,-40.5,27.5,8.1,6.0,2.7,-14.9,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5,10.296363636363637
6524390,64287.0,21407.0,1713165.9,100.61,0.9,1.4,34.2,-9.6,17.8,15.1,16.4,-13.0,-39.7,30.9,9.6,5.9,4.1,-11.0,2015-11-30,44.27,11.425,16.443444730077122,32161.0,10.528571428571428
7336920,61666.0,28527.0,1863078.6,100.6,1.1,6.9,31.9,-8.3,18.1,15.3,12.5,-11.1,-38.9,29.4,11.1,7.7,1.4,-15.3,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0,10.305652173913044
5826319,61357.0,20332.0,1645791.4,100.78,1.3,-7.0,33.3,-15.3,19.4,13.9,8.3,-13.9,-38.9,29.9,9.7,2.2,-4.2,-25.0,2016-01-31,30.7,11.017333333333333,15.74,35179.7,9.90047619047619
5712556,60740.0,20054.0,1809095.1,100.53,1.1,-13.9,28.8,-19.2,23.3,17.8,8.2,-13.7,-37.0,30.9,8.2,1.1,-2.7,-23.3,2016-02-29,32.18,10.8425,14.74,33966.5,9.507619047619048
6063556,59826.0,22038.0,1834071.7,100.84,1.0,-11.0,26.0,-15.1,26.0,23.3,13.7,-11.3,-34.2,33.8,5.5,5.0,-9.6,-19.2,2016-03-31,38.21,10.94047619047619,14.5987,34309.6,9.694347826086956
6118218,58331.0,22348.0,1840684.6,100.68,1.0,2.8,26.0,-13.9,30.1,27.4,13.7,-9.9,-32.9,35.3,2.7,10.8,-6.8,-16.4,2016-04-30,41.58,10.732857142857142,13.6,34689.4,9.577142857142857
6493803,58044.0,24623.0,1724196.8,100.86,0.8,6.9,26.0,-12.3,27.4,26.0,11.0,-11.3,-26.0,34.8,5.5,11.4,-2.7,-15.1,2016-05-31,46.74,11.063157894736841,14.1881,35105.5,9.728181818181817
6628507,54692.0,24513.0,1784080.9,100.2,0.7,2.7,26.0,-9.6,20.5,21.9,11.0,-8.6,-30.1,27.5,2.7,8.5,-4.1,-11.0,2016-06-30,48.25,10.639047619047618,14.2875,35642.9,9.532272727272726
6784553,55103.0,23599.0,1847294.7,100.02,0.6,8.3,19.2,-12.3,16.4,17.8,11.0,-4.2,-31.5,30.9,0.0,7.2,-5.5,-12.3,2016-07-31,44.95,10.37904761904762,12.5623,35856.9,9.191428571428572
6820701,55489.0,22613.0,1858239.3,100.03,0.6,6.9,20.5,-15.1,16.4,17.8,12.3,-5.5,-32.9,32.4,1.4,6.1,-4.1,-16.4,2016-08-31,45.84,10.339565217391305,14.2065,36031.7,9.01695652173913
