trade_turnover,debt_firms,money_income,paid_services,inflation,unemp,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,fm_credit_cond,fm_currency_index,fm_consumer_risk,fm_price_final_prod,fm_ibk,fm_econom_position,fm_econom_cond,Date,Brent,MIACR,Infl_exp,M2,obligates
4959165,100598.0,17419.0,1794712.5,100.31,0.9,-25.2,17.3,-13.6,19.1,20.0,5.5,-2.7,-23.6,20.6,5.5,-0.9,-3.6,-14.0,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
5186762,101312.0,18331.0,1801265.4,100.87,0.9,5.5,20.7,-3.6,27.9,27.0,9.0,-4.5,-26.1,18.3,12.7,13.8,-6.3,-10.0,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
5764424,102311.0,18220.0,1798355.8,100.56,0.9,13.9,21.7,-3.5,32.2,32.2,7.8,-7.8,-28.7,27.0,4.3,18.2,-6.1,-8.9,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
5846727,102198.0,18866.0,1771417.4,100.79,0.9,-15.9,21.1,1.8,41.2,33.3,12.3,-8.0,-21.9,26.0,10.5,13.8,-8.8,-12.5,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
6045950,101852.0,19194.0,1734312.6,101.07,0.8,-2.6,17.7,-4.4,36.8,28.9,11.5,-10.8,-23.7,24.8,2.6,13.9,0.9,-6.2,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
6142477,97536.0,20176.0,1772575.1,101.01,0.9,11.0,21.2,10.2,33.1,27.1,16.1,-8.0,-15.3,22.2,6.8,20.1,2.5,-10.3,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
6308687,97107.0,21578.0,1761827.4,100.5,0.9,34.5,20.0,14.8,28.7,28.7,13.9,-7.6,-18.4,22.7,9.6,26.6,2.6,-1.8,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
6251722,97059.0,20216.0,1710925.5,100.35,2.2,-2.6,32.2,-6.6,21.5,24.0,20.7,-13.9,-28.3,24.3,7.4,8.6,1.7,-10.1,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
5923853,96965.0,20717.0,1749319.4,100.97,0.8,5.8,35.5,4.0,-1.6,4.8,21.8,-13.8,-34.7,26.7,14.5,3.3,0.8,-7.3,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
6203951,96258.0,20313.0,1811774.5,100.64,0.6,-2.5,35.0,-1.7,0.0,10.0,18.3,-20.0,-34.2,30.4,15.8,1.4,-1.7,-7.6,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
6205667,96081.0,20680.0,1865611.5,101.49,0.5,-22.5,51.2,-10.7,-2.5,-5.0,29.8,-24.2,-50.0,40.7,23.1,-10.3,-5.8,-35.1,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,10.4095
7473239,94051.0,26090.0,2010968.1,102.45,0.9,20.0,53.7,-0.8,3.4,1.7,37.0,-40.4,-54.2,44.1,22.5,5.9,-5.8,-27.2,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,14.746521739130435
6007437,93080.0,19404.0,1899296.8,103.28,1.0,-46.7,54.8,-16.1,16.1,8.1,24.2,-55.4,-67.7,48.7,33.1,-11.3,-12.1,-38.0,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,14.117272727272727
6555639,91880.0,20040.0,1955914.4,102.23,0.9,-5.8,46.7,-17.2,29.5,25.4,23.8,-43.5,-61.5,44.0,23.8,7.0,-12.3,-32.5,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,13.0695
6627869,91356.0,21303.0,1995939.0,101.3,0.9,37.8,39.7,-8.3,28.1,23.1,12.4,-28.1,-44.6,34.2,13.2,19.5,-13.2,-24.4,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,12.032727272727273
6235820,91899.0,21001.0,1922752.6,100.84,0.8,-8.3,19.0,-13.2,39.7,33.9,16.5,-21.5,-30.6,33.3,0.8,11.7,-12.4,-22.7,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,10.783181818181818
6638891,91607.0,23357.0,1840738.8,100.43,0.9,-10.9,19.2,-15.0,33.3,28.3,19.3,-14.6,-35.0,29.6,1.7,7.8,-9.2,-18.6,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,10.567142857142857
6531955,84260.0,23625.0,1853668.9,100.05,0.9,15.8,30.6,-8.3,26.4,24.0,20.7,-18.0,-41.3,29.3,4.1,14.0,-5.8,-13.6,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,10.290909090909091
6779549,90483.0,22113.0,1827338.4,100.35,1.8,14.0,21.5,-3.3,24.2,24.8,19.0,-12.8,-40.5,24.1,14.0,14.6,-9.9,-10.3,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,10.371739130434783
6768883,84019.0,21957.0,1804576.1,100.81,0.8,15.0,25.6,-4.1,15.7,14.9,19.0,-21.7,-49.6,24.6,6.6,10.2,-9.1,-5.9,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5,10.981904761904762
6603761,85140.0,22698.0,1846072.3,100.83,0.6,1.7,33.1,-11.6,1.7,9.1,17.4,-20.7,-51.2,28.8,15.7,0.1,-7.4,-19.3,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0,10.541818181818181
6613538,85306.0,21352.0,1870151.9,100.85,0.5,0.0,27.3,-15.7,-9.9,-1.7,16.5,-21.1,-52.1,33.3,11.7,-6.9,-9.1,-19.3,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5,10.296363636363637
6681085,85495.0,21289.0,1974982.9,100.33,0.9,-20.7,42.1,-29.8,-10.7,-10.7,24.0,-21.3,-54.5,41.2,9.1,-18.1,-13.2,-29.4,2015-11-30,44.27,11.425,16.443444730077122,32161.0,10.528571428571428
7533735,84720.0,27265.0,2093846.4,100.27,1.0,15.7,35.2,-18.0,-0.8,-2.5,26.2,-20.4,-63.1,34.8,8.2,-1.8,-3.3,-30.8,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0,10.305652173913044
6389497,87960.0,20285.0,1985846.3,100.66,0.9,-45.4,36.1,-30.3,22.3,17.2,15.6,-17.0,-63.6,46.2,13.1,-11.3,-7.4,-32.2,2016-01-31,30.7,11.017333333333333,15.74,35179.7,9.90047619047619
6401641,97948.0,20721.0,2024764.6,100.46,0.9,9.2,24.0,-12.4,33.9,29.8,14.9,-17.4,-57.9,39.5,7.4,14.3,-9.9,-20.0,2016-02-29,32.18,10.8425,14.74,33966.5,9.507619047619048
6474082,97530.0,22285.0,2025003.8,100.2,0.8,8.1,27.2,-12.8,21.6,18.4,13.6,-17.3,-51.6,34.2,8.0,8.4,-8.0,-11.5,2016-03-31,38.21,10.94047619047619,14.5987,34309.6,9.694347826086956
6761060,98088.0,22637.0,1933475.6,99.99,0.9,-19.2,30.0,-12.4,28.1,24.8,11.6,-10.0,-40.8,30.4,3.3,4.2,-9.1,-16.8,2016-04-30,41.58,10.732857142857142,13.6,34689.4,9.577142857142857
6760857,98224.0,23252.0,1895281.5,100.42,0.9,-4.2,28.3,-2.5,38.1,40.8,19.3,-14.2,-42.0,29.3,0.0,17.0,-8.3,-13.4,2016-05-31,46.74,11.063157894736841,14.1881,35105.5,9.728181818181817
6908914,97872.0,24428.0,1885980.0,100.28,1.6,18.3,26.4,-1.7,32.2,32.2,22.7,-11.6,-36.4,24.6,5.8,19.8,-8.3,-4.2,2016-06-30,48.25,10.639047619047618,14.2875,35642.9,9.532272727272726
6793016,98072.0,23255.0,1884717.4,100.06,0.7,8.5,30.0,-7.5,40.8,38.3,21.0,-8.3,-40.0,28.1,5.8,19.1,-3.3,-5.9,2016-07-31,44.95,10.37904761904762,12.5623,35856.9,9.191428571428572
7186317,98105.0,24273.0,1889253.2,100.04,0.6,15.3,28.3,2.5,20.0,23.3,16.0,-9.3,-39.5,20.7,4.2,15.1,-5.8,0.0,2016-08-31,45.84,10.339565217391305,14.2065,36031.7,9.01695652173913
6624047,97592.0,23848.0,1870824.0,100.42,0.4,0.0,30.3,-3.3,1.7,10.8,14.3,-7.5,-41.7,28.4,9.2,2.2,0.0,-12.7,2016-09-30,46.57,10.238636363636363,12.3462,36169.6,9.001363636363637
6698568,97108.0,23276.0,1942069.9,100.4,0.8,6.7,26.9,2.5,-0.8,3.4,13.4,-6.7,-42.0,25.7,5.9,2.9,-1.7,-9.4,2016-10-31,49.52,10.323333333333332,13.677378,36148.8,8.895714285714286
6475184,96298.0,23783.0,2037664.5,100.32,0.9,-5.0,33.3,-8.3,-2.5,4.2,15.0,-8.3,-40.8,21.6,5.8,-3.0,-3.3,-15.4,2016-11-30,44.73,10.017142857142856,12.3526,36051.0,8.530909090909091
7839062,99356.0,28505.0,2138459.0,100.46,0.9,-5.1,37.8,-9.2,4.2,6.7,10.9,-4.2,-37.0,22.3,-0.8,-1.0,0.8,-12.2,2016-12-31,53.31,10.160454545454545,11.4855,36433.0,8.514090909090909
