trade_turnover,debt_firms,money_income,paid_services,inflation,unemp,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,fm_credit_cond,fm_currency_index,fm_consumer_risk,fm_price_final_prod,fm_ibk,fm_econom_position,fm_econom_cond,Date,Brent,MIACR,Infl_exp,M2,obligates
13411721.6,76111.0,21438.0,4234674.5,100.07,1.0,-24.3,2.9,-11.4,26.0,24.7,23.6,-2.5,-10.3,11.3,14.7,2.5,-2.1,-9.1,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
13449804.6,77357.0,22342.0,4124282.9,100.11,1.0,10.9,10.1,6.9,28.5,25.7,24.2,-2.9,-3.6,11.4,14.9,17.8,0.7,-1.5,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
15211963.9,74825.0,22511.0,4522361.8,100.75,1.2,-1.5,15.3,0.0,10.1,9.0,16.7,-4.0,-12.0,8.9,10.5,4.4,-4.0,-6.7,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
14772295.4,77510.0,23021.0,4390552.5,101.0,1.1,3.3,6.6,3.3,21.2,13.6,2.2,1.1,-3.7,7.0,3.3,10.2,-1.5,0.0,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
15112242.6,78203.0,23323.0,4180820.1,100.99,0.9,6.3,6.7,4.1,17.8,11.5,10.0,-0.4,-0.7,4.5,1.1,9.8,1.1,1.5,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
15790488.6,80469.0,23973.0,4085160.7,100.65,1.0,5.9,6.6,1.9,15.8,11.3,3.1,-4.3,0.4,1.2,7.0,8.7,-3.5,-0.8,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
16233600.3,81746.0,23874.0,4160778.7,100.75,0.9,10.9,8.9,7.0,10.5,9.3,1.9,-2.0,-3.5,8.4,6.2,9.4,-1.6,-0.4,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
16835010.7,83173.0,22934.0,4177045.1,100.56,1.7,0.8,4.1,0.0,5.2,4.8,-1.6,-5.6,-8.4,-1.6,-2.8,2.7,-8.0,-4.1,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
17369242.6,94770.0,24124.0,4302657.8,100.68,0.9,10.0,27.0,5.4,-1.4,3.7,20.5,-2.6,-10.0,11.8,7.7,4.4,3.2,-1.9,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
17756707.6,93942.0,23520.0,4328727.0,100.5,0.6,-4.9,34.8,2.9,-4.9,5.8,27.0,-8.6,-16.2,13.9,14.9,-0.3,0.0,-0.5,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
17888823.9,95485.0,23755.0,4329519.8,100.89,0.4,-7.9,59.1,44.3,20.7,19.6,83.3,5.9,-51.0,48.0,55.7,18.4,1.0,-42.4,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,10.4095
22895690.4,94214.0,29357.0,4772685.5,102.54,1.0,29.4,70.9,39.4,27.2,34.7,88.7,-63.9,-86.2,24.3,80.8,32.6,7.4,-35.1,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,14.746521739130435
15389812.1,92553.0,23260.0,4266996.9,104.06,1.1,-75.5,-2.0,-63.2,37.7,40.6,59.6,-73.0,-75.4,59.3,54.4,-23.3,3.4,-16.7,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,14.117272727272727
15222366.4,89700.0,23058.0,4422208.3,102.81,1.3,46.1,71.0,18.0,62.4,52.1,31.6,29.5,-35.2,11.9,13.0,44.1,35.8,-8.2,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,13.0695
16663526.7,88564.0,24254.0,4614947.6,101.19,1.2,0.5,30.5,-8.4,41.9,34.0,34.0,2.6,-41.6,11.1,29.5,15.9,14.7,-5.3,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,12.032727272727273
16389143.1,96111.0,24956.0,4469227.0,100.65,0.9,4.9,30.6,19.7,59.0,51.4,23.6,-16.5,-10.4,30.1,-4.4,32.7,-0.5,-1.6,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,10.783181818181818
16684078.3,97821.0,26077.0,4144505.1,100.27,1.1,2.4,15.9,9.5,20.5,10.7,13.0,1.4,-5.7,7.0,5.9,10.7,3.5,-0.6,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,10.567142857142857
16172404.6,97147.0,25917.0,4156310.7,100.04,0.9,10.5,12.3,9.9,55.3,54.4,30.4,-9.4,-9.9,27.6,-0.6,31.5,-0.6,-5.8,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,10.290909090909091
16710855.1,99872.0,24748.0,3969757.4,100.15,1.6,-8.3,39.4,-7.6,7.6,17.2,65.9,3.0,-56.5,23.1,50.0,1.9,3.6,-1.8,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,10.371739130434783
