trade_turnover,debt_firms,money_income,paid_services,inflation,unemp,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,fm_credit_cond,fm_currency_index,fm_consumer_risk,fm_price_final_prod,fm_ibk,fm_econom_position,fm_econom_cond,Date,Brent,MIACR,Infl_exp,M2,obligates
319874599,6724491.0,53584.0,98389278.9,100.55,0.4,-19.3,17.2,-4.3,14.5,14.5,11.1,-17.1,-21.4,25.0,6.8,0.9,5.1,-19.5,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
322834637,6662149.0,54916.0,96705313.8,100.55,0.4,-7.1,16.5,-5.5,11.3,8.8,14.8,-14.2,-27.0,29.8,8.8,1.7,5.3,-18.5,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
354997936,6680316.0,59128.0,97423350.1,101.06,0.6,9.5,23.9,-1.7,12.8,10.3,13.8,-17.2,-23.9,31.9,16.4,7.6,4.3,-14.3,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
356916104,6800508.0,64400.0,105016594.0,101.07,0.5,-3.6,21.7,-11.4,15.8,7.0,9.6,-20.9,-25.4,33.0,11.3,1.7,3.5,-12.7,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
346806002,6952824.0,58432.0,101844625.7,100.76,0.4,-14.2,20.0,-12.4,7.0,10.5,4.3,-15.8,-17.5,33.0,7.0,-2.6,4.4,-20.0,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
342078727,7051859.0,62094.0,106423980.9,100.75,0.4,-9.8,15.8,-8.8,3.5,2.7,4.5,-17.5,-22.8,21.4,5.3,-3.2,5.3,-7.3,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
341190886,7168351.0,61510.0,109301880.3,100.6,0.4,-6.5,10.1,-15.5,11.8,9.0,6.4,-25.2,-26.1,31.8,6.4,-0.6,6.3,-15.1,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
354977766,7134601.0,56648.0,110240373.5,100.73,1.0,-4.6,12.1,-8.4,22.0,13.8,10.1,-30.6,-23.9,36.1,9.2,5.3,7.3,-16.7,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
373545109,7268676.0,59595.0,117357109.6,100.76,0.4,6.1,22.3,-5.4,21.9,15.8,9.6,-42.1,-31.6,42.9,14.9,9.4,8.8,-18.3,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
394440363,7449852.0,61133.0,114378136.2,100.75,0.4,-2.8,25.5,-11.0,11.9,8.2,16.2,-43.2,-37.8,42.7,6.3,1.4,4.5,-23.6,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
403808705,7549695.0,61278.0,111153949.9,100.85,0.3,-14.0,28.7,-17.4,-7.3,-2.7,20.0,-43.6,-38.5,44.5,15.5,-10.4,2.7,-32.1,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,10.4095
525427529,7860914.0,82174.0,118635349.9,102.68,0.4,0.0,42.3,-13.2,-8.5,-6.5,21.7,-57.9,-53.3,54.7,27.1,-7.1,4.7,-35.6,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,14.746521739130435
356202709,7813475.0,56095.0,106674989.3,103.25,0.4,-28.6,35.9,-29.4,3.9,-2.9,24.0,-58.7,-57.7,59.8,30.8,-14.8,-1.9,-41.2,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,14.117272727272727
345841519,7816064.0,60165.0,104019014.5,102.51,0.6,-27.3,43.6,-23.5,7.8,1.0,26.7,-43.6,-48.0,55.6,21.6,-11.1,-2.0,-33.0,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,13.0695
380728229,7789227.0,60083.0,108017231.1,101.75,0.5,1.0,40.6,-13.0,6.9,5.9,21.8,-38.6,-44.1,47.0,12.7,0.0,0.0,-26.0,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,12.032727272727273
