trade_turnover,debt_firms,money_income,paid_services,inflation,unemp,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,fm_credit_cond,fm_currency_index,fm_consumer_risk,fm_price_final_prod,fm_ibk,fm_econom_position,fm_econom_cond,Date,Brent,MIACR,Infl_exp,M2,obligates
67302140,1336574.0,36000.0,28950444.5,100.52,0.3,-22.7,20.4,-11.9,21.0,17.5,22.1,-9.4,-26.5,27.4,9.6,0.1,13.1,-19.4,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
72900455,1355738.0,36238.0,29337314.3,100.56,0.4,-6.8,21.0,-14.9,17.5,14.4,28.1,-8.6,-34.6,35.3,3.8,2.1,7.6,-22.4,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
80852478,1390857.0,40463.0,31783111.1,100.82,0.5,10.4,28.6,-7.4,16.7,18.5,28.7,-15.9,-36.2,30.7,7.5,9.3,13.7,-12.5,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
81580387,1406487.0,40171.0,31447023.2,100.94,0.4,-14.4,22.0,-11.6,23.5,16.4,27.2,-11.5,-29.9,28.8,11.1,2.8,10.0,-11.6,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
80576483,1406521.0,39003.0,32058336.5,101.43,0.4,1.5,15.3,-10.1,15.8,15.8,19.0,-14.7,-24.8,23.3,15.5,5.4,13.3,-6.3,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
80095031,1406512.0,41741.0,31645177.6,100.86,0.4,1.5,21.9,-8.6,25.6,20.6,22.5,-18.0,-18.7,23.5,12.7,9.3,11.8,-12.2,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
80378291,1412778.0,40945.0,30310100.8,100.46,0.5,-3.7,14.7,-9.9,27.1,21.3,19.7,-19.2,-22.5,26.0,11.0,8.1,12.7,-12.8,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
82001239,1436024.0,37671.0,29505487.6,100.63,2.7,-7.1,23.0,-10.8,20.4,10.7,22.7,-23.9,-30.2,35.3,10.8,2.9,11.3,-18.9,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
81895619,1459298.0,39515.0,30122176.5,100.86,0.7,-1.4,29.6,-6.1,14.9,7.9,23.0,-27.5,-36.8,32.9,15.9,3.7,13.8,-18.6,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
85621885,1480167.0,40503.0,30528409.7,101.13,0.5,-10.1,47.0,-13.3,9.8,6.6,37.0,-35.0,-48.9,42.9,22.8,-2.0,8.6,-27.3,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
87433369,1497899.0,41227.0,31034366.4,101.23,0.3,-14.4,49.0,-19.9,-5.2,-9.9,44.0,-45.0,-58.0,58.2,28.4,-12.4,7.1,-42.9,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,10.4095
116226507,1515584.0,54443.0,32016951.0,103.57,0.3,8.8,53.9,-6.7,-14.2,-19.0,50.3,-57.8,-65.7,59.6,34.7,-8.0,5.8,-43.8,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,14.746521739130435
77931762,1570432.0,39647.0,30667679.4,104.28,0.4,-34.0,52.3,-37.4,1.3,-6.0,41.2,-64.2,-58.2,61.7,39.6,-19.8,3.3,-47.9,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,14.117272727272727
76079671,1532434.0,40515.0,31901153.6,102.46,0.5,-15.8,50.3,-25.0,11.9,7.3,32.4,-52.4,-60.4,58.7,40.1,-6.0,8.6,-40.3,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,13.0695
83235189,1544255.0,42586.0,33216567.6,101.27,0.4,2.3,44.3,-15.1,14.9,6.7,24.2,-43.2,-47.1,48.3,27.3,1.9,4.7,-29.8,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,12.032727272727273
